time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum
2024-01-01,1.0,8.0,0.2,3.2,0.0,0.0,0.0,3.18,7.8,90,12.23
2024-01-02,55.0,5.6,0.1,2.4,4.8,4.8,0.0,3.14,5.8,18,4.07
2024-01-03,3.0,8.0,0.6,3.5,0.0,0.0,0.0,3.09,5.0,283,9.66
2024-01-04,2.0,12.5,0.8,5.2,0.0,0.0,0.0,4.23,8.4,168,12.18
2024-01-05,1.0,14.5,2.3,7.0,0.0,0.0,0.0,2.44,4.2,309,12.18
2024-01-06,3.0,12.0,1.1,5.8,0.0,0.0,0.0,3.73,7.8,334,11.05
2024-01-07,3.0,8.3,0.9,4.8,0.0,0.0,0.0,4.33,7.7,58,12.54
2024-01-08,51.0,7.0,1.5,4.2,0.3,0.3,0.0,3.63,7.4,105,8.37
2024-01-09,3.0,12.4,0.8,5.8,0.0,0.0,0.0,4.56,8.8,300,10.59
2024-01-10,2.0,8.2,0.9,3.2,0.0,0.0,0.0,2.69,5.8,340,12.33
2024-01-11,1.0,14.8,0.3,6.4,0.0,0.0,0.0,3.51,8.0,174,13.15
2024-01-12,0.0,17.1,2.1,7.9,0.0,0.0,0.0,2.87,4.2,165,13.0
2024-01-13,0.0,18.6,2.9,9.7,0.0,0.0,0.0,4.08,8.2,136,13.26
2024-01-14,51.0,11.8,5.5,8.4,0.5,0.5,0.0,5.6,10.8,340,5.41
2024-01-15,2.0,6.5,-0.2,3.6,0.0,0.0,0.0,4.16,8.0,60,13.47
2024-01-16,55.0,7.3,3.2,5.0,4.0,4.0,0.0,4.69,9.9,79,5.59
2024-01-17,61.0,6.1,4.4,5.2,11.8,11.8,0.0,3.26,5.8,322,2.35
2024-01-18,61.0,5.4,4.1,4.6,16.5,16.5,0.0,3.5,7.3,17,1.23
2024-01-19,71.0,5.5,1.4,3.7,5.7,5.6,0.07,4.42,8.0,25,1.34
2024-01-20,73.0,3.5,0.8,2.0,3.4,1.0,1.68,4.53,9.5,329,8.75
2024-01-21,3.0,3.8,1.6,2.8,0.0,0.0,0.0,4.84,9.6,355,8.43
2024-01-22,3.0,2.0,-5.2,-1.8,0.0,0.0,0.0,5.95,11.2,355,10.48
2024-01-23,1.0,0.1,-7.0,-3.7,0.0,0.0,0.0,4.16,8.8,333,14.29
2024-01-24,1.0,3.9,-5.7,-1.6,0.0,0.0,0.0,2.79,5.8,313,14.91
2024-01-25,0.0,6.9,-3.1,0.9,0.0,0.0,0.0,2.94,5.8,297,14.73
2024-01-26,2.0,7.1,-2.9,1.5,0.0,0.0,0.0,2.24,4.5,263,13.34
2024-01-27,0.0,9.6,-2.3,2.7,0.0,0.0,0.0,3.08,6.3,295,14.69
2024-01-28,2.0,10.4,-3.3,2.9,0.0,0.0,0.0,2.5,3.8,232,15.22
2024-01-29,1.0,11.9,1.3,6.6,0.0,0.0,0.0,3.09,7.3,108,13.71
2024-01-30,53.0,14.3,6.7,9.9,0.6,0.6,0.0,3.3,6.5,125,13.22
2024-01-31,55.0,10.0,6.8,8.8,7.3,7.3,0.0,3.61,6.8,47,1.5
2024-02-01,73.0,6.8,-0.7,2.9,5.8,4.7,0.77,5.55,10.2,20,1.05
2024-02-02,71.0,1.1,-0.9,-0.1,8.2,7.6,0.42,4.52,8.7,39,2.17
2024-02-03,73.0,0.4,-0.3,-0.1,7.8,5.1,1.89,4.25,8.0,14,1.84
2024-02-04,75.0,0.4,-1.0,-0.3,19.4,1.5,12.53,4.0,6.5,355,3.83
2024-02-05,3.0,-0.7,-1.5,-1.1,0.0,0.0,0.0,4.18,8.5,318,9.06
2024-02-06,71.0,2.1,-1.6,0.1,0.4,0.0,0.28,3.4,7.1,27,7.03
2024-02-07,2.0,4.9,-0.8,1.8,0.0,0.0,0.0,2.92,6.8,16,12.88
2024-02-08,2.0,6.3,-2.5,1.8,0.0,0.0,0.0,2.13,5.5,318,15.26
2024-02-09,2.0,11.0,-1.9,3.8,0.0,0.0,0.0,3.42,7.5,234,16.48
2024-02-10,1.0,14.9,-0.5,6.9,0.0,0.0,0.0,3.18,6.8,227,16.41
2024-02-11,0.0,16.1,1.5,8.4,0.0,0.0,0.0,2.91,6.4,252,16.91
2024-02-12,0.0,18.2,5.1,11.6,0.0,0.0,0.0,5.91,11.6,170,17.14
2024-02-13,1.0,20.4,9.2,14.5,0.0,0.0,0.0,6.13,11.9,176,14.8
2024-02-14,3.0,23.0,10.1,15.5,0.0,0.0,0.0,4.64,8.1,167,14.97
2024-02-15,53.0,14.9,4.1,8.3,5.1,5.1,0.0,7.47,13.9,4,6.62
2024-02-16,2.0,10.8,1.3,6.3,0.0,0.0,0.0,3.94,8.3,136,18.04
2024-02-17,2.0,16.9,6.6,11.7,0.0,0.0,0.0,6.3,12.5,163,15.65
2024-02-18,61.0,24.4,12.8,17.8,6.0,6.0,0.0,8.2,15.1,183,12.47
2024-02-19,53.0,16.6,4.9,11.5,4.6,4.6,0.0,6.44,12.2,6,1.7
2024-02-20,63.0,5.0,2.8,3.7,31.1,31.1,0.0,5.83,11.3,52,1.8
2024-02-21,71.0,2.7,-1.4,-0.1,21.5,20.0,1.05,5.92,10.9,360,1.65
2024-02-22,73.0,-1.3,-2.5,-2.0,3.0,0.8,1.54,5.34,10.0,352,4.72
2024-02-23,71.0,0.3,-2.6,-1.1,0.8,0.1,0.49,3.96,7.5,353,10.29
2024-02-24,73.0,0.5,-1.7,-0.9,3.4,0.2,2.24,3.41,7.1,318,5.81
2024-02-25,2.0,4.9,-3.2,0.9,0.0,0.0,0.0,2.91,6.3,339,18.23
2024-02-26,2.0,6.3,0.6,3.7,0.0,0.0,0.0,4.36,8.0,46,12.11
2024-02-27,2.0,7.7,1.0,4.3,0.0,0.0,0.0,2.75,5.8,74,16.62
2024-02-28,3.0,7.3,3.1,4.9,0.0,0.0,0.0,3.61,7.1,59,7.44
2024-02-29,51.0,4.2,2.2,3.3,2.5,2.5,0.0,5.82,11.8,336,5.45
2024-03-01,3.0,6.0,1.6,3.4,0.0,0.0,0.0,4.0,7.8,37,15.97
2024-03-02,3.0,11.4,-0.1,5.5,0.0,0.0,0.0,3.45,7.1,197,16.99
2024-03-03,0.0,14.6,1.0,8.1,0.0,0.0,0.0,4.38,9.2,155,20.07
2024-03-04,53.0,9.4,8.2,8.8,2.3,2.3,0.0,3.86,6.5,104,1.93
2024-03-05,53.0,8.3,7.2,7.8,4.8,4.8,0.0,5.33,10.3,336,2.4
2024-03-06,3.0,10.5,5.7,8.0,0.0,0.0,0.0,3.9,7.2,3,14.95
2024-03-07,3.0,14.1,3.8,8.4,0.0,0.0,0.0,3.97,7.3,301,16.14
2024-03-08,1.0,14.3,2.7,8.5,0.0,0.0,0.0,2.78,6.6,357,21.04
2024-03-09,2.0,14.5,3.2,8.9,0.0,0.0,0.0,2.73,6.8,91,18.28
2024-03-10,2.0,17.4,4.2,11.0,0.0,0.0,0.0,3.36,8.1,110,21.16
2024-03-11,3.0,21.1,10.0,14.5,0.0,0.0,0.0,4.97,10.3,262,20.53
2024-03-12,1.0,18.8,9.6,13.3,0.0,0.0,0.0,4.39,9.3,36,21.3
2024-03-13,3.0,17.0,8.4,12.4,0.0,0.0,0.0,4.08,9.1,114,13.22
2024-03-14,3.0,14.2,11.5,12.7,0.0,0.0,0.0,3.47,8.2,72,9.0
2024-03-15,2.0,19.1,8.7,14.1,0.0,0.0,0.0,3.73,8.0,98,20.46
2024-03-16,3.0,22.1,11.4,16.5,0.0,0.0,0.0,2.6,5.4,111,16.56
2024-03-17,55.0,16.3,9.9,13.5,3.9,3.9,0.0,6.72,12.7,57,2.41
2024-03-18,3.0,11.2,6.1,9.0,0.0,0.0,0.0,3.88,8.5,65,8.5
2024-03-19,1.0,17.9,4.0,11.1,0.0,0.0,0.0,4.81,10.6,308,22.83
2024-03-20,0.0,21.4,4.8,13.5,0.0,0.0,0.0,3.04,5.2,184,23.04
2024-03-21,1.0,23.0,8.4,16.4,0.0,0.0,0.0,6.91,13.4,174,20.13
2024-03-22,2.0,25.9,13.5,19.9,0.0,0.0,0.0,5.93,10.4,176,21.77
2024-03-23,63.0,23.2,17.3,19.9,21.1,21.1,0.0,4.39,9.9,130,7.06
2024-03-24,53.0,17.4,15.2,16.1,1.5,1.5,0.0,4.2,7.1,67,4.2
2024-03-25,63.0,16.2,9.2,11.5,9.8,9.8,0.0,6.47,12.1,328,3.46
2024-03-26,3.0,17.0,7.9,12.3,0.0,0.0,0.0,4.11,6.1,317,19.98
2024-03-27,53.0,13.5,11.5,12.5,4.6,4.6,0.0,3.73,8.5,117,6.52
2024-03-28,51.0,21.6,11.8,15.7,0.4,0.4,0.0,4.46,7.6,270,18.85
2024-03-29,1.0,29.5,14.5,21.7,0.0,0.0,0.0,5.26,10.5,201,23.43
2024-03-30,1.0,31.0,16.7,23.4,0.0,0.0,0.0,5.57,9.1,154,22.26
2024-03-31,51.0,24.3,15.2,19.3,0.2,0.2,0.0,5.87,10.1,80,18.65
2024-04-01,63.0,28.2,16.4,21.9,4.2,4.2,0.0,5.58,11.3,130,21.5
2024-04-02,63.0,20.5,16.5,19.1,31.8,31.8,0.0,3.42,10.8,101,2.51
2024-04-03,61.0,16.8,13.9,15.5,4.4,4.4,0.0,5.14,10.8,343,7.75
2024-04-04,3.0,17.8,12.5,15.1,0.0,0.0,0.0,4.19,9.4,50,17.74
2024-04-05,53.0,19.1,9.0,14.7,1.2,1.2,0.0,4.54,9.3,73,22.68
2024-04-06,51.0,17.8,12.4,15.0,0.8,0.8,0.0,3.36,7.1,69,17.25
2024-04-07,53.0,16.3,13.6,14.9,3.0,3.0,0.0,4.4,7.2,90,4.26
2024-04-08,51.0,18.3,12.2,15.0,1.3,1.3,0.0,3.37,7.3,54,7.06
2024-04-09,3.0,23.1,9.5,17.7,0.0,0.0,0.0,3.86,8.0,94,24.34
2024-04-10,53.0,23.4,16.6,19.3,2.1,2.1,0.0,4.12,7.5,115,11.71
2024-04-11,53.0,22.2,16.5,19.2,1.3,1.3,0.0,2.61,5.6,104,13.15
2024-04-12,53.0,23.2,17.4,20.0,1.7,1.7,0.0,2.92,5.3,110,15.37
2024-04-13,3.0,21.3,16.8,19.0,0.0,0.0,0.0,4.85,9.9,106,15.59
2024-04-14,55.0,25.1,17.7,20.3,5.5,5.5,0.0,4.71,9.3,122,11.44
2024-04-15,3.0,27.5,16.4,21.7,0.0,0.0,0.0,2.82,6.3,94,17.74
2024-04-16,61.0,24.7,20.3,22.2,6.5,6.5,0.0,5.14,9.3,53,16.48
2024-04-17,61.0,20.9,12.4,16.8,18.9,18.9,0.0,5.28,8.9,50,5.02
2024-04-18,3.0,23.1,11.0,17.5,0.0,0.0,0.0,4.08,8.6,106,24.13
2024-04-19,65.0,19.4,16.0,17.3,47.4,47.4,0.0,5.29,10.7,105,4.0
2024-04-20,3.0,23.1,15.7,19.0,0.0,0.0,0.0,5.29,11.2,325,17.37
2024-04-21,3.0,22.5,16.3,19.1,0.0,0.0,0.0,2.65,6.3,109,17.77
2024-04-22,2.0,24.4,13.6,19.8,0.0,0.0,0.0,3.3,8.4,86,23.54
2024-04-23,53.0,27.0,17.2,21.3,2.2,2.2,0.0,4.43,10.1,301,21.34
2024-04-24,2.0,26.1,15.0,20.5,0.0,0.0,0.0,3.83,7.8,133,24.67
2024-04-25,2.0,26.6,15.5,21.5,0.0,0.0,0.0,3.08,7.0,130,20.16
2024-04-26,51.0,27.7,18.4,23.1,0.2,0.2,0.0,3.18,5.5,107,22.64
2024-04-27,2.0,26.7,18.6,22.6,0.0,0.0,0.0,5.5,9.1,94,22.85
2024-04-28,61.0,21.1,17.9,19.4,11.7,11.7,0.0,5.0,8.9,60,5.9
2024-04-29,51.0,21.4,17.4,19.3,0.2,0.2,0.0,3.58,5.6,22,7.84
2024-04-30,55.0,19.3,12.4,15.7,5.7,5.7,0.0,5.74,12.1,36,4.07
2024-05-01,51.0,20.7,12.6,16.1,0.1,0.1,0.0,2.86,5.4,47,20.62
2024-05-02,51.0,22.1,13.4,17.7,0.3,0.3,0.0,4.81,9.7,90,22.84
2024-05-03,51.0,21.6,14.1,18.1,0.7,0.7,0.0,4.74,10.3,93,20.11
2024-05-04,61.0,17.5,15.8,16.7,10.9,10.9,0.0,3.51,6.9,73,6.02
2024-05-05,61.0,19.6,15.7,17.1,4.1,4.1,0.0,3.55,7.4,280,6.66
2024-05-06,3.0,27.0,15.2,20.8,0.0,0.0,0.0,2.55,5.9,200,25.12
2024-05-07,51.0,28.2,16.8,22.5,0.2,0.2,0.0,3.05,6.3,43,25.74
2024-05-08,1.0,26.4,15.5,21.4,0.0,0.0,0.0,3.26,7.6,55,27.66
2024-05-09,1.0,24.9,15.2,20.1,0.0,0.0,0.0,3.62,7.9,123,19.49
2024-05-10,3.0,29.5,16.3,23.6,0.0,0.0,0.0,6.05,11.9,173,25.99
2024-05-11,63.0,23.5,17.7,21.7,17.7,17.7,0.0,4.43,9.0,270,5.0
2024-05-12,2.0,25.0,14.4,19.5,0.0,0.0,0.0,2.78,5.7,65,25.89
