time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum
2024-01-01,1.0,22.9,19.1,20.4,0.0,0.0,0.0,5.72,9.6,88,14.37
2024-01-02,3.0,20.2,17.9,18.9,0.0,0.0,0.0,5.54,10.1,97,13.67
2024-01-03,3.0,19.4,15.4,17.7,0.0,0.0,0.0,7.02,12.6,11,14.63
2024-01-04,3.0,18.7,12.9,15.5,0.0,0.0,0.0,5.64,9.5,49,14.35
2024-01-05,2.0,21.7,14.6,18.0,0.0,0.0,0.0,3.11,7.3,79,14.97
2024-01-06,3.0,22.9,15.6,19.0,0.0,0.0,0.0,2.47,5.7,42,15.22
2024-01-07,3.0,22.2,17.6,19.4,0.0,0.0,0.0,5.12,10.3,78,15.16
2024-01-08,3.0,21.2,17.6,19.4,0.0,0.0,0.0,5.41,9.5,92,13.22
2024-01-09,3.0,22.8,18.5,20.3,0.0,0.0,0.0,3.3,5.8,46,12.82
2024-01-10,2.0,22.1,17.5,19.4,0.0,0.0,0.0,5.82,11.2,27,15.92
2024-01-11,2.0,20.7,16.8,18.5,0.0,0.0,0.0,4.97,8.5,57,13.86
2024-01-12,3.0,20.5,17.2,18.5,0.0,0.0,0.0,3.26,6.2,83,8.6
2024-01-13,2.0,22.6,16.8,19.0,0.0,0.0,0.0,3.67,7.8,74,8.15
2024-01-14,2.0,23.4,17.1,19.4,0.0,0.0,0.0,4.24,8.0,70,14.15
2024-01-15,0.0,23.9,15.9,19.6,0.0,0.0,0.0,6.73,10.6,80,16.91
2024-01-16,3.0,21.6,17.2,19.3,0.0,0.0,0.0,6.81,12.0,87,14.93
2024-01-17,3.0,21.6,17.6,19.5,0.0,0.0,0.0,5.6,10.8,76,13.6
2024-01-18,2.0,23.4,19.1,20.7,0.0,0.0,0.0,3.45,8.3,89,14.29
2024-01-19,3.0,23.7,18.1,20.4,0.0,0.0,0.0,3.77,7.0,98,16.54
2024-01-20,2.0,23.0,17.5,20.0,0.0,0.0,0.0,6.92,11.8,12,12.74
2024-01-21,3.0,19.8,14.2,17.2,0.0,0.0,0.0,7.14,11.6,18,16.37
2024-01-22,51.0,17.9,8.3,13.1,0.2,0.2,0.0,10.34,16.9,12,7.2
2024-01-23,53.0,8.4,5.7,7.0,5.3,5.3,0.0,9.5,16.7,12,2.72
2024-01-24,3.0,9.0,5.9,7.5,0.0,0.0,0.0,7.66,13.0,15,5.31
2024-01-25,3.0,13.3,8.2,10.7,0.0,0.0,0.0,5.79,10.6,8,11.52
