time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum
2024-01-01,2.0,-1.5,-9.5,-5.9,0.0,0.0,0.0,2.33,5.5,159,8.13
2024-01-02,3.0,2.9,-9.7,-4.8,0.0,0.0,0.0,2.69,4.9,291,7.56
2024-01-03,0.0,3.3,-9.0,-3.6,0.0,0.0,0.0,2.83,5.8,266,9.24
2024-01-04,0.0,6.1,-10.7,-3.2,0.0,0.0,0.0,2.98,4.7,315,9.14
2024-01-05,0.0,4.7,-7.4,-2.3,0.0,0.0,0.0,2.73,5.5,286,8.67
2024-01-06,0.0,2.5,-5.4,-1.2,0.0,0.0,0.0,5.13,11.0,319,9.56
2024-01-07,0.0,-0.9,-9.5,-5.6,0.0,0.0,0.0,2.57,6.0,84,9.66
2024-01-08,3.0,-1.7,-10.7,-5.7,0.0,0.0,0.0,1.84,4.5,74,9.11
2024-01-09,3.0,4.4,-6.5,-1.6,0.0,0.0,0.0,2.78,4.9,336,8.81
2024-01-10,0.0,1.5,-9.5,-4.4,0.0,0.0,0.0,3.63,7.6,218,9.61
2024-01-11,0.0,8.2,-8.5,-1.1,0.0,0.0,0.0,3.01,4.7,358,9.51
2024-01-12,0.0,4.5,-7.1,-1.8,0.0,0.0,0.0,2.31,4.7,62,9.62
2024-01-13,3.0,0.0,-6.5,-3.1,0.0,0.0,0.0,2.63,4.9,61,5.84
2024-01-14,0.0,2.6,-7.5,-2.2,0.0,0.0,0.0,4.49,8.1,338,10.53
2024-01-15,1.0,1.1,-12.1,-6.3,0.0,0.0,0.0,2.77,5.5,336,10.37
2024-01-16,2.0,0.1,-10.9,-5.1,0.0,0.0,0.0,2.43,5.3,113,8.38
2024-01-17,3.0,0.2,-4.5,-2.3,0.0,0.0,0.0,1.84,3.0,250,4.64
2024-01-18,1.0,3.1,-5.7,-2.2,0.0,0.0,0.0,2.18,6.2,107,9.43
2024-01-19,3.0,-0.1,-5.3,-2.8,0.0,0.0,0.0,1.75,3.6,101,5.21
2024-01-20,2.0,-0.9,-6.9,-3.4,0.0,0.0,0.0,5.66,7.8,168,9.48
2024-01-21,0.0,-5.2,-10.8,-7.8,0.0,0.0,0.0,5.88,12.3,338,11.07
2024-01-22,0.0,-3.6,-13.5,-8.7,0.0,0.0,0.0,4.47,9.8,330,11.2
2024-01-23,0.0,-0.3,-11.7,-6.1,0.0,0.0,0.0,5.44,11.1,310,11.15
2024-01-24,1.0,2.4,-8.7,-3.9,0.0,0.0,0.0,2.41,5.8,314,11.06
2024-01-25,2.0,4.5,-7.5,-2.3,0.0,0.0,0.0,3.78,8.3,310,11.31
2024-01-26,0.0,3.8,-6.2,-2.8,0.0,0.0,0.0,2.81,6.5,336,11.49
