time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum
2024-01-01,53.0,11.1,10.1,10.4,4.0,4.0,0.0,1.04,2.5,274,1.34
2024-01-02,51.0,12.6,10.2,11.3,0.1,0.1,0.0,1.75,4.0,230,1.81
2024-01-03,51.0,15.7,10.1,12.4,0.4,0.4,0.0,2.28,5.4,101,7.35
2024-01-04,2.0,14.9,9.4,11.7,0.0,0.0,0.0,2.24,3.7,55,7.87
2024-01-05,51.0,12.7,9.9,11.2,0.2,0.2,0.0,2.01,4.9,243,3.82
2024-01-06,3.0,15.9,10.0,12.7,0.0,0.0,0.0,2.19,3.9,88,8.05
2024-01-07,53.0,13.7,11.3,12.7,3.7,3.7,0.0,1.5,3.3,15,1.59
2024-01-08,3.0,16.2,10.4,12.5,0.0,0.0,0.0,2.2,4.5,76,7.12
2024-01-09,51.0,15.6,10.7,12.7,0.1,0.1,0.0,2.16,4.6,328,5.25
2024-01-10,3.0,15.3,9.9,12.6,0.0,0.0,0.0,2.1,4.6,45,4.2
2024-01-11,3.0,17.9,10.5,13.3,0.0,0.0,0.0,2.15,4.7,59,9.41
2024-01-12,3.0,18.9,9.8,13.2,0.0,0.0,0.0,2.61,3.9,23,11.49
2024-01-13,3.0,18.5,11.2,14.4,0.0,0.0,0.0,2.53,5.4,15,9.9
2024-01-14,51.0,17.8,13.7,15.1,0.1,0.1,0.0,2.42,5.0,265,4.51
2024-01-15,55.0,15.9,12.8,14.6,8.2,8.2,0.0,2.73,9.0,27,1.89
2024-01-16,55.0,14.2,12.1,12.9,4.4,4.4,0.0,2.66,5.4,69,1.88
2024-01-17,53.0,14.0,12.0,12.9,1.7,1.7,0.0,1.66,4.0,22,2.4
2024-01-18,55.0,14.8,12.1,13.4,2.8,2.8,0.0,1.7,4.4,355,2.52
2024-01-19,51.0,13.7,12.3,13.0,1.4,1.4,0.0,2.01,4.5,43,2.33
2024-01-20,51.0,14.2,11.2,12.7,1.0,1.0,0.0,2.86,5.2,92,6.43
2024-01-21,53.0,11.2,7.7,9.5,6.8,6.8,0.0,3.52,6.9,87,2.82
2024-01-22,53.0,8.5,6.0,7.3,2.8,2.8,0.0,4.2,10.0,152,7.35
2024-01-23,3.0,6.5,4.7,5.6,0.0,0.0,0.0,3.64,6.7,129,7.79
2024-01-24,3.0,5.3,3.7,4.6,0.0,0.0,0.0,2.02,4.8,90,6.46
2024-01-25,3.0,6.1,4.0,5.1,0.0,0.0,0.0,1.79,4.3,42,7.36
