time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum
2024-01-01,3.0,13.5,10.2,11.9,0.0,0.0,0.0,5.94,12.2,42,13.14
2024-01-02,2.0,15.9,9.3,12.4,0.0,0.0,0.0,3.58,8.1,13,14.4
2024-01-03,51.0,17.4,11.8,14.4,0.1,0.1,0.0,5.47,10.2,30,13.18
2024-01-04,2.0,13.4,9.1,10.9,0.0,0.0,0.0,5.08,10.3,34,13.38
2024-01-05,0.0,18.6,9.6,13.5,0.0,0.0,0.0,2.8,5.6,349,13.27
2024-01-06,2.0,18.9,11.3,14.0,0.0,0.0,0.0,3.86,7.8,20,13.66
2024-01-07,3.0,15.5,11.3,12.8,0.0,0.0,0.0,5.95,12.2,43,13.44
2024-01-08,55.0,14.3,11.3,12.6,4.0,4.0,0.0,5.78,10.6,23,9.57
2024-01-09,53.0,16.1,12.4,13.9,2.8,2.8,0.0,2.28,5.1,16,7.12
2024-01-10,51.0,17.4,11.5,13.7,0.6,0.6,0.0,5.17,9.7,43,11.86
2024-01-11,3.0,14.0,9.0,10.9,0.0,0.0,0.0,3.75,7.0,49,15.39
2024-01-12,3.0,16.6,8.0,11.4,0.0,0.0,0.0,2.5,5.5,1,12.8
2024-01-13,0.0,17.9,8.5,12.3,0.0,0.0,0.0,3.61,7.5,11,16.21
2024-01-14,0.0,20.3,10.6,14.5,0.0,0.0,0.0,3.7,6.5,353,15.08
2024-01-15,51.0,14.7,11.5,12.8,0.1,0.1,0.0,6.99,13.5,39,14.18
2024-01-16,3.0,13.8,10.2,11.8,0.0,0.0,0.0,5.95,11.3,34,11.56
2024-01-17,3.0,19.1,11.0,14.2,0.0,0.0,0.0,4.05,7.5,353,15.27
2024-01-18,2.0,21.6,12.4,16.0,0.0,0.0,0.0,3.13,5.9,10,14.08
2024-01-19,3.0,18.4,14.4,15.7,0.0,0.0,0.0,4.25,8.7,35,10.23
2024-01-20,51.0,18.6,14.4,16.1,2.1,2.1,0.0,4.25,7.6,37,7.15
2024-01-21,51.0,14.2,11.7,12.5,1.1,1.1,0.0,6.7,13.4,57,4.98
2024-01-22,71.0,11.5,4.1,8.1,7.6,7.4,0.14,7.27,13.8,33,2.08
2024-01-23,73.0,7.0,3.7,5.1,4.0,2.8,0.84,5.86,11.4,36,13.46
2024-01-24,1.0,7.5,3.0,5.5,0.0,0.0,0.0,4.74,10.7,42,14.88
2024-01-25,2.0,9.5,5.9,7.6,0.0,0.0,0.0,4.25,8.5,37,11.97
2024-01-26,1.0,11.2,6.2,8.4,0.0,0.0,0.0,4.61,8.9,41,13.99
2024-01-27,51.0,10.7,8.2,9.2,0.9,0.9,0.0,3.32,6.1,33,5.16
