time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum
2024-01-01,2.0,24.8,18.2,20.9,0.0,0.0,0.0,2.62,6.7,47,12.18
2024-01-02,3.0,21.6,16.8,19.0,0.0,0.0,0.0,3.3,6.9,149,11.06
2024-01-03,3.0,18.7,12.4,16.5,0.0,0.0,0.0,5.76,11.8,12,13.79
2024-01-04,3.0,19.4,9.3,14.0,0.0,0.0,0.0,2.73,5.8,26,14.1
2024-01-05,2.0,22.7,11.8,16.6,0.0,0.0,0.0,1.84,4.6,65,12.93
2024-01-06,3.0,24.6,13.4,18.7,0.0,0.0,0.0,2.73,6.5,17,12.85
2024-01-07,3.0,24.4,16.4,19.6,0.0,0.0,0.0,2.97,7.1,65,13.51
2024-01-08,3.0,22.9,15.5,19.1,0.0,0.0,0.0,2.5,5.8,151,12.32
2024-01-09,51.0,22.2,16.5,19.2,0.8,0.8,0.0,2.53,6.6,6,8.88
2024-01-10,2.0,22.5,16.2,18.7,0.0,0.0,0.0,5.15,11.2,23,15.05
2024-01-11,2.0,20.8,14.3,17.1,0.0,0.0,0.0,3.9,7.6,19,10.16
2024-01-12,2.0,22.4,14.0,17.6,0.0,0.0,0.0,1.88,4.3,349,10.05
2024-01-13,51.0,23.1,15.6,18.1,0.4,0.4,0.0,2.0,3.6,135,4.44
2024-01-14,2.0,26.0,13.3,18.9,0.0,0.0,0.0,2.12,4.8,122,15.49
2024-01-15,0.0,27.5,12.3,19.4,0.0,0.0,0.0,3.54,6.5,78,16.23
2024-01-16,0.0,24.8,14.7,18.8,0.0,0.0,0.0,2.72,6.7,136,16.53
2024-01-17,3.0,24.6,13.6,18.7,0.0,0.0,0.0,2.69,6.7,112,12.43
2024-01-18,51.0,25.4,17.3,20.6,0.3,0.3,0.0,2.43,6.4,158,11.14
2024-01-19,3.0,26.4,16.1,20.5,0.0,0.0,0.0,2.69,5.8,149,14.86
2024-01-20,3.0,19.1,14.3,17.3,0.0,0.0,0.0,5.91,11.8,9,7.84
2024-01-21,3.0,18.2,11.9,14.8,0.0,0.0,0.0,4.93,10.2,14,14.73
2024-01-22,53.0,14.4,5.3,9.7,1.9,1.9,0.0,7.08,13.6,17,2.84
2024-01-23,53.0,8.2,3.9,5.8,3.6,3.6,0.0,6.02,12.8,17,7.92
2024-01-24,3.0,7.0,3.5,5.4,0.0,0.0,0.0,5.37,10.1,19,3.28
2024-01-25,3.0,11.9,6.2,8.8,0.0,0.0,0.0,3.96,8.2,10,8.11
2024-01-26,3.0,12.0,9.2,10.4,0.0,0.0,0.0,3.49,7.5,12,5.43
2024-01-27,53.0,10.7,8.3,9.6,3.0,3.0,0.0,3.67,7.3,11,1.97
2024-01-28,51.0,11.3,7.7,9.2,2.4,2.4,0.0,3.61,7.4,17,4.26
2024-01-29,51.0,13.5,9.3,11.6,0.1,0.1,0.0,1.7,4.2,16,5.29
2024-01-30,3.0,19.7,12.6,15.5,0.0,0.0,0.0,1.61,4.0,3,6.75
2024-01-31,51.0,23.4,16.3,19.4,1.0,1.0,0.0,2.02,5.2,119,4.51
2024-02-01,51.0,25.5,19.5,22.0,1.4,1.4,0.0,2.52,5.7,161,8.41
2024-02-02,51.0,27.1,19.2,22.4,1.1,1.1,0.0,3.57,7.5,152,11.31
2024-02-03,51.0,25.6,20.0,22.2,1.6,1.6,0.0,4.07,9.1,143,9.09
2024-02-04,55.0,21.3,14.9,19.1,7.6,7.6,0.0,4.41,9.1,38,5.61
2024-02-05,51.0,15.3,12.8,14.1,1.9,1.9,0.0,5.26,9.8,13,4.28
2024-02-06,51.0,19.1,12.4,15.1,2.0,2.0,0.0,3.79,7.4,9,8.94
2024-02-07,53.0,12.1,8.9,9.8,6.3,6.3,0.0,5.29,11.3,12,2.49
2024-02-08,53.0,8.8,7.6,8.1,6.6,6.6,0.0,4.52,9.1,12,2.21
2024-02-09,51.0,13.1,8.1,10.2,0.6,0.6,0.0,4.68,10.6,11,10.19
2024-02-10,2.0,20.0,10.3,13.6,0.0,0.0,0.0,3.77,8.2,11,18.7
2024-02-11,0.0,24.0,7.6,14.3,0.0,0.0,0.0,2.83,7.2,24,20.32
2024-02-12,0.0,24.1,7.7,15.2,0.0,0.0,0.0,3.35,7.8,130,19.98
