time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum
2024-01-01,51.0,26.4,18.5,21.9,0.5,0.5,0.0,4.22,9.1,139,9.6
2024-01-02,55.0,23.1,16.9,20.1,5.8,5.8,0.0,4.16,7.8,123,5.72
2024-01-03,53.0,19.1,14.0,16.2,3.6,3.6,0.0,4.22,8.4,20,10.58
2024-01-04,3.0,20.7,12.6,16.9,0.0,0.0,0.0,3.89,7.0,125,12.57
2024-01-05,51.0,21.3,16.6,19.1,1.4,1.4,0.0,3.36,7.9,149,3.93
2024-01-06,53.0,22.3,18.0,19.7,3.0,3.0,0.0,3.33,7.0,76,7.25
2024-01-07,3.0,24.4,16.8,20.2,0.0,0.0,0.0,4.66,10.3,139,11.15
2024-01-08,51.0,22.4,17.8,19.9,2.0,2.0,0.0,4.25,8.4,124,5.85
2024-01-09,53.0,19.1,16.6,17.7,6.3,6.3,0.0,3.5,6.4,66,3.51
2024-01-10,53.0,17.9,15.1,16.4,4.9,4.9,0.0,3.11,5.7,36,1.72
2024-01-11,53.0,17.5,15.6,16.3,6.2,6.2,0.0,3.42,6.5,65,2.74
2024-01-12,61.0,16.4,15.0,15.7,12.0,12.0,0.0,2.77,5.0,45,1.73
2024-01-13,61.0,19.8,16.1,17.5,18.2,18.2,0.0,2.2,5.1,74,4.62
2024-01-14,53.0,22.4,16.6,19.3,1.4,1.4,0.0,2.25,6.4,102,8.74
2024-01-15,51.0,24.7,17.7,20.7,0.2,0.2,0.0,3.44,9.1,129,13.41
2024-01-16,3.0,24.4,16.2,20.0,0.0,0.0,0.0,5.22,10.5,148,11.74
2024-01-17,51.0,22.7,17.8,20.2,0.2,0.2,0.0,4.61,8.9,149,7.23
2024-01-18,51.0,23.7,18.4,20.7,0.5,0.5,0.0,4.12,8.8,158,6.83
2024-01-19,51.0,25.5,18.2,21.2,0.7,0.7,0.0,4.48,8.8,171,10.2
2024-01-20,55.0,20.0,12.6,15.0,4.8,4.8,0.0,4.79,8.9,29,1.76
2024-01-21,51.0,12.7,10.5,11.3,1.1,1.1,0.0,3.28,6.5,24,1.85
2024-01-22,61.0,10.7,5.4,7.5,18.0,18.0,0.0,5.45,10.6,8,1.15
2024-01-23,51.0,6.8,5.1,5.6,0.5,0.5,0.0,4.28,8.7,15,3.95
2024-01-24,3.0,7.9,5.0,6.4,0.0,0.0,0.0,3.83,7.5,20,6.95
2024-01-25,3.0,9.6,5.8,7.6,0.0,0.0,0.0,3.24,6.6,15,7.59
2024-01-26,3.0,9.1,7.1,8.2,0.0,0.0,0.0,2.96,6.2,7,3.94
2024-01-27,51.0,8.3,6.2,7.5,1.3,1.3,0.0,3.01,6.0,358,1.98
2024-01-28,51.0,10.0,7.8,8.9,0.5,0.5,0.0,3.1,5.9,7,3.17
2024-01-29,53.0,9.7,8.2,9.1,1.8,1.8,0.0,1.93,6.6,12,1.84
2024-01-30,51.0,13.7,9.5,11.0,2.6,2.6,0.0,1.41,2.9,85,3.43
2024-01-31,51.0,18.9,13.7,16.2,2.0,2.0,0.0,3.76,7.1,176,3.65
2024-02-01,51.0,24.4,17.9,20.6,1.0,1.0,0.0,4.13,7.6,168,9.32
2024-02-02,51.0,24.8,19.2,21.4,1.1,1.1,0.0,5.44,10.5,153,7.07
2024-02-03,53.0,23.8,18.4,20.5,2.2,2.2,0.0,4.7,9.1,144,5.0
2024-02-04,53.0,20.2,12.3,16.6,3.5,3.5,0.0,4.61,10.9,69,4.33
2024-02-05,51.0,12.6,10.7,11.5,4.5,4.5,0.0,3.2,6.3,28,2.89
2024-02-06,51.0,10.7,8.2,9.4,4.7,4.7,0.0,3.34,7.1,19,2.56
2024-02-07,51.0,9.5,7.4,8.3,2.3,2.3,0.0,3.69,7.7,10,3.7
2024-02-08,51.0,9.5,7.1,8.3,1.7,1.7,0.0,3.61,7.3,8,3.69
2024-02-09,3.0,14.6,8.4,10.9,0.0,0.0,0.0,3.91,8.2,5,9.38
2024-02-10,2.0,18.2,10.4,13.7,0.0,0.0,0.0,3.35,6.0,9,8.45
2024-02-11,2.0,23.8,10.1,15.5,0.0,0.0,0.0,2.64,5.9,56,18.64
2024-02-12,0.0,23.8,9.7,16.6,0.0,0.0,0.0,5.26,11.1,155,19.71
2024-02-13,51.0,21.6,16.0,18.9,0.5,0.5,0.0,5.71,11.8,161,6.25
2024-02-14,51.0,23.2,17.8,20.0,0.6,0.6,0.0,5.38,10.8,161,8.39
2024-02-15,51.0,25.6,17.3,20.4,0.5,0.5,0.0,5.1,10.6,69,8.04
2024-02-16,3.0,22.7,15.3,18.3,0.0,0.0,0.0,3.2,7.4,31,16.82
2024-02-17,51.0,23.1,16.8,19.6,0.4,0.4,0.0,5.57,12.0,164,9.57
2024-02-18,3.0,26.4,18.8,22.0,0.0,0.0,0.0,6.39,12.1,175,9.53
2024-02-19,3.0,30.7,19.9,24.2,0.0,0.0,0.0,5.9,11.8,175,15.97
2024-02-20,51.0,29.8,20.8,24.9,0.1,0.1,0.0,7.31,15.3,173,17.2
2024-02-21,51.0,30.8,23.0,26.3,0.7,0.7,0.0,5.82,13.3,172,16.29
2024-02-22,53.0,23.8,11.3,16.3,2.2,2.2,0.0,5.19,10.7,48,4.14
