time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,weathercode,shortwave_radiation_sum
2024-01-01,1.0,-6.7,-3.1,0.0,0.0,0.0,2.37,5.9,145,1.0,8.84
2024-01-02,6.6,-7.6,-1.4,0.0,0.0,0.0,3.24,5.7,275,3.0,7.77
2024-01-03,8.3,-3.7,1.3,0.0,0.0,0.0,3.29,6.5,239,0.0,10.17
2024-01-04,10.3,-5.4,0.7,0.0,0.0,0.0,2.41,7.3,283,0.0,9.51
2024-01-05,7.3,-5.0,-0.2,0.0,0.0,0.0,2.44,4.8,242,0.0,10.15
2024-01-06,4.6,-4.7,-0.3,0.0,0.0,0.0,3.52,7.8,331,0.0,10.52
2024-01-07,1.4,-8.3,-3.7,0.0,0.0,0.0,2.92,6.9,134,0.0,10.39
2024-01-08,1.0,-9.6,-4.5,0.0,0.0,0.0,2.1,5.1,18,2.0,10.19
2024-01-09,4.1,-5.5,-1.1,0.0,0.0,0.0,2.05,6.5,350,1.0,10.08
2024-01-10,6.5,-6.7,-1.0,0.0,0.0,0.0,3.34,7.1,202,0.0,10.59
2024-01-11,8.9,-4.7,0.2,0.0,0.0,0.0,3.3,5.0,329,0.0,10.58
2024-01-12,7.2,-6.2,-0.6,0.0,0.0,0.0,2.44,4.7,294,0.0,10.62
2024-01-13,3.2,-4.9,-1.6,0.0,0.0,0.0,2.33,5.4,349,1.0,10.41
2024-01-14,3.9,-5.3,-0.6,0.0,0.0,0.0,2.69,5.1,71,1.0,10.04
2024-01-15,4.4,-6.6,-2.0,0.0,0.0,0.0,3.51,7.6,170,1.0,11.14
2024-01-16,0.8,-3.7,-1.4,0.1,0.0,0.07,2.28,5.1,128,71.0,6.01
2024-01-17,2.1,-1.8,-0.3,1.0,0.0,0.7,2.45,4.3,82,71.0,8.94
2024-01-18,2.2,-3.5,-0.8,0.0,0.0,0.0,1.99,5.2,355,3.0,5.36
2024-01-19,0.5,-3.9,-1.8,0.0,0.0,0.0,3.09,6.2,38,3.0,7.35
2024-01-20,1.2,-5.8,-1.9,0.0,0.0,0.0,2.34,5.3,49,1.0,11.29
2024-01-21,-1.8,-8.1,-4.8,0.0,0.0,0.0,4.62,9.9,2,3.0,11.11
2024-01-22,-2.2,-11.3,-6.8,0.0,0.0,0.0,2.09,5.3,308,0.0,12.21
2024-01-23,1.1,-10.9,-5.2,0.0,0.0,0.0,2.75,6.5,280,0.0,12.25
2024-01-24,3.4,-7.3,-2.6,0.0,0.0,0.0,2.55,4.7,265,2.0,11.93
2024-01-25,6.3,-5.5,0.0,0.0,0.0,0.0,3.19,6.8,287,2.0,12.25
2024-01-26,5.8,-4.3,-0.2,0.0,0.0,0.0,2.88,5.1,322,2.0,11.35
2024-01-27,5.1,-4.7,-0.6,0.0,0.0,0.0,2.9,5.1,290,2.0,12.46
2024-01-28,8.0,-6.6,-0.4,0.0,0.0,0.0,3.05,4.5,227,0.0,12.69
2024-01-29,5.5,-4.1,-0.2,0.0,0.0,0.0,2.51,6.4,356,1.0,12.44
2024-01-30,1.1,-4.8,-1.7,0.0,0.0,0.0,2.57,5.8,13,3.0,10.59
2024-01-31,1.1,-4.7,-2.1,0.0,0.0,0.0,3.86,9.1,27,3.0,8.11
2024-02-01,-1.2,-6.0,-3.3,0.3,0.0,0.21,1.8,6.0,82,71.0,10.88
2024-02-02,-0.5,-7.1,-3.7,0.1,0.0,0.07,2.6,6.5,139,71.0,10.89
2024-02-03,1.7,-5.5,-1.8,0.0,0.0,0.07,1.96,4.9,67,71.0,12.2
2024-02-04,0.0,-5.9,-3.0,1.0,0.0,0.7,1.17,4.2,77,71.0,5.84
2024-02-05,1.7,-5.7,-2.3,0.0,0.0,0.0,2.94,5.7,161,2.0,13.38
2024-02-06,4.6,-6.1,-1.6,0.0,0.0,0.0,2.73,5.7,245,1.0,12.92
2024-02-07,4.6,-5.9,-1.5,0.0,0.0,0.0,2.72,4.6,269,1.0,13.49
2024-02-08,6.4,-4.5,-0.1,0.0,0.0,0.0,2.75,5.5,193,2.0,13.68
2024-02-09,11.4,-4.4,2.3,0.0,0.0,0.0,4.36,8.5,287,0.0,14.14
2024-02-10,6.7,-4.0,0.5,0.0,0.0,0.0,2.73,5.3,193,1.0,13.46
2024-02-11,14.4,-2.4,4.7,0.0,0.0,0.0,3.16,5.7,227,0.0,14.61
2024-02-12,14.3,-3.4,4.2,0.0,0.0,0.0,2.98,6.7,190,0.0,14.58
2024-02-13,15.6,-2.1,5.6,0.0,0.0,0.0,1.99,5.2,310,0.0,14.21
2024-02-14,11.4,0.0,5.9,0.0,0.0,0.0,4.94,9.5,20,3.0,8.92
2024-02-15,11.0,-0.4,5.6,0.0,0.0,0.0,4.22,8.8,179,3.0,15.0
2024-02-16,14.2,-3.8,4.8,0.0,0.0,0.0,4.88,10.4,177,0.0,15.06
2024-02-17,14.0,-1.5,5.8,0.0,0.0,0.0,2.14,5.7,34,3.0,14.94
