time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,weathercode,shortwave_radiation_sum
2024-01-01,-10.0,-25.6,-16.3,0.0,0.0,0.0,5.75,10.2,201,3.0,5.52
2024-01-02,-13.7,-21.5,-17.9,0.0,0.0,0.0,2.55,4.1,221,3.0,6.07
2024-01-03,-7.9,-18.9,-12.7,0.0,0.0,0.0,5.0,8.1,194,3.0,5.52
2024-01-04,-3.7,-13.5,-8.6,0.0,0.0,0.0,6.41,10.9,193,3.0,5.37
2024-01-05,-12.6,-21.8,-16.7,0.0,0.0,0.0,6.4,10.5,270,3.0,6.12
2024-01-06,-10.2,-26.3,-17.8,0.0,0.0,0.0,3.42,7.1,251,3.0,6.04
2024-01-07,-14.7,-23.7,-19.8,0.0,0.0,0.0,4.72,9.2,283,3.0,6.59
2024-01-08,-12.1,-23.5,-18.6,0.0,0.0,0.0,6.35,10.9,206,3.0,6.54
2024-01-09,-12.3,-24.9,-19.4,0.0,0.0,0.0,3.91,6.1,282,1.0,7.51
2024-01-10,-8.0,-23.5,-14.3,0.0,0.0,0.0,7.6,12.5,200,3.0,7.26
2024-01-11,-9.7,-19.7,-14.2,0.8,0.0,0.56,5.52,9.9,275,71.0,5.1
2024-01-12,-13.7,-26.3,-20.0,0.0,0.0,0.0,3.45,4.5,283,3.0,7.55
2024-01-13,-14.4,-30.2,-21.9,0.5,0.0,0.35,3.26,5.6,175,71.0,6.41
2024-01-14,-12.8,-17.4,-15.1,0.5,0.0,0.35,6.71,10.5,283,71.0,8.1
2024-01-15,-14.5,-24.2,-19.8,0.0,0.0,0.0,4.61,7.2,268,1.0,8.25
2024-01-16,-7.5,-24.4,-14.4,0.0,0.0,0.0,7.34,11.4,203,0.0,8.22
2024-01-17,-7.1,-19.6,-11.3,0.0,0.0,0.0,6.13,9.1,255,1.0,7.81
2024-01-18,-13.7,-23.1,-19.3,0.0,0.0,0.0,4.27,5.0,327,2.0,8.4
2024-01-19,-17.7,-28.3,-23.0,0.0,0.0,0.0,3.3,5.1,315,3.0,8.42
2024-01-20,-17.7,-24.4,-20.6,0.5,0.0,0.35,5.99,10.0,27,71.0,7.09
2024-01-21,-19.7,-21.8,-20.7,0.8,0.0,0.56,5.22,8.8,10,71.0,6.27
2024-01-22,-21.2,-28.7,-23.7,0.2,0.0,0.14,5.2,9.3,337,71.0,8.4
2024-01-23,-18.1,-32.3,-24.3,0.4,0.0,0.28,3.4,5.5,264,71.0,6.81
2024-01-24,-16.3,-25.9,-21.4,0.0,0.0,0.0,3.72,7.0,305,3.0,8.97
2024-01-25,-11.6,-28.1,-20.8,0.0,0.0,0.0,3.51,5.9,188,2.0,9.08
2024-01-26,-13.1,-23.1,-18.5,0.0,0.0,0.0,2.48,4.5,245,3.0,8.06
2024-01-27,-13.4,-21.1,-17.6,0.0,0.0,0.0,2.51,4.5,194,3.0,6.67
2024-01-28,-9.1,-21.6,-16.0,0.0,0.0,0.0,4.22,6.8,180,3.0,7.96
2024-01-29,-15.7,-22.0,-19.5,0.0,0.0,0.0,3.01,5.1,291,3.0,8.66
2024-01-30,-17.4,-26.2,-21.2,0.5,0.0,0.35,4.3,7.3,43,71.0,8.65
2024-01-31,-17.7,-27.9,-21.8,0.1,0.0,0.07,5.0,8.2,302,71.0,10.22
2024-02-01,-17.2,-29.3,-23.7,0.0,0.0,0.0,4.65,8.2,244,1.0,10.43
2024-02-02,-16.0,-26.7,-22.2,0.0,0.0,0.0,4.14,5.9,235,3.0,10.53
2024-02-03,-14.1,-31.3,-23.2,0.0,0.0,0.0,3.36,5.9,220,3.0,10.54
2024-02-04,-13.4,-26.2,-20.4,0.0,0.0,0.0,3.71,5.2,231,1.0,10.86
2024-02-05,-15.1,-27.0,-21.0,0.0,0.0,0.0,3.1,5.8,16,3.0,9.59
2024-02-06,-12.3,-22.4,-18.8,0.0,0.0,0.0,3.3,5.1,307,3.0,10.15
2024-02-07,-9.5,-26.3,-18.1,0.0,0.0,0.0,4.18,6.7,229,3.0,10.42
2024-02-08,-8.8,-23.0,-16.6,0.0,0.0,0.0,2.98,5.6,218,3.0,10.83
2024-02-09,-6.9,-19.8,-13.9,0.0,0.0,0.0,3.32,5.0,172,3.0,8.93
2024-02-10,-8.9,-17.4,-13.1,0.0,0.0,0.0,4.16,7.0,211,3.0,7.12
2024-02-11,-5.1,-13.3,-9.8,0.2,0.0,0.14,5.22,7.8,198,71.0,11.53
2024-02-12,3.3,-11.1,-2.5,0.0,0.0,0.0,10.98,17.1,204,0.0,11.87
2024-02-13,4.0,-2.1,1.9,0.0,0.0,0.0,9.78,15.6,228,3.0,11.57
2024-02-14,-2.1,-16.0,-5.9,0.0,0.0,0.0,6.19,9.3,297,3.0,8.59
2024-02-15,-7.4,-18.9,-13.3,0.0,0.0,0.0,5.05,8.7,277,3.0,12.51
