time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum
2024-01-01,3.0,5.7,-3.0,1.2,0.0,0.0,0.0,3.18,7.3,220,9.38
2024-01-02,3.0,12.0,0.9,5.3,0.0,0.0,0.0,5.41,10.1,282,11.08
2024-01-03,0.0,11.6,1.1,6.1,0.0,0.0,0.0,4.43,8.4,252,11.62
2024-01-04,0.0,14.6,2.0,7.1,0.0,0.0,0.0,4.49,9.2,230,11.16
2024-01-05,1.0,11.0,1.2,5.0,0.0,0.0,0.0,3.05,5.8,317,11.37
2024-01-06,2.0,7.4,-1.6,3.3,0.0,0.0,0.0,5.14,11.0,24,11.6
2024-01-07,2.0,4.9,-4.0,0.4,0.0,0.0,0.0,2.45,5.8,107,10.93
2024-01-08,0.0,8.0,-3.1,2.0,0.0,0.0,0.0,3.14,7.2,197,11.43
2024-01-09,2.0,8.7,-0.3,3.6,0.0,0.0,0.0,4.2,8.3,10,11.7
2024-01-10,0.0,7.8,-4.0,2.2,0.0,0.0,0.0,3.58,7.9,206,11.92
2024-01-11,0.0,15.6,-0.6,6.7,0.0,0.0,0.0,4.88,9.3,250,12.0
2024-01-12,1.0,11.3,0.1,4.9,0.0,0.0,0.0,3.0,4.8,67,11.92
2024-01-13,3.0,11.1,-0.3,5.0,0.0,0.0,0.0,2.15,4.4,29,8.79
2024-01-14,2.0,6.4,-0.2,3.4,0.0,0.0,0.0,7.36,14.1,30,12.19
2024-01-15,73.0,3.7,-4.3,-0.2,3.0,0.1,2.03,2.4,8.0,15,8.15
2024-01-16,73.0,1.6,-1.3,0.1,7.3,1.1,4.34,2.02,5.0,54,7.4
2024-01-17,73.0,4.4,-0.5,1.3,0.5,0.0,0.35,2.27,4.9,329,11.91
2024-01-18,3.0,1.4,-1.3,0.3,0.0,0.0,0.0,5.94,11.6,43,4.71
2024-01-19,71.0,1.2,-1.2,0.2,0.4,0.0,0.28,5.69,11.1,34,6.6
2024-01-20,2.0,2.5,-2.1,-0.0,0.0,0.0,0.0,3.26,7.6,28,11.3
2024-01-21,3.0,1.3,-3.5,-1.2,0.0,0.0,0.0,4.12,7.5,36,10.67
2024-01-22,3.0,-2.2,-7.4,-4.6,0.0,0.0,0.0,2.64,6.5,46,12.33
2024-01-23,2.0,1.7,-8.7,-3.8,0.0,0.0,0.0,3.91,7.3,265,12.65
2024-01-24,1.0,4.2,-5.2,-1.1,0.0,0.0,0.0,4.3,7.9,284,13.42
2024-01-25,1.0,7.1,-3.5,0.7,0.0,0.0,0.0,4.02,7.8,272,13.69
2024-01-26,2.0,8.4,-2.3,2.0,0.0,0.0,0.0,3.85,7.0,271,13.36
2024-01-27,1.0,8.4,-1.7,2.4,0.0,0.0,0.0,4.69,9.3,283,13.96
2024-01-28,1.0,11.2,-3.1,2.9,0.0,0.0,0.0,2.94,6.1,241,14.2
2024-01-29,1.0,11.4,-0.5,4.8,0.0,0.0,0.0,3.42,8.3,153,13.5
2024-01-30,2.0,8.0,2.2,4.4,0.0,0.0,0.0,2.66,5.4,62,12.65
2024-01-31,73.0,2.5,-1.1,0.9,1.3,0.0,0.91,6.37,12.0,36,7.06
2024-02-01,73.0,-1.2,-3.7,-2.8,2.7,0.0,1.89,6.96,13.6,35,6.6
2024-02-02,73.0,-3.6,-4.6,-3.9,1.7,0.0,1.19,3.54,7.3,37,3.78
2024-02-03,71.0,-0.0,-3.8,-2.1,0.4,0.0,0.28,4.0,8.8,20,8.7
2024-02-04,73.0,-0.4,-4.9,-2.1,2.7,0.0,1.89,5.22,9.1,18,5.18
2024-02-05,2.0,2.0,-6.3,-2.6,0.0,0.0,0.0,2.24,5.2,237,14.4
2024-02-06,2.0,4.8,-3.3,-0.0,0.0,0.0,0.0,2.55,5.5,151,12.54
2024-02-07,3.0,4.8,-3.7,0.1,0.0,0.0,0.0,1.8,4.6,233,12.23
2024-02-08,3.0,8.4,-2.0,2.5,0.0,0.0,0.0,2.59,6.4,229,14.88
2024-02-09,0.0,13.2,0.8,6.4,0.0,0.0,0.0,5.5,11.8,266,15.47
2024-02-10,3.0,13.9,-0.7,6.5,0.0,0.0,0.0,4.77,11.1,293,14.12
2024-02-11,0.0,16.7,3.0,9.5,0.0,0.0,0.0,3.96,8.6,241,16.03
2024-02-12,0.0,18.6,4.1,11.3,0.0,0.0,0.0,3.14,7.3,189,15.49
2024-02-13,0.0,19.9,5.7,12.4,0.0,0.0,0.0,2.62,6.6,188,15.31
2024-02-14,51.0,17.9,6.5,11.2,0.4,0.4,0.0,8.54,15.4,7,11.28
2024-02-15,3.0,10.8,4.4,7.5,0.0,0.0,0.0,5.13,10.2,69,13.61
2024-02-16,0.0,14.6,3.4,8.9,0.0,0.0,0.0,5.22,11.4,187,16.4
2024-02-17,3.0,16.8,6.0,11.2,0.0,0.0,0.0,5.65,11.5,173,16.02
2024-02-18,51.0,17.1,11.0,13.6,0.8,0.8,0.0,3.76,10.0,48,7.3
2024-02-19,73.0,11.9,1.1,6.4,6.5,5.5,0.7,6.92,13.2,34,2.92
