time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum
2024-01-01,3.0,10.6,3.4,6.5,0.0,0.0,0.0,2.83,5.5,48,12.1
2024-01-02,55.0,6.4,3.9,5.2,6.5,6.5,0.0,3.3,4.4,344,1.45
2024-01-03,3.0,7.0,1.9,4.3,0.0,0.0,0.0,2.83,4.5,232,7.69
2024-01-04,3.0,12.5,2.0,6.5,0.0,0.0,0.0,2.77,5.6,142,11.56
2024-01-05,3.0,14.2,3.5,8.3,0.0,0.0,0.0,2.73,3.8,49,10.55
2024-01-06,3.0,15.2,3.8,8.8,0.0,0.0,0.0,4.52,7.2,18,12.3
2024-01-07,3.0,10.7,6.4,8.1,0.0,0.0,0.0,4.21,6.9,57,7.5
2024-01-08,51.0,10.3,5.4,7.3,0.1,0.1,0.0,3.18,5.4,75,10.53
2024-01-09,3.0,13.0,5.1,8.4,0.0,0.0,0.0,3.69,6.6,16,10.8
2024-01-10,1.0,11.5,3.6,6.9,0.0,0.0,0.0,4.07,7.1,54,13.36
2024-01-11,2.0,15.8,3.0,8.8,0.0,0.0,0.0,3.41,7.0,178,13.21
2024-01-12,0.0,17.2,5.5,10.3,0.0,0.0,0.0,2.94,4.2,148,13.35
2024-01-13,0.0,20.0,6.7,12.4,0.0,0.0,0.0,3.36,6.6,118,13.45
2024-01-14,51.0,13.0,8.0,10.9,1.7,1.7,0.0,6.77,11.0,27,4.98
2024-01-15,3.0,9.9,6.5,8.3,0.0,0.0,0.0,5.61,9.3,36,4.77
2024-01-16,63.0,7.3,4.8,5.6,12.2,12.2,0.0,3.77,11.3,19,1.86
2024-01-17,61.0,5.2,4.0,4.7,18.2,18.2,0.0,2.83,12.6,347,1.72
2024-01-18,61.0,5.1,3.9,4.6,14.5,14.5,0.0,4.83,7.9,13,0.94
2024-01-19,53.0,4.5,2.1,3.7,7.4,7.4,0.0,6.01,9.3,4,1.17
2024-01-20,71.0,4.7,1.2,2.6,0.6,0.5,0.07,6.2,9.9,358,8.8
2024-01-21,71.0,4.5,0.5,2.5,0.2,0.0,0.14,7.23,12.3,15,10.69
2024-01-22,71.0,1.6,-3.8,-0.5,0.2,0.0,0.14,8.39,12.8,18,9.27
2024-01-23,0.0,2.5,-5.4,-2.0,0.0,0.0,0.0,5.02,8.8,13,15.19
2024-01-24,1.0,4.5,-4.0,0.1,0.0,0.0,0.0,2.26,4.7,327,14.48
2024-01-25,0.0,7.3,-1.8,2.4,0.0,0.0,0.0,2.47,4.6,276,14.94
2024-01-26,2.0,7.4,1.3,3.4,0.0,0.0,0.0,2.33,3.7,288,9.68
2024-01-27,1.0,10.3,0.2,5.1,0.0,0.0,0.0,2.64,6.4,336,15.01
2024-01-28,2.0,11.4,-0.5,5.8,0.0,0.0,0.0,2.78,4.8,85,15.17
2024-01-29,2.0,11.7,5.1,8.4,0.0,0.0,0.0,2.62,5.0,128,12.05
2024-01-30,51.0,11.6,5.0,8.6,0.8,0.8,0.0,2.16,5.1,100,7.25
2024-01-31,61.0,10.3,7.4,8.9,7.0,7.0,0.0,5.08,7.9,26,3.19
2024-02-01,53.0,7.3,0.3,3.5,3.6,3.6,0.0,7.47,12.6,9,0.98
2024-02-02,73.0,0.2,-0.5,-0.1,13.0,12.5,0.35,5.97,11.0,11,1.22
2024-02-03,73.0,-0.2,-1.1,-0.6,17.6,16.5,0.77,5.72,9.7,5,1.37
2024-02-04,75.0,-0.4,-2.7,-1.0,12.4,4.1,5.81,5.12,8.2,356,3.07
2024-02-05,3.0,0.3,-3.2,-1.4,0.0,0.0,0.0,4.08,7.5,5,9.08
2024-02-06,73.0,0.4,-1.3,-0.5,5.2,0.0,3.64,4.27,6.4,3,3.21
2024-02-07,3.0,3.3,-0.1,1.1,0.0,0.0,0.0,3.63,5.9,15,9.0
2024-02-08,3.0,5.4,-2.4,1.6,0.0,0.0,0.0,2.65,4.9,323,14.98
2024-02-09,2.0,9.5,-1.0,3.6,0.0,0.0,0.0,3.18,7.1,232,16.7
2024-02-10,0.0,14.5,1.4,6.7,0.0,0.0,0.0,4.29,7.6,221,16.82
2024-02-11,3.0,17.1,2.8,9.2,0.0,0.0,0.0,2.97,6.1,132,17.16
2024-02-12,2.0,19.9,5.7,12.5,0.0,0.0,0.0,4.31,7.8,141,17.13
2024-02-13,1.0,22.4,11.2,15.9,0.0,0.0,0.0,5.37,10.0,170,15.95
2024-02-14,61.0,23.0,12.2,17.0,3.0,3.0,0.0,3.26,7.2,131,12.89
2024-02-15,63.0,15.4,7.8,10.3,12.1,12.1,0.0,10.58,17.5,13,6.53
2024-02-16,2.0,13.0,5.0,8.7,0.0,0.0,0.0,3.75,7.9,154,17.33
2024-02-17,53.0,18.2,7.4,12.7,1.0,1.0,0.0,5.1,11.4,152,14.11
2024-02-18,63.0,25.7,13.8,18.9,14.8,14.8,0.0,6.04,17.2,176,11.73
2024-02-19,55.0,16.8,7.7,13.2,8.8,8.8,0.0,7.66,12.3,14,2.73
2024-02-20,63.0,7.7,2.7,5.2,49.0,49.0,0.0,7.4,14.5,15,1.81
2024-02-21,73.0,2.5,-2.4,-0.5,27.9,27.0,0.63,9.02,15.3,9,1.35
2024-02-22,71.0,-2.1,-3.4,-2.7,13.8,13.6,0.14,7.79,12.7,9,2.19
2024-02-23,53.0,-0.6,-2.9,-1.7,3.6,3.6,0.0,5.94,8.9,9,4.25
2024-02-24,73.0,0.3,-2.7,-1.6,1.6,0.7,0.63,4.43,6.9,341,3.35
2024-02-25,3.0,4.6,-3.1,0.8,0.0,0.0,0.0,2.5,5.6,324,16.42
2024-02-26,2.0,5.0,0.9,3.0,0.0,0.0,0.0,2.1,4.8,13,10.95
2024-02-27,3.0,8.1,-0.3,4.6,0.0,0.0,0.0,2.4,5.7,44,18.7
2024-02-28,53.0,8.4,5.3,6.7,0.7,0.7,0.0,3.42,5.7,5,8.62
2024-02-29,53.0,7.4,3.4,5.6,1.7,1.7,0.0,6.44,10.9,360,12.16
2024-03-01,3.0,7.2,3.5,5.4,0.0,0.0,0.0,5.0,7.6,35,12.36
2024-03-02,3.0,11.6,2.7,6.9,0.0,0.0,0.0,3.36,6.9,209,16.32
2024-03-03,2.0,13.3,5.0,9.4,0.0,0.0,0.0,4.25,8.6,136,18.3
2024-03-04,53.0,11.1,8.7,9.4,3.6,3.6,0.0,3.4,5.4,73,1.77
2024-03-05,53.0,10.9,8.2,9.4,1.4,1.4,0.0,6.71,11.2,3,4.4
2024-03-06,3.0,11.1,8.1,9.4,0.0,0.0,0.0,5.64,9.1,20,9.64
2024-03-07,2.0,15.6,6.2,10.2,0.0,0.0,0.0,2.83,6.0,328,19.43
2024-03-08,3.0,16.5,5.5,10.9,0.0,0.0,0.0,2.44,5.4,11,20.39
2024-03-09,3.0,14.5,8.1,11.2,0.0,0.0,0.0,3.99,7.9,98,12.01
2024-03-10,3.0,18.2,7.0,12.9,0.0,0.0,0.0,3.31,7.3,120,20.28
2024-03-11,3.0,21.5,10.0,15.1,0.0,0.0,0.0,4.02,7.8,259,20.95
2024-03-12,3.0,22.8,10.8,16.3,0.0,0.0,0.0,4.56,9.0,67,19.02
2024-03-13,51.0,19.0,13.5,15.5,0.6,0.6,0.0,5.2,8.6,119,9.9
2024-03-14,3.0,19.2,11.4,15.4,0.0,0.0,0.0,1.66,4.4,50,14.2
2024-03-15,3.0,20.1,13.3,16.3,0.0,0.0,0.0,5.47,10.6,123,14.11
2024-03-16,53.0,19.8,14.4,17.2,1.5,1.5,0.0,1.66,4.3,241,12.27
2024-03-17,61.0,17.7,11.9,15.3,8.3,8.3,0.0,6.08,10.7,39,1.44
2024-03-18,63.0,11.6,7.5,9.8,16.7,16.7,0.0,5.92,11.3,3,2.87
2024-03-19,3.0,19.3,6.5,12.2,0.0,0.0,0.0,3.26,6.4,263,22.37
2024-03-20,3.0,20.9,9.4,14.7,0.0,0.0,0.0,3.31,5.2,167,22.69
2024-03-21,1.0,23.4,12.1,17.2,0.0,0.0,0.0,6.62,11.8,170,21.65
2024-03-22,51.0,25.9,14.4,20.3,0.9,0.9,0.0,5.58,10.6,169,19.4
2024-03-23,63.0,26.4,18.2,21.2,43.9,43.9,0.0,4.78,13.8,138,9.63
2024-03-24,63.0,20.6,14.5,17.7,19.2,19.2,0.0,7.25,15.5,16,7.6
2024-03-25,63.0,15.8,8.5,11.6,15.8,15.8,0.0,8.46,16.6,356,5.16
2024-03-26,51.0,17.9,7.6,12.8,0.4,0.4,0.0,3.83,6.7,77,23.2
2024-03-27,63.0,14.9,12.9,14.0,18.1,18.1,0.0,4.12,12.3,102,3.88
2024-03-28,53.0,23.8,12.6,17.4,1.1,1.1,0.0,4.4,6.8,247,22.18
2024-03-29,1.0,28.7,18.0,22.5,0.0,0.0,0.0,6.82,11.6,208,23.57
2024-03-30,3.0,30.9,18.3,24.5,0.0,0.0,0.0,5.04,9.5,186,22.74
2024-03-31,61.0,27.5,18.9,22.9,6.8,6.8,0.0,3.73,6.4,269,20.96
2024-04-01,63.0,24.9,20.4,22.1,6.6,6.6,0.0,6.64,10.9,122,15.2
