time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum
2024-01-01,0.0,8.0,-2.0,2.1,0.0,0.0,0.0,2.92,6.6,80,12.14
2024-01-02,73.0,7.4,-1.4,2.2,6.1,5.3,0.56,3.86,7.3,40,6.56
2024-01-03,3.0,6.3,0.4,3.2,0.0,0.0,0.0,3.29,6.4,272,7.48
2024-01-04,3.0,11.3,-1.4,3.4,0.0,0.0,0.0,3.77,8.1,177,12.49
2024-01-05,1.0,14.2,0.9,6.2,0.0,0.0,0.0,3.0,4.0,261,11.6
2024-01-06,3.0,11.7,0.3,5.3,0.0,0.0,0.0,3.23,6.8,11,11.63
2024-01-07,2.0,7.2,0.5,3.3,0.0,0.0,0.0,3.61,7.3,46,12.8
2024-01-08,71.0,6.2,1.0,2.7,0.2,0.0,0.14,4.1,7.8,105,4.19
2024-01-09,3.0,12.0,-0.5,5.4,0.0,0.0,0.0,4.2,8.0,274,10.27
2024-01-10,1.0,6.7,-1.3,2.8,0.0,0.0,0.0,3.27,7.3,360,13.18
2024-01-11,1.0,13.7,-2.2,4.8,0.0,0.0,0.0,3.94,8.4,198,13.15
2024-01-12,0.0,16.5,1.4,8.1,0.0,0.0,0.0,2.81,6.6,250,12.86
2024-01-13,3.0,17.7,1.4,8.7,0.0,0.0,0.0,4.06,6.8,121,13.06
2024-01-14,51.0,13.2,3.5,7.5,0.8,0.8,0.0,6.2,11.5,3,6.9
2024-01-15,1.0,6.7,-1.3,2.7,0.0,0.0,0.0,4.72,8.1,46,13.56
2024-01-16,55.0,8.5,0.6,5.0,2.2,2.2,0.0,6.01,11.6,99,6.42
2024-01-17,55.0,8.9,6.0,7.1,9.7,9.7,0.0,3.4,7.5,311,3.79
2024-01-18,61.0,6.3,5.0,5.5,14.2,14.2,0.0,4.46,8.3,22,0.78
2024-01-19,53.0,5.9,3.0,4.1,6.9,6.9,0.0,4.7,8.8,29,1.4
2024-01-20,73.0,3.6,1.3,2.6,5.5,4.4,0.77,4.89,8.8,328,5.18
2024-01-21,3.0,3.2,0.6,2.0,0.0,0.0,0.0,4.97,9.9,3,9.98
2024-01-22,3.0,0.1,-4.7,-2.3,0.0,0.0,0.0,5.71,11.2,358,10.56
2024-01-23,1.0,-0.7,-6.4,-3.8,0.0,0.0,0.0,4.91,10.0,322,13.47
2024-01-24,1.0,3.5,-5.7,-1.5,0.0,0.0,0.0,2.88,6.7,304,14.83
2024-01-25,0.0,6.4,-3.5,0.6,0.0,0.0,0.0,2.75,6.1,285,14.64
2024-01-26,2.0,6.9,-3.1,1.3,0.0,0.0,0.0,1.58,5.0,278,14.05
2024-01-27,0.0,8.3,-2.3,1.9,0.0,0.0,0.0,3.05,6.3,274,14.48
2024-01-28,2.0,10.0,-3.2,2.6,0.0,0.0,0.0,2.68,4.1,301,15.08
2024-01-29,2.0,11.8,0.1,5.4,0.0,0.0,0.0,3.67,8.4,106,12.9
2024-01-30,51.0,12.6,5.7,8.7,0.2,0.2,0.0,2.8,5.6,109,7.19
2024-01-31,61.0,9.1,7.3,8.2,14.2,14.2,0.0,3.48,7.3,48,1.55
2024-02-01,73.0,7.7,0.1,3.6,7.4,6.6,0.56,6.44,11.7,26,1.28
2024-02-02,71.0,2.1,-0.2,0.7,7.0,6.2,0.56,4.68,9.0,41,2.49
2024-02-03,73.0,1.3,0.1,0.6,8.9,6.3,1.82,4.66,9.1,17,1.7
2024-02-04,75.0,0.9,0.1,0.5,20.4,6.9,9.45,4.25,7.4,2,2.37
2024-02-05,3.0,-0.3,-1.4,-0.9,0.0,0.0,0.0,4.53,8.9,316,6.9
2024-02-06,3.0,2.9,-1.3,0.7,0.0,0.0,0.0,3.26,7.4,17,8.06
2024-02-07,2.0,5.4,-0.0,2.1,0.0,0.0,0.0,3.32,7.9,13,13.51
2024-02-08,3.0,6.9,-1.9,2.1,0.0,0.0,0.0,2.47,6.2,328,14.45
2024-02-09,1.0,9.8,-1.5,3.9,0.0,0.0,0.0,4.02,8.5,247,16.37
2024-02-10,51.0,14.3,2.0,7.1,0.1,0.1,0.0,4.02,8.4,242,16.31
2024-02-11,1.0,15.1,1.8,7.5,0.0,0.0,0.0,3.58,7.7,242,16.69
2024-02-12,0.0,18.6,2.6,9.9,0.0,0.0,0.0,4.18,8.5,166,16.94
2024-02-13,51.0,19.5,5.9,12.1,0.4,0.4,0.0,4.24,9.2,164,13.95
2024-02-14,2.0,22.4,7.7,14.5,0.0,0.0,0.0,3.26,6.2,191,16.06
2024-02-15,53.0,13.7,2.6,7.3,3.7,3.7,0.0,8.26,14.5,18,3.89
2024-02-16,3.0,10.5,0.3,5.2,0.0,0.0,0.0,3.42,7.0,128,17.94
2024-02-17,3.0,17.8,3.9,11.0,0.0,0.0,0.0,5.02,9.7,150,15.13
2024-02-18,63.0,24.3,12.4,17.4,18.1,18.1,0.0,6.44,13.2,182,12.14
2024-02-19,55.0,16.0,4.6,11.3,4.0,4.0,0.0,6.22,12.7,20,2.86
2024-02-20,63.0,4.7,3.2,3.8,13.8,13.8,0.0,6.23,12.4,52,1.48
2024-02-21,71.0,3.7,-0.7,0.7,24.3,24.2,0.07,6.36,11.4,6,1.23
2024-02-22,73.0,-0.7,-2.1,-1.6,2.8,0.8,1.4,5.02,9.4,351,3.13
2024-02-23,73.0,0.3,-2.7,-1.2,1.0,0.0,0.7,4.32,7.2,352,9.36
2024-02-24,73.0,0.3,-1.3,-0.6,2.9,0.0,2.03,3.04,6.2,323,4.29
2024-02-25,3.0,4.6,-1.3,1.1,0.0,0.0,0.0,3.45,8.0,332,18.07
2024-02-26,2.0,7.3,-0.0,3.5,0.0,0.0,0.0,4.2,8.4,30,14.24
2024-02-27,1.0,8.0,-0.6,3.9,0.0,0.0,0.0,3.3,6.6,59,17.57
2024-02-28,51.0,5.4,2.2,3.8,1.0,1.0,0.0,3.13,6.4,50,4.13
2024-02-29,55.0,4.3,2.2,3.4,7.5,7.5,0.0,5.36,10.1,337,2.83
2024-03-01,3.0,5.5,0.9,2.7,0.0,0.0,0.0,4.37,8.7,24,15.0
2024-03-02,3.0,10.4,-1.6,4.6,0.0,0.0,0.0,4.47,9.2,217,18.0
2024-03-03,0.0,14.4,1.8,8.3,0.0,0.0,0.0,3.92,7.3,168,19.93
2024-03-04,53.0,9.7,7.8,8.8,3.9,3.9,0.0,4.02,7.7,102,1.62
2024-03-05,55.0,8.7,7.0,8.0,5.0,5.0,0.0,4.57,8.3,345,1.59
2024-03-06,3.0,10.0,4.9,7.1,0.0,0.0,0.0,4.43,8.1,5,15.72
2024-03-07,3.0,12.8,1.8,7.3,0.0,0.0,0.0,3.81,7.8,266,15.64
2024-03-08,2.0,13.6,3.1,8.1,0.0,0.0,0.0,3.5,8.0,349,19.3
2024-03-09,1.0,14.0,2.3,8.2,0.0,0.0,0.0,3.06,7.4,89,19.31
2024-03-10,3.0,16.5,4.3,10.2,0.0,0.0,0.0,4.84,10.3,117,21.03
2024-03-11,3.0,20.1,9.7,13.7,0.0,0.0,0.0,4.91,10.9,238,18.4
2024-03-12,51.0,16.7,7.7,11.8,0.2,0.2,0.0,5.11,10.3,20,21.45
2024-03-13,3.0,16.9,4.8,10.9,0.0,0.0,0.0,3.91,8.9,121,17.78
2024-03-14,51.0,13.1,8.8,10.8,2.4,2.4,0.0,3.45,6.9,70,6.4
2024-03-15,3.0,19.2,6.6,12.2,0.0,0.0,0.0,3.92,7.9,101,19.93
2024-03-16,1.0,21.5,10.2,15.8,0.0,0.0,0.0,3.4,5.9,110,17.38
2024-03-17,53.0,15.3,7.7,12.3,2.4,2.4,0.0,5.98,11.2,47,2.73
2024-03-18,51.0,11.1,5.2,8.3,0.5,0.5,0.0,4.22,8.9,68,11.22
2024-03-19,1.0,17.5,5.1,11.0,0.0,0.0,0.0,5.38,10.7,291,22.48
2024-03-20,0.0,19.0,4.8,11.9,0.0,0.0,0.0,3.18,5.9,197,22.9
2024-03-21,1.0,22.7,6.8,14.9,0.0,0.0,0.0,5.14,10.0,156,20.7
2024-03-22,3.0,25.8,11.4,18.5,0.0,0.0,0.0,5.69,11.4,202,21.9
2024-03-23,63.0,19.6,16.3,17.6,30.2,30.2,0.0,4.12,10.0,100,3.81
