time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,weathercode,shortwave_radiation_sum
2024-01-01,6.8,-7.3,-1.6,0.0,0.0,0.0,2.65,7.2,291,3.0,11.74
2024-01-02,4.9,-8.6,-3.4,0.0,0.0,0.0,1.4,4.8,17,0.0,11.88
2024-01-03,6.9,-12.2,-3.9,0.0,0.0,0.0,2.44,6.8,312,0.0,11.98
2024-01-04,4.9,-11.3,-4.0,0.0,0.0,0.0,2.38,5.7,99,1.0,11.9
2024-01-05,4.8,-10.0,-3.7,0.0,0.0,0.0,1.62,5.2,45,2.0,11.58
2024-01-06,5.3,-9.9,-3.4,0.0,0.0,0.0,1.4,4.6,27,0.0,12.08
2024-01-07,6.0,-12.0,-3.5,0.0,0.0,0.0,3.35,8.5,297,1.0,12.16
2024-01-08,7.7,-11.9,-2.4,0.0,0.0,0.0,4.0,10.2,288,1.0,11.98
2024-01-09,7.0,-10.1,-2.4,0.0,0.0,0.0,2.06,7.5,314,0.0,12.47
2024-01-10,7.3,-10.5,-3.1,0.0,0.0,0.0,2.42,6.6,303,2.0,12.41
2024-01-11,9.0,-11.2,-2.2,0.0,0.0,0.0,1.94,5.8,297,0.0,12.59
2024-01-12,10.8,-8.4,-0.9,0.0,0.0,0.0,1.86,6.0,315,0.0,12.78
2024-01-13,8.7,-8.9,-1.7,0.0,0.0,0.0,3.31,5.7,113,1.0,12.36
2024-01-14,5.5,-8.9,-2.0,0.0,0.0,0.0,1.81,4.2,103,3.0,12.2
2024-01-15,9.0,-4.2,1.0,0.0,0.0,0.0,1.75,4.6,107,3.0,12.28
2024-01-16,8.0,-6.8,-0.9,0.0,0.0,0.0,3.79,9.6,294,0.0,13.02
2024-01-17,6.1,-10.0,-2.4,0.0,0.0,0.0,1.62,4.9,139,2.0,12.63
2024-01-18,7.1,-4.7,0.2,0.1,0.0,0.07,4.2,10.4,282,71.0,12.38
2024-01-19,6.1,-9.2,-2.5,0.0,0.0,0.0,2.91,8.1,147,1.0,12.97
2024-01-20,3.8,-10.0,-4.8,0.1,0.0,0.07,4.22,10.9,116,71.0,12.38
2024-01-21,-2.1,-12.7,-8.9,0.0,0.0,0.0,3.4,8.6,120,3.0,11.74
2024-01-22,0.3,-14.8,-8.9,0.0,0.0,0.0,4.75,10.4,108,2.0,13.18
2024-01-23,-4.8,-13.7,-10.3,0.0,0.0,0.0,3.42,8.0,124,3.0,12.95
2024-01-24,1.3,-16.2,-9.4,0.0,0.0,0.0,3.45,7.3,106,1.0,14.0
2024-01-25,0.1,-12.5,-8.1,0.0,0.0,0.0,3.41,9.0,165,3.0,12.3
