time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum
2024-01-01,2.0,8.4,1.9,5.0,0.0,0.0,0.0,1.92,5.4,224,5.98
2024-01-02,1.0,12.0,-1.5,4.4,0.0,0.0,0.0,4.1,10.6,237,11.7
2024-01-03,0.0,10.1,-2.8,3.1,0.0,0.0,0.0,2.25,5.5,76,11.97
2024-01-04,0.0,12.0,-2.6,3.8,0.0,0.0,0.0,2.04,7.0,193,11.58
2024-01-05,1.0,9.6,-0.9,3.6,0.0,0.0,0.0,1.9,5.4,199,11.24
2024-01-06,2.0,8.3,-1.5,3.2,0.0,0.0,0.0,2.08,6.2,44,12.01
2024-01-07,3.0,8.2,-0.9,3.1,0.0,0.0,0.0,1.84,5.1,43,8.83
2024-01-08,2.0,9.8,-2.3,3.4,0.0,0.0,0.0,2.01,5.5,54,12.09
2024-01-09,1.0,13.1,0.9,5.9,0.0,0.0,0.0,2.34,5.7,219,12.42
2024-01-10,1.0,9.3,-2.0,3.5,0.0,0.0,0.0,1.75,5.1,38,11.07
2024-01-11,0.0,14.3,-1.9,5.1,0.0,0.0,0.0,1.72,4.7,132,12.43
2024-01-12,0.0,13.8,-1.4,5.8,0.0,0.0,0.0,1.84,5.2,72,12.47
2024-01-13,1.0,12.5,-0.3,5.8,0.0,0.0,0.0,2.33,6.1,207,11.25
2024-01-14,1.0,10.5,2.2,6.4,0.0,0.0,0.0,2.14,5.8,34,12.55
2024-01-15,73.0,6.8,1.2,3.5,6.0,4.7,0.91,2.88,6.6,46,3.02
2024-01-16,73.0,1.7,0.5,1.2,2.5,0.4,1.47,1.81,4.8,15,4.42
2024-01-17,51.0,4.0,-0.3,2.1,0.2,0.2,0.0,1.3,4.5,31,8.45
2024-01-18,51.0,7.1,1.2,3.6,1.0,1.0,0.0,2.7,6.3,25,6.78
2024-01-19,71.0,3.3,1.0,2.3,1.9,0.6,0.91,2.16,5.9,18,5.66
2024-01-20,51.0,6.0,1.0,3.4,0.1,0.1,0.0,2.22,5.9,49,10.1
2024-01-21,71.0,3.4,-4.2,-0.1,0.9,0.1,0.56,2.82,7.3,28,7.17
2024-01-22,1.0,-3.2,-8.1,-5.5,0.0,0.0,0.0,2.42,6.7,52,13.76
2024-01-23,2.0,-2.2,-7.7,-5.1,0.0,0.0,0.0,1.56,5.4,321,12.5
2024-01-24,1.0,0.7,-7.3,-3.7,0.0,0.0,0.0,1.51,5.3,207,11.97
2024-01-25,1.0,2.3,-7.5,-2.7,0.0,0.0,0.0,1.43,5.9,233,13.07
2024-01-26,2.0,4.8,-5.0,-0.4,0.0,0.0,0.0,1.08,5.0,172,14.03
2024-01-27,1.0,6.3,-5.6,-0.1,0.0,0.0,0.0,1.2,4.7,80,14.4
2024-01-28,1.0,7.4,-5.3,0.4,0.0,0.0,0.0,2.42,6.5,41,14.12
2024-01-29,2.0,9.8,-4.0,2.2,0.0,0.0,0.0,3.05,6.4,67,12.98
2024-01-30,2.0,10.2,0.2,4.2,0.0,0.0,0.0,2.14,5.1,85,13.13
2024-01-31,53.0,5.1,-0.7,2.3,2.6,2.6,0.0,1.6,4.4,9,5.14
2024-02-01,71.0,3.5,-0.2,1.8,2.5,0.9,1.12,3.45,7.4,23,4.61
2024-02-02,71.0,0.2,-2.0,-0.9,3.1,0.0,2.17,2.87,6.9,20,5.53
2024-02-03,71.0,0.5,-2.6,-1.1,0.9,0.0,0.63,2.37,5.7,18,9.4
2024-02-04,71.0,1.2,-2.3,-0.6,0.9,0.0,0.63,2.37,6.0,23,9.02
2024-02-05,3.0,2.1,-2.9,-0.6,0.0,0.0,0.0,1.72,5.6,9,12.24
2024-02-06,3.0,3.5,-1.3,1.2,0.0,0.0,0.0,1.96,4.3,249,8.76
2024-02-07,71.0,4.1,-1.4,1.3,0.1,0.0,0.07,1.68,5.6,16,11.97
