time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum
2024-01-01,1.0,3.9,-6.2,-1.5,0.0,0.0,0.0,3.41,8.6,180,9.83
2024-01-02,2.0,5.7,-3.5,0.3,0.0,0.0,0.0,2.51,5.5,227,10.04
2024-01-03,0.0,5.7,-4.7,-0.2,0.0,0.0,0.0,5.16,9.5,203,10.66
2024-01-04,0.0,9.2,-0.0,3.5,0.0,0.0,0.0,7.34,13.9,198,10.28
2024-01-05,0.0,9.2,-1.6,2.4,0.0,0.0,0.0,2.72,5.5,96,10.62
2024-01-06,0.0,3.6,-2.9,-0.5,0.0,0.0,0.0,4.63,10.0,7,11.0
2024-01-07,0.0,3.0,-7.0,-2.3,0.0,0.0,0.0,2.77,5.9,87,11.1
2024-01-08,1.0,6.1,-3.8,1.1,0.0,0.0,0.0,5.66,11.8,188,10.47
2024-01-09,3.0,4.2,-3.3,1.3,0.0,0.0,0.0,4.44,9.1,27,8.37
2024-01-10,0.0,5.7,-5.7,0.3,0.0,0.0,0.0,6.11,11.8,200,11.24
2024-01-11,0.0,11.2,0.6,4.4,0.0,0.0,0.0,6.33,12.2,195,10.98
2024-01-12,0.0,10.5,-2.4,2.8,0.0,0.0,0.0,2.2,5.0,119,11.07
2024-01-13,51.0,10.4,-1.9,3.2,0.1,0.1,0.0,2.77,6.9,181,10.7
2024-01-14,51.0,4.2,-4.1,1.3,0.2,0.2,0.0,6.53,13.1,32,11.42
2024-01-15,2.0,5.1,-6.7,-1.2,0.0,0.0,0.0,2.55,5.4,192,11.86
2024-01-16,71.0,3.9,-0.6,1.9,0.8,0.0,0.56,2.09,4.8,167,5.53
2024-01-17,73.0,2.4,0.7,1.6,4.9,0.5,3.08,2.12,5.0,27,4.11
2024-01-18,3.0,2.7,-3.0,0.9,0.0,0.0,0.0,4.88,10.0,46,5.72
2024-01-19,3.0,0.4,-3.4,-1.6,0.0,0.0,0.0,5.67,11.5,44,9.8
2024-01-20,3.0,-0.3,-4.0,-1.3,0.0,0.0,0.0,3.9,8.4,34,6.01
2024-01-21,1.0,-1.9,-8.1,-4.9,0.0,0.0,0.0,5.25,10.9,5,11.85
2024-01-22,0.0,-4.5,-10.4,-7.5,0.0,0.0,0.0,5.02,10.2,354,12.79
2024-01-23,0.0,-1.4,-10.1,-5.8,0.0,0.0,0.0,4.11,9.1,287,12.76
2024-01-24,0.0,3.5,-7.2,-2.4,0.0,0.0,0.0,2.61,6.5,283,12.54
2024-01-25,1.0,6.1,-6.0,-0.7,0.0,0.0,0.0,3.18,7.7,227,12.64
2024-01-26,2.0,7.2,-4.3,0.7,0.0,0.0,0.0,2.19,4.7,229,12.21
2024-01-27,1.0,5.7,-5.4,-0.7,0.0,0.0,0.0,2.47,5.7,41,12.82
2024-01-28,0.0,8.1,-5.2,0.3,0.0,0.0,0.0,3.19,7.6,197,13.11
2024-01-29,3.0,10.4,-2.7,2.5,0.0,0.0,0.0,2.73,6.3,156,12.38
2024-01-30,3.0,5.6,-0.7,1.8,0.0,0.0,0.0,2.79,5.3,155,6.93
2024-01-31,3.0,2.8,-4.2,-0.4,0.0,0.0,0.0,6.54,13.0,51,7.26
2024-02-01,71.0,-1.8,-6.2,-3.9,0.2,0.0,0.14,6.81,13.1,48,8.75
2024-02-02,71.0,-0.4,-7.7,-3.8,0.2,0.0,0.14,3.82,9.0,55,11.28
2024-02-03,71.0,1.2,-4.1,-2.0,0.2,0.0,0.14,4.68,9.2,42,11.69
2024-02-04,73.0,0.4,-5.2,-2.7,2.8,0.0,1.96,5.05,9.3,45,5.98
2024-02-05,73.0,2.3,-5.6,-1.9,0.9,0.0,0.63,3.44,6.9,357,14.09
2024-02-06,1.0,4.6,-5.9,-1.4,0.0,0.0,0.0,2.0,5.3,76,13.69
2024-02-07,1.0,5.1,-4.1,0.0,0.0,0.0,0.0,2.66,6.5,0,14.38
2024-02-08,3.0,6.5,-3.7,0.5,0.0,0.0,0.0,2.0,5.3,217,13.83
2024-02-09,0.0,9.6,-1.6,2.8,0.0,0.0,0.0,3.97,9.1,207,14.44
2024-02-10,0.0,8.8,-1.9,2.3,0.0,0.0,0.0,3.0,6.7,59,14.46
2024-02-11,0.0,13.6,-1.0,5.9,0.0,0.0,0.0,4.0,9.0,203,14.98
2024-02-12,0.0,16.9,7.0,11.4,0.0,0.0,0.0,6.28,12.4,191,14.69
2024-02-13,0.0,20.2,8.8,13.3,0.0,0.0,0.0,5.14,11.2,192,14.73
2024-02-14,73.0,16.1,1.8,8.7,4.0,2.3,1.19,7.51,14.8,56,11.65
2024-02-15,71.0,7.8,-0.8,3.3,0.1,0.0,0.07,4.03,9.5,67,14.88
2024-02-16,0.0,12.1,2.8,7.1,0.0,0.0,0.0,8.12,16.8,193,15.72
2024-02-17,2.0,16.1,6.2,10.7,0.0,0.0,0.0,7.3,14.3,184,15.24
2024-02-18,53.0,13.2,7.0,11.1,3.9,3.9,0.0,4.92,9.8,81,2.28
2024-02-19,73.0,7.1,-0.6,3.2,2.3,2.0,0.21,7.44,15.5,52,9.06
2024-02-20,75.0,-0.7,-5.5,-2.9,4.8,0.0,3.36,7.92,16.1,50,3.55
2024-02-21,73.0,-4.4,-6.4,-5.3,4.9,0.0,3.43,7.75,16.1,28,4.63
2024-02-22,2.0,-2.7,-7.5,-5.4,0.0,0.0,0.0,5.78,10.4,21,16.68
2024-02-23,3.0,-2.2,-8.8,-5.0,0.0,0.0,0.0,4.22,7.5,29,15.83
2024-02-24,3.0,-0.9,-6.3,-3.1,0.0,0.0,0.0,2.88,5.5,46,13.34
2024-02-25,1.0,6.6,-5.3,0.3,0.0,0.0,0.0,2.9,6.7,279,17.55
2024-02-26,3.0,5.8,-1.1,2.0,0.0,0.0,0.0,4.73,9.2,76,14.77
2024-02-27,2.0,9.1,-2.6,3.0,0.0,0.0,0.0,3.19,8.2,177,17.56
2024-02-28,3.0,10.3,2.3,5.7,0.0,0.0,0.0,4.38,8.9,75,15.55
2024-02-29,2.0,4.9,-0.4,2.3,0.0,0.0,0.0,6.28,13.0,43,14.36
2024-03-01,0.0,4.9,-3.2,0.9,0.0,0.0,0.0,4.92,10.0,246,18.67
2024-03-02,0.0,11.5,1.2,5.8,0.0,0.0,0.0,6.36,12.3,217,18.42
2024-03-03,1.0,14.0,3.4,8.1,0.0,0.0,0.0,4.03,7.6,172,18.57
2024-03-04,3.0,10.4,2.4,6.7,0.0,0.0,0.0,2.7,5.5,57,7.07
2024-03-05,51.0,6.8,2.5,5.1,0.1,0.1,0.0,4.33,8.5,29,3.64
2024-03-06,3.0,8.3,0.8,4.2,0.0,0.0,0.0,3.35,9.4,46,17.71
2024-03-07,53.0,10.5,-0.7,4.9,2.2,2.2,0.0,4.72,11.6,254,16.55
2024-03-08,0.0,9.9,-0.3,4.6,0.0,0.0,0.0,3.63,8.1,344,19.98
2024-03-09,0.0,14.1,-0.9,7.1,0.0,0.0,0.0,5.06,10.5,186,19.75
2024-03-10,3.0,17.1,6.6,11.8,0.0,0.0,0.0,6.5,13.9,191,17.39
2024-03-11,51.0,18.7,6.9,12.9,0.2,0.2,0.0,5.0,10.9,224,18.54
2024-03-12,1.0,13.9,3.8,8.6,0.0,0.0,0.0,4.0,7.7,73,20.16
2024-03-13,3.0,17.1,6.9,12.0,0.0,0.0,0.0,5.9,11.9,203,15.52
2024-03-14,2.0,20.5,6.7,13.7,0.0,0.0,0.0,3.77,6.9,191,20.31
2024-03-15,1.0,20.1,10.3,14.2,0.0,0.0,0.0,4.3,10.4,191,20.48
2024-03-16,53.0,20.4,10.5,15.1,0.8,0.8,0.0,4.61,10.3,213,15.39
2024-03-17,3.0,13.9,5.9,10.9,0.0,0.0,0.0,5.94,13.4,53,18.74
2024-03-18,2.0,16.7,6.8,12.1,0.0,0.0,0.0,7.47,15.0,214,16.2
2024-03-19,1.0,16.8,6.8,12.0,0.0,0.0,0.0,5.9,12.2,301,21.79
2024-03-20,0.0,15.7,4.4,10.2,0.0,0.0,0.0,5.94,10.5,118,21.88
2024-03-21,1.0,21.8,9.3,15.9,0.0,0.0,0.0,7.97,16.2,186,20.41
2024-03-22,2.0,21.4,11.7,16.2,0.0,0.0,0.0,7.11,14.8,208,18.1
2024-03-23,2.0,24.2,8.8,16.7,0.0,0.0,0.0,4.75,10.3,110,18.01
2024-03-24,51.0,18.2,6.9,13.2,0.4,0.4,0.0,6.44,12.7,58,11.68
2024-03-25,53.0,7.8,4.7,6.0,5.9,5.9,0.0,5.06,8.9,33,3.73
2024-03-26,3.0,18.0,3.9,11.5,0.0,0.0,0.0,6.5,12.1,193,21.18
2024-03-27,3.0,17.0,11.9,14.4,0.0,0.0,0.0,7.81,16.1,196,12.74
2024-03-28,51.0,20.1,12.1,15.9,0.1,0.1,0.0,7.16,13.2,213,20.79
2024-03-29,0.0,21.6,11.0,16.1,0.0,0.0,0.0,6.5,10.8,140,22.71
2024-03-30,0.0,22.4,12.5,17.0,0.0,0.0,0.0,5.3,13.0,78,23.3
2024-03-31,0.0,24.5,11.2,17.5,0.0,0.0,0.0,6.21,12.3,192,22.72
2024-04-01,51.0,25.9,13.6,19.2,0.1,0.1,0.0,3.16,10.0,190,19.45
2024-04-02,3.0,18.8,10.0,13.4,0.0,0.0,0.0,5.83,11.9,19,18.23
2024-04-03,51.0,14.2,9.4,11.3,0.1,0.1,0.0,6.44,12.5,33,6.1
2024-04-04,2.0,17.4,8.6,12.9,0.0,0.0,0.0,2.82,8.5,91,19.02
2024-04-05,1.0,20.8,6.4,14.5,0.0,0.0,0.0,3.89,8.7,207,21.24
2024-04-06,1.0,23.5,13.9,18.5,0.0,0.0,0.0,4.6,10.8,209,22.27
2024-04-07,2.0,25.6,15.0,20.2,0.0,0.0,0.0,3.81,7.3,208,22.1
2024-04-08,3.0,25.9,10.8,19.0,0.0,0.0,0.0,5.91,12.4,88,22.43
2024-04-09,2.0,20.1,9.9,14.2,0.0,0.0,0.0,4.55,8.7,55,20.67
2024-04-10,3.0,23.1,10.7,17.9,0.0,0.0,0.0,4.7,11.8,193,17.82
2024-04-11,0.0,26.1,15.3,20.9,0.0,0.0,0.0,4.3,10.5,199,23.28
2024-04-12,0.0,25.9,16.4,21.1,0.0,0.0,0.0,4.85,11.5,192,23.68
2024-04-13,1.0,24.8,17.2,20.6,0.0,0.0,0.0,5.12,10.7,171,22.87
2024-04-14,63.0,20.3,13.2,17.4,9.7,9.7,0.0,4.14,7.5,171,9.09
2024-04-15,51.0,22.8,13.5,17.7,0.3,0.3,0.0,4.2,9.0,251,15.78
2024-04-16,1.0,24.6,11.0,18.7,0.0,0.0,0.0,2.41,6.1,82,25.38
2024-04-17,1.0,26.0,11.1,19.4,0.0,0.0,0.0,3.08,6.5,193,24.61
2024-04-18,1.0,27.7,16.4,21.8,0.0,0.0,0.0,3.98,9.0,197,24.82
2024-04-19,3.0,27.0,15.7,20.4,0.0,0.0,0.0,3.74,9.0,71,18.79
2024-04-20,2.0,21.9,11.4,16.8,0.0,0.0,0.0,3.36,8.4,354,24.55
2024-04-21,2.0,23.0,13.4,18.2,0.0,0.0,0.0,1.82,5.9,11,22.26
2024-04-22,1.0,26.0,11.8,20.1,0.0,0.0,0.0,3.68,8.7,184,21.27
2024-04-23,63.0,21.0,13.9,17.1,8.5,8.5,0.0,6.13,12.7,265,16.57
2024-04-24,0.0,26.4,10.4,19.4,0.0,0.0,0.0,5.68,11.4,196,25.91
2024-04-25,0.0,28.4,17.6,23.2,0.0,0.0,0.0,6.46,14.0,193,25.52
2024-04-26,1.0,28.5,18.7,23.9,0.0,0.0,0.0,5.12,11.2,184,25.59
2024-04-27,1.0,28.2,18.8,23.4,0.0,0.0,0.0,3.9,8.3,166,23.48
2024-04-28,3.0,24.0,13.6,19.1,0.0,0.0,0.0,4.95,11.4,41,15.99
2024-04-29,3.0,17.3,11.0,13.7,0.0,0.0,0.0,5.2,10.5,36,12.62
2024-04-30,3.0,21.0,11.0,15.3,0.0,0.0,0.0,3.41,7.7,24,17.39
2024-05-01,1.0,24.2,10.6,17.8,0.0,0.0,0.0,2.91,6.8,222,26.18
2024-05-02,1.0,25.2,12.8,19.2,0.0,0.0,0.0,4.24,10.1,195,26.67
2024-05-03,1.0,26.3,11.3,20.0,0.0,0.0,0.0,4.23,6.6,134,26.14
2024-05-04,61.0,19.7,15.1,17.3,5.5,5.5,0.0,4.7,8.1,179,9.86
2024-05-05,53.0,16.5,13.8,15.2,1.9,1.9,0.0,2.47,5.8,38,10.22
2024-05-06,51.0,23.4,13.7,18.1,0.2,0.2,0.0,2.76,7.8,268,20.43
2024-05-07,51.0,25.7,15.4,20.3,0.4,0.4,0.0,4.1,8.5,18,23.69
2024-05-08,1.0,27.6,12.3,20.8,0.0,0.0,0.0,3.86,7.4,199,26.9
2024-05-09,1.0,27.7,18.0,22.8,0.0,0.0,0.0,6.89,14.4,192,26.73
2024-05-10,2.0,29.1,18.1,24.1,0.0,0.0,0.0,8.06,16.1,195,25.88
2024-05-11,61.0,25.2,15.0,21.6,2.6,2.6,0.0,5.91,11.3,350,26.84
2024-05-12,0.0,26.7,13.4,20.9,0.0,0.0,0.0,3.22,7.5,317,27.37
2024-05-13,0.0,29.4,13.4,22.8,0.0,0.0,0.0,4.21,9.3,202,27.15
2024-05-14,51.0,31.8,19.3,25.9,1.2,1.2,0.0,6.71,14.2,199,26.06
2024-05-15,2.0,23.9,16.0,20.0,0.0,0.0,0.0,6.38,12.4,32,27.81
2024-05-16,1.0,27.0,15.3,21.9,0.0,0.0,0.0,7.36,15.2,205,23.88
2024-05-17,1.0,32.5,21.9,27.0,0.0,0.0,0.0,5.64,11.0,203,25.36
2024-05-18,1.0,34.7,19.8,27.7,0.0,0.0,0.0,3.18,7.3,174,26.57
2024-05-19,51.0,32.7,21.3,28.2,0.1,0.1,0.0,5.64,12.1,195,24.28
2024-05-20,51.0,24.8,16.5,20.4,0.3,0.3,0.0,5.4,11.4,55,22.37
2024-05-21,1.0,28.7,17.2,23.6,0.0,0.0,0.0,2.4,6.8,173,25.37
2024-05-22,0.0,30.5,21.5,26.2,0.0,0.0,0.0,4.75,9.9,193,26.02
2024-05-23,1.0,32.8,23.0,27.6,0.0,0.0,0.0,5.71,12.2,189,26.74
2024-05-24,3.0,27.4,19.3,23.3,0.0,0.0,0.0,4.8,9.9,52,23.45
2024-05-25,51.0,28.8,17.3,22.3,0.7,0.7,0.0,3.8,11.4,3,20.76
2024-05-26,55.0,27.6,17.2,21.5,2.3,2.3,0.0,5.36,12.0,358,24.62
2024-05-27,1.0,29.5,15.8,23.3,0.0,0.0,0.0,2.66,6.6,350,26.77
2024-05-28,1.0,31.8,15.0,25.1,0.0,0.0,0.0,3.2,6.2,173,27.54
2024-05-29,3.0,30.1,22.9,26.4,0.0,0.0,0.0,6.13,12.6,195,22.36
2024-05-30,3.0,31.5,23.2,26.7,0.0,0.0,0.0,5.73,11.2,202,24.18
2024-05-31,1.0,29.9,20.6,25.3,0.0,0.0,0.0,5.41,11.8,42,26.54
2024-06-01,1.0,31.8,17.3,25.9,0.0,0.0,0.0,3.16,6.5,198,26.4
2024-06-02,2.0,32.9,22.6,27.7,0.0,0.0,0.0,5.44,12.3,229,18.61
2024-06-03,1.0,33.3,20.5,27.2,0.0,0.0,0.0,3.18,7.7,73,26.96
2024-06-04,2.0,32.5,20.4,27.1,0.0,0.0,0.0,3.01,7.2,165,19.88
2024-06-05,3.0,27.9,21.8,25.3,0.0,0.0,0.0,3.76,8.6,187,17.82
2024-06-06,1.0,29.7,20.5,25.3,0.0,0.0,0.0,3.9,8.6,190,21.86
2024-06-07,51.0,29.9,21.3,25.3,0.5,0.5,0.0,5.32,11.7,196,20.47
2024-06-08,1.0,32.5,18.5,26.4,0.0,0.0,0.0,3.84,7.5,224,22.88
2024-06-09,1.0,37.9,24.5,30.9,0.0,0.0,0.0,4.5,10.3,212,26.38
2024-06-10,1.0,37.9,22.6,31.3,0.0,0.0,0.0,3.49,7.5,195,27.04
2024-06-11,51.0,37.2,26.9,32.5,0.2,0.2,0.0,6.67,13.3,200,26.3
2024-06-12,51.0,38.4,26.7,32.2,0.3,0.3,0.0,6.0,11.4,184,25.68
2024-06-13,53.0,39.0,27.8,33.5,0.8,0.8,0.0,6.67,13.4,190,25.97
2024-06-14,53.0,34.5,25.0,30.2,1.2,1.2,0.0,5.53,12.0,195,18.79
2024-06-15,1.0,33.6,22.5,28.5,0.0,0.0,0.0,4.27,8.3,38,24.61
2024-06-16,51.0,32.4,23.2,27.9,0.4,0.4,0.0,2.84,7.1,198,20.65
2024-06-17,1.0,33.7,23.0,29.0,0.0,0.0,0.0,4.4,10.3,204,23.91
2024-06-18,2.0,35.0,26.6,30.9,0.0,0.0,0.0,5.5,12.2,189,24.53
2024-06-19,1.0,35.0,25.4,30.2,0.0,0.0,0.0,4.54,9.7,172,26.63
2024-06-20,1.0,35.8,23.4,30.1,0.0,0.0,0.0,4.24,7.2,143,26.83
2024-06-21,53.0,30.8,23.7,27.2,2.1,2.1,0.0,3.75,8.0,195,8.68
2024-06-22,51.0,33.8,23.5,28.3,0.1,0.1,0.0,3.05,7.1,247,23.45
2024-06-23,53.0,35.6,23.8,30.1,0.6,0.6,0.0,5.25,11.5,309,28.56
2024-06-24,2.0,30.9,22.2,27.0,0.0,0.0,0.0,3.62,8.7,47,22.04
2024-06-25,1.0,34.0,22.7,29.2,0.0,0.0,0.0,4.2,8.0,163,25.15
2024-06-26,2.0,35.0,25.5,30.6,0.0,0.0,0.0,4.21,8.2,192,22.56
2024-06-27,1.0,34.8,24.0,29.7,0.0,0.0,0.0,4.01,7.8,183,28.06
2024-06-28,2.0,35.9,24.6,30.5,0.0,0.0,0.0,4.62,8.9,183,26.2
2024-06-29,3.0,31.7,24.2,27.9,0.0,0.0,0.0,3.5,6.8,114,16.24
2024-06-30,53.0,36.2,23.0,29.6,0.9,0.9,0.0,3.36,8.3,208,24.66
2024-07-01,63.0,27.6,22.5,24.4,23.7,23.7,0.0,4.53,8.0,66,6.99
2024-07-02,61.0,22.3,18.4,20.2,17.5,17.5,0.0,5.83,9.6,355,3.19
2024-07-03,3.0,29.8,18.1,24.5,0.0,0.0,0.0,4.95,10.3,209,22.06
2024-07-04,61.0,29.7,22.6,26.5,7.1,7.1,0.0,3.54,7.7,214,16.56
2024-07-05,63.0,31.1,23.5,26.4,38.5,38.5,0.0,8.85,23.4,180,12.18
2024-07-06,61.0,32.0,21.6,27.1,3.6,3.6,0.0,3.62,8.5,235,25.77
2024-07-07,51.0,31.9,24.1,27.4,0.2,0.2,0.0,3.99,7.6,164,13.2
2024-07-08,53.0,31.4,22.8,26.8,2.5,2.5,0.0,3.18,6.2,85,19.3
2024-07-09,51.0,29.2,22.0,26.0,0.1,0.1,0.0,5.86,12.0,44,22.03
2024-07-10,1.0,32.0,20.6,26.6,0.0,0.0,0.0,3.1,6.7,84,26.72
2024-07-11,1.0,33.8,23.2,28.7,0.0,0.0,0.0,3.13,6.5,197,26.26
2024-07-12,51.0,32.0,24.9,28.4,0.1,0.1,0.0,2.83,6.4,189,16.37
2024-07-13,51.0,30.5,24.7,27.9,1.3,1.3,0.0,3.42,6.6,55,18.1
2024-07-14,51.0,31.6,24.2,28.3,0.2,0.2,0.0,1.84,5.8,63,21.17
2024-07-15,51.0,32.2,25.1,28.8,0.7,0.7,0.0,1.77,4.6,153,16.33
2024-07-16,63.0,28.5,24.5,26.6,23.4,23.4,0.0,3.22,5.8,168,6.84
2024-07-17,51.0,30.8,25.9,28.1,0.7,0.7,0.0,2.66,5.5,51,13.31
2024-07-18,0.0,34.8,24.6,30.1,0.0,0.0,0.0,4.48,9.1,219,25.71
2024-07-19,51.0,34.9,25.5,30.5,0.2,0.2,0.0,4.66,10.0,192,22.93
2024-07-20,63.0,32.3,22.8,26.7,21.2,21.2,0.0,4.16,9.1,210,13.15
2024-07-21,2.0,34.0,26.6,30.7,0.0,0.0,0.0,4.88,10.8,187,17.66
2024-07-22,63.0,32.7,27.7,30.2,7.6,7.6,0.0,6.51,12.3,194,15.15
2024-07-23,63.0,31.5,28.6,30.0,13.5,13.5,0.0,4.5,8.7,187,12.5
2024-07-24,51.0,37.4,28.1,31.9,0.2,0.2,0.0,2.94,7.3,161,19.79
2024-07-25,53.0,32.0,27.2,29.1,6.5,6.5,0.0,4.01,7.4,151,9.54
