time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum
2024-01-01,51.0,10.5,6.5,8.4,0.9,0.9,0.0,2.12,4.0,286,2.49
2024-01-02,3.0,15.0,5.5,9.3,0.0,0.0,0.0,2.42,6.2,347,11.49
2024-01-03,51.0,14.1,5.0,9.1,0.1,0.1,0.0,2.72,4.2,35,10.78
2024-01-04,3.0,10.8,7.1,8.7,0.0,0.0,0.0,3.4,4.8,36,4.63
2024-01-05,3.0,11.7,8.3,9.8,0.0,0.0,0.0,2.88,4.1,326,3.44
2024-01-06,3.0,14.3,6.6,10.2,0.0,0.0,0.0,3.21,5.4,357,9.21
2024-01-07,3.0,13.7,8.2,10.4,0.0,0.0,0.0,2.72,4.0,333,5.54
2024-01-08,3.0,13.4,6.1,9.7,0.0,0.0,0.0,2.84,5.8,55,6.69
2024-01-09,51.0,16.3,7.3,11.0,0.4,0.4,0.0,3.5,7.2,351,11.82
2024-01-10,3.0,14.3,5.7,9.6,0.0,0.0,0.0,2.41,5.6,10,8.57
2024-01-11,2.0,14.8,5.8,9.5,0.0,0.0,0.0,1.92,4.7,113,9.27
2024-01-12,3.0,15.8,5.2,10.1,0.0,0.0,0.0,2.43,6.7,118,8.27
2024-01-13,3.0,13.4,9.3,11.0,0.0,0.0,0.0,3.08,6.1,49,6.88
2024-01-14,3.0,16.8,10.3,12.7,0.0,0.0,0.0,2.78,5.9,315,5.56
2024-01-15,3.0,15.2,9.9,12.2,0.0,0.0,0.0,3.24,6.2,15,5.24
2024-01-16,3.0,13.6,8.8,11.3,0.0,0.0,0.0,3.08,6.8,39,4.83
2024-01-17,3.0,13.8,6.5,9.9,0.0,0.0,0.0,1.9,4.1,61,5.87
2024-01-18,3.0,14.8,7.7,11.3,0.0,0.0,0.0,3.18,5.6,23,7.48
2024-01-19,53.0,13.0,8.3,10.8,1.2,1.2,0.0,2.91,5.5,28,6.17
2024-01-20,51.0,10.5,6.6,9.2,0.4,0.4,0.0,3.38,6.8,32,5.55
2024-01-21,53.0,7.2,3.9,5.6,8.9,8.9,0.0,5.87,11.4,42,3.17
2024-01-22,71.0,6.0,1.4,3.7,0.5,0.2,0.21,3.62,5.3,20,10.95
2024-01-23,71.0,3.5,0.8,2.0,1.4,0.8,0.42,5.1,10.0,33,3.69
2024-01-24,71.0,4.0,0.3,1.6,0.8,0.0,0.56,3.75,6.8,30,7.65
2024-01-25,3.0,5.5,0.2,2.6,0.0,0.0,0.0,2.55,6.1,343,9.1
2024-01-26,3.0,7.6,-0.8,3.9,0.0,0.0,0.0,2.53,5.4,303,11.97
2024-01-27,3.0,9.7,-0.0,4.9,0.0,0.0,0.0,1.9,5.0,285,11.84
2024-01-28,3.0,9.1,2.8,5.8,0.0,0.0,0.0,2.55,5.4,2,8.56
2024-01-29,51.0,8.1,3.6,5.6,0.5,0.5,0.0,2.56,4.7,38,7.28
2024-01-30,3.0,7.6,4.4,5.7,0.0,0.0,0.0,2.62,6.3,22,4.47
2024-01-31,3.0,9.5,4.8,6.9,0.0,0.0,0.0,3.01,4.8,354,5.05
2024-02-01,3.0,13.1,5.8,9.1,0.0,0.0,0.0,2.7,4.7,307,7.75
2024-02-02,51.0,9.0,6.5,7.7,0.9,0.9,0.0,3.71,7.5,25,3.25
2024-02-03,51.0,8.4,5.2,6.9,1.3,1.3,0.0,3.82,7.6,24,4.92
2024-02-04,51.0,8.6,1.7,5.4,0.4,0.4,0.0,2.6,6.1,6,8.75
2024-02-05,3.0,7.4,4.0,5.8,0.0,0.0,0.0,3.11,6.1,21,4.61
2024-02-06,3.0,9.1,4.2,6.4,0.0,0.0,0.0,2.92,6.0,327,7.41
2024-02-07,3.0,8.3,2.9,6.0,0.0,0.0,0.0,3.26,6.8,355,9.15
2024-02-08,3.0,10.4,2.5,6.0,0.0,0.0,0.0,1.93,4.4,326,11.29
2024-02-09,3.0,14.9,3.0,8.3,0.0,0.0,0.0,2.32,5.8,197,14.11
2024-02-10,1.0,16.4,1.4,8.6,0.0,0.0,0.0,2.26,4.9,162,16.59
2024-02-11,3.0,16.5,5.4,10.2,0.0,0.0,0.0,2.85,4.1,53,13.32
2024-02-12,1.0,19.0,6.1,11.8,0.0,0.0,0.0,2.41,4.2,343,15.99
2024-02-13,2.0,19.4,6.3,12.0,0.0,0.0,0.0,2.6,4.4,359,16.38
2024-02-14,3.0,18.2,8.6,13.0,0.0,0.0,0.0,4.18,8.6,10,5.2
2024-02-15,3.0,17.4,8.0,12.5,0.0,0.0,0.0,2.84,5.9,285,12.6
2024-02-16,3.0,17.7,3.9,10.3,0.0,0.0,0.0,2.33,5.0,71,15.4
2024-02-17,3.0,17.9,6.0,11.3,0.0,0.0,0.0,2.47,5.8,40,16.23
2024-02-18,1.0,20.4,8.3,13.7,0.0,0.0,0.0,4.14,8.5,34,14.0
2024-02-19,2.0,18.8,12.4,14.9,0.0,0.0,0.0,3.72,7.2,62,11.44
2024-02-20,3.0,18.3,9.1,13.6,0.0,0.0,0.0,5.24,8.2,32,11.63
2024-02-21,51.0,12.4,6.4,9.3,0.3,0.3,0.0,4.53,8.5,54,5.09
2024-02-22,3.0,6.3,3.5,5.1,0.0,0.0,0.0,3.82,8.1,22,7.33
2024-02-23,51.0,4.8,2.2,3.3,0.1,0.1,0.0,3.68,7.5,7,6.54
2024-02-24,3.0,8.8,1.8,4.7,0.0,0.0,0.0,2.11,4.2,334,11.42
2024-02-25,3.0,7.8,1.5,4.6,0.0,0.0,0.0,2.77,6.3,4,9.61
2024-02-26,3.0,7.8,3.3,5.7,0.0,0.0,0.0,3.19,4.6,332,6.89
2024-02-27,3.0,8.8,4.3,6.3,0.0,0.0,0.0,3.32,6.1,2,7.07
2024-02-28,51.0,7.6,5.3,6.4,0.9,0.9,0.0,3.05,6.7,354,5.28
2024-02-29,53.0,12.6,2.3,7.6,1.4,1.4,0.0,3.4,5.9,342,13.86
2024-03-01,51.0,8.9,4.6,6.6,0.3,0.3,0.0,3.22,6.6,22,9.98
2024-03-02,3.0,10.1,3.9,7.0,0.0,0.0,0.0,3.67,5.2,317,8.11
2024-03-03,3.0,10.2,5.5,7.8,0.0,0.0,0.0,4.0,5.5,6,5.53
2024-03-04,3.0,11.7,6.0,8.5,0.0,0.0,0.0,3.75,7.4,2,6.26
2024-03-05,51.0,16.0,8.7,11.8,0.8,0.8,0.0,4.11,8.6,326,11.28
2024-03-06,53.0,13.7,8.7,10.7,0.5,0.5,0.0,3.31,6.6,319,11.53
