time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum
2024-01-01,2.0,10.3,2.7,5.7,0.0,0.0,0.0,2.48,5.3,57,11.53
2024-01-02,53.0,12.4,1.4,6.5,1.5,1.5,0.0,3.53,6.5,10,11.21
2024-01-03,53.0,11.9,2.6,7.0,1.2,1.2,0.0,3.83,8.2,339,10.75
2024-01-04,2.0,14.4,-0.7,5.6,0.0,0.0,0.0,2.79,6.3,166,13.51
2024-01-05,51.0,16.7,3.1,8.9,0.1,0.1,0.0,2.62,4.9,252,12.52
2024-01-06,1.0,15.6,4.4,9.0,0.0,0.0,0.0,3.2,7.0,344,12.32
2024-01-07,2.0,10.6,5.0,7.0,0.0,0.0,0.0,3.19,6.9,23,11.82
2024-01-08,53.0,9.4,3.3,6.6,0.5,0.5,0.0,2.94,5.8,119,6.51
2024-01-09,3.0,15.9,5.9,10.6,0.0,0.0,0.0,4.12,6.6,303,9.4
2024-01-10,3.0,11.4,3.7,7.6,0.0,0.0,0.0,5.91,11.8,342,10.69
2024-01-11,0.0,14.8,-0.6,6.1,0.0,0.0,0.0,2.79,6.7,200,14.25
2024-01-12,0.0,19.8,2.2,9.3,0.0,0.0,0.0,2.73,4.8,208,13.96
2024-01-13,0.0,19.7,4.5,10.6,0.0,0.0,0.0,3.01,6.2,113,14.07
2024-01-14,3.0,23.1,4.5,12.5,0.0,0.0,0.0,5.9,10.7,292,13.9
2024-01-15,3.0,9.7,3.6,7.1,0.0,0.0,0.0,5.02,9.6,26,12.61
2024-01-16,1.0,13.8,2.7,7.9,0.0,0.0,0.0,3.67,9.2,103,13.0
2024-01-17,0.0,20.8,4.4,11.6,0.0,0.0,0.0,3.2,7.6,189,13.63
2024-01-18,53.0,10.2,8.3,9.1,3.4,3.4,0.0,3.75,7.5,2,3.92
2024-01-19,61.0,9.7,7.8,8.9,7.9,7.9,0.0,3.9,6.4,14,2.43
2024-01-20,55.0,7.6,5.5,6.3,7.9,7.9,0.0,4.68,8.6,327,2.12
2024-01-21,51.0,6.2,3.8,5.1,0.2,0.2,0.0,5.51,10.5,345,3.82
2024-01-22,71.0,3.7,-1.8,0.6,0.3,0.0,0.21,6.21,12.2,352,7.63
2024-01-23,2.0,1.6,-3.9,-1.6,0.0,0.0,0.0,5.71,11.7,330,15.56
2024-01-24,0.0,5.2,-4.2,-0.0,0.0,0.0,0.0,3.96,8.6,322,15.64
2024-01-25,1.0,7.8,-1.0,2.9,0.0,0.0,0.0,2.62,6.1,337,15.19
2024-01-26,2.0,7.6,-3.2,2.9,0.0,0.0,0.0,2.34,5.0,302,10.68
2024-01-27,1.0,8.5,0.1,4.1,0.0,0.0,0.0,2.85,6.4,324,11.97
2024-01-28,1.0,12.0,-2.1,4.3,0.0,0.0,0.0,2.81,6.4,326,15.92
2024-01-29,53.0,10.3,3.7,7.0,2.4,2.4,0.0,3.05,7.1,133,6.02
2024-01-30,51.0,15.1,6.6,10.3,2.3,2.3,0.0,2.01,4.5,141,9.45
2024-01-31,51.0,16.6,9.7,12.6,0.9,0.9,0.0,2.97,6.3,48,8.38
2024-02-01,53.0,12.1,5.7,8.9,6.6,6.6,0.0,5.39,9.1,359,1.45
2024-02-02,61.0,5.6,3.9,4.9,7.7,7.7,0.0,4.42,7.9,22,1.31
2024-02-03,55.0,5.2,4.2,4.7,3.9,3.9,0.0,4.4,7.8,349,1.27
2024-02-04,63.0,4.7,4.0,4.3,12.9,12.9,0.0,4.58,8.4,349,1.12
2024-02-05,3.0,5.4,2.4,3.7,0.0,0.0,0.0,5.91,11.8,328,10.74
2024-02-06,73.0,2.4,1.0,1.6,7.7,1.9,4.06,3.35,6.3,12,2.02
2024-02-07,71.0,4.9,1.7,3.0,1.3,1.0,0.21,3.98,7.3,352,5.53
2024-02-08,3.0,8.0,1.6,3.8,0.0,0.0,0.0,3.0,7.1,356,13.6
2024-02-09,2.0,11.3,0.1,5.3,0.0,0.0,0.0,2.33,5.8,272,17.11
2024-02-10,1.0,16.4,0.3,7.9,0.0,0.0,0.0,3.06,6.7,221,17.36
2024-02-11,0.0,17.2,3.6,9.5,0.0,0.0,0.0,2.72,5.6,273,17.22
2024-02-12,0.0,20.5,2.5,10.7,0.0,0.0,0.0,3.92,8.3,174,17.8
2024-02-13,53.0,21.3,8.5,14.0,1.6,1.6,0.0,4.93,8.2,198,12.8
2024-02-14,51.0,24.3,11.4,16.8,0.4,0.4,0.0,2.9,6.7,192,14.76
2024-02-15,55.0,14.7,6.1,9.7,7.0,7.0,0.0,8.01,14.3,350,1.74
2024-02-16,3.0,11.3,4.2,7.3,0.0,0.0,0.0,2.46,5.6,76,17.72
2024-02-17,3.0,19.7,4.7,11.9,0.0,0.0,0.0,3.31,6.7,165,10.57
2024-02-18,61.0,26.2,10.9,18.2,1.7,1.7,0.0,5.13,10.0,192,15.12
2024-02-19,51.0,24.3,10.7,17.9,0.6,0.6,0.0,5.7,11.1,33,11.67
2024-02-20,61.0,10.6,9.0,9.7,5.1,5.1,0.0,4.2,8.1,55,2.91
2024-02-21,61.0,9.0,3.2,6.4,10.7,10.7,0.0,5.54,11.0,359,2.21
2024-02-22,61.0,3.2,1.1,1.8,14.8,14.8,0.0,5.12,9.7,343,1.46
2024-02-23,53.0,2.3,0.6,1.4,3.6,3.6,0.0,4.62,8.8,337,4.62
2024-02-24,51.0,2.0,1.1,1.4,1.9,1.9,0.0,3.86,7.3,326,1.56
2024-02-25,3.0,3.7,0.5,1.9,0.0,0.0,0.0,4.84,9.6,332,11.58
2024-02-26,51.0,7.0,1.8,4.4,0.1,0.1,0.0,2.88,8.0,355,9.76
2024-02-27,3.0,9.9,3.6,6.0,0.0,0.0,0.0,2.94,6.4,22,17.02
2024-02-28,55.0,6.2,4.5,5.4,9.7,9.7,0.0,2.08,4.1,9,1.59
2024-02-29,63.0,8.2,4.8,6.2,15.5,15.5,0.0,4.66,8.6,313,3.66
2024-03-01,51.0,7.0,2.6,5.2,0.9,0.9,0.0,4.71,10.0,1,11.73
2024-03-02,3.0,11.2,0.5,5.1,0.0,0.0,0.0,2.48,5.9,156,17.36
2024-03-03,2.0,16.1,2.1,8.9,0.0,0.0,0.0,3.4,6.7,150,20.5
2024-03-04,53.0,13.6,9.4,11.4,6.8,6.8,0.0,2.79,9.9,126,6.21
2024-03-05,61.0,12.2,9.3,11.0,10.8,10.8,0.0,4.6,8.2,331,1.18
2024-03-06,51.0,12.0,6.3,9.0,0.9,0.9,0.0,4.94,9.8,343,12.27
2024-03-07,3.0,14.0,3.2,8.6,0.0,0.0,0.0,2.45,5.9,359,17.88
2024-03-08,1.0,14.4,6.4,9.6,0.0,0.0,0.0,4.66,9.6,346,21.45
2024-03-09,3.0,14.7,5.6,9.8,0.0,0.0,0.0,3.61,6.6,93,20.72
2024-03-10,1.0,18.5,4.2,11.1,0.0,0.0,0.0,3.26,7.9,95,21.93
2024-03-11,53.0,18.5,9.5,12.1,2.2,2.2,0.0,3.34,7.0,214,9.37
2024-03-12,51.0,18.9,7.4,13.0,0.2,0.2,0.0,5.77,13.2,337,19.16
