time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum
2024-01-01,2.0,2.7,-10.1,-4.3,0.0,0.0,0.0,4.08,6.8,231,8.39
2024-01-02,0.0,3.7,-11.2,-4.8,0.0,0.0,0.0,3.45,5.0,147,9.75
2024-01-03,2.0,3.1,-7.4,-3.4,0.0,0.0,0.0,4.22,7.4,228,9.67
2024-01-04,2.0,1.3,-9.7,-5.2,0.0,0.0,0.0,3.54,5.7,236,9.47
2024-01-05,0.0,2.6,-10.8,-5.1,0.0,0.0,0.0,2.33,4.0,143,9.88
2024-01-06,0.0,1.4,-8.1,-4.9,0.0,0.0,0.0,2.1,3.7,126,9.98
2024-01-07,2.0,2.3,-9.3,-4.4,0.0,0.0,0.0,4.12,6.1,227,9.31
2024-01-08,3.0,4.9,-7.2,-2.4,0.0,0.0,0.0,5.24,7.9,241,10.2
2024-01-09,0.0,4.7,-9.4,-4.2,0.0,0.0,0.0,4.79,7.4,170,10.23
2024-01-10,0.0,4.4,-9.8,-3.7,0.0,0.0,0.0,4.19,7.0,200,10.3
2024-01-11,1.0,5.8,-7.8,-2.3,0.0,0.0,0.0,3.2,4.8,167,10.22
2024-01-12,3.0,7.9,-6.6,-0.9,0.0,0.0,0.0,8.79,12.3,231,9.99
2024-01-13,2.0,7.9,-6.3,-0.5,0.0,0.0,0.0,8.13,12.9,72,10.56
2024-01-14,2.0,1.8,-7.3,-2.9,0.0,0.0,0.0,7.52,10.6,30,10.02
2024-01-15,3.0,4.4,-7.4,-2.3,0.0,0.0,0.0,2.42,4.5,97,8.29
2024-01-16,0.0,6.8,-7.0,-0.4,0.0,0.0,0.0,3.34,4.3,173,10.8
2024-01-17,1.0,2.6,-8.4,-2.8,0.0,0.0,0.0,3.22,4.9,227,10.85
2024-01-18,2.0,2.5,-8.5,-3.0,0.0,0.0,0.0,5.02,8.2,253,10.57
2024-01-19,2.0,0.7,-6.1,-3.6,0.0,0.0,0.0,5.86,9.3,256,10.48
2024-01-20,0.0,-1.6,-12.0,-7.2,0.0,0.0,0.0,8.54,12.4,70,11.46
2024-01-21,1.0,-2.1,-13.7,-9.3,0.0,0.0,0.0,10.0,16.0,70,11.78
2024-01-22,3.0,-2.6,-14.2,-10.1,0.0,0.0,0.0,11.94,17.3,67,11.45
2024-01-23,3.0,-7.1,-15.1,-11.1,0.0,0.0,0.0,10.72,16.0,67,9.24
2024-01-24,71.0,-7.2,-15.4,-11.3,0.1,0.0,0.07,3.53,6.1,253,8.91
2024-01-25,0.0,-2.7,-15.5,-10.5,0.0,0.0,0.0,3.6,5.8,115,12.16
2024-01-26,0.0,-2.1,-16.4,-9.6,0.0,0.0,0.0,3.62,5.9,89,12.54
2024-01-27,1.0,-1.4,-15.6,-8.9,0.0,0.0,0.0,4.43,8.0,249,12.29
2024-01-28,0.0,2.1,-14.2,-6.8,0.0,0.0,0.0,3.49,5.4,98,12.32
2024-01-29,3.0,1.6,-10.0,-5.0,0.0,0.0,0.0,2.69,4.8,213,8.68
2024-01-30,2.0,0.8,-11.6,-6.0,0.0,0.0,0.0,5.95,10.4,233,11.23
2024-01-31,3.0,3.8,-6.5,-2.6,0.0,0.0,0.0,4.35,6.8,69,12.1
2024-02-01,3.0,1.3,-8.0,-4.0,0.0,0.0,0.0,4.71,8.2,64,12.4
2024-02-02,2.0,-1.2,-8.4,-5.0,0.0,0.0,0.0,7.85,11.9,71,13.09
2024-02-03,3.0,2.1,-6.2,-3.1,0.0,0.0,0.0,2.92,6.7,151,12.6
2024-02-04,0.0,2.4,-9.1,-3.9,0.0,0.0,0.0,2.92,6.2,76,13.48
2024-02-05,1.0,0.9,-11.3,-4.8,0.0,0.0,0.0,2.26,4.4,58,12.54
2024-02-06,3.0,1.2,-9.8,-4.8,0.0,0.0,0.0,3.68,7.2,69,11.21
2024-02-07,3.0,3.6,-9.2,-3.7,0.0,0.0,0.0,3.64,5.7,68,13.96
2024-02-08,1.0,5.3,-7.1,-1.5,0.0,0.0,0.0,6.63,11.0,244,13.7
2024-02-09,2.0,8.1,-4.4,0.7,0.0,0.0,0.0,5.59,11.0,235,14.19
2024-02-10,1.0,9.5,-9.4,-0.4,0.0,0.0,0.0,6.01,9.9,191,14.79
2024-02-11,0.0,10.2,-5.9,0.9,0.0,0.0,0.0,4.28,6.9,224,14.79
2024-02-12,0.0,11.0,-6.7,1.2,0.0,0.0,0.0,5.39,9.1,241,14.77
2024-02-13,3.0,5.2,-4.7,-0.0,0.0,0.0,0.0,3.44,6.3,264,12.06
2024-02-14,2.0,7.0,-6.0,-0.3,0.0,0.0,0.0,2.71,6.1,74,14.73
2024-02-15,1.0,13.7,-7.7,2.6,0.0,0.0,0.0,5.15,8.6,226,15.26
2024-02-16,3.0,12.1,-3.9,3.4,0.0,0.0,0.0,9.35,14.8,240,12.37
2024-02-17,71.0,1.8,-8.7,-2.5,0.7,0.0,0.49,9.13,12.9,48,9.24
2024-02-18,71.0,-5.3,-11.2,-8.6,0.7,0.0,0.49,6.4,8.2,54,14.14
2024-02-19,3.0,-1.4,-10.3,-6.0,0.0,0.0,0.0,7.02,9.7,60,12.29
2024-02-20,71.0,-3.9,-6.8,-5.6,1.0,0.0,0.7,4.17,5.5,57,9.34
2024-02-21,3.0,-2.4,-10.9,-7.2,0.0,0.0,0.0,10.12,16.7,69,15.85
2024-02-22,3.0,-0.8,-10.1,-6.4,0.0,0.0,0.0,4.25,8.0,58,16.43
2024-02-23,3.0,-0.6,-11.3,-5.9,0.0,0.0,0.0,2.56,4.6,75,13.62
2024-02-24,1.0,4.9,-10.7,-3.3,0.0,0.0,0.0,3.49,7.2,73,17.13
2024-02-25,3.0,3.4,-7.2,-2.4,0.0,0.0,0.0,3.31,7.0,244,14.71
2024-02-26,2.0,4.3,-5.9,-1.0,0.0,0.0,0.0,5.22,8.1,251,16.13
2024-02-27,3.0,4.3,-5.8,-0.6,0.0,0.0,0.0,4.03,6.7,50,15.14
2024-02-28,3.0,2.8,-3.1,-0.5,0.0,0.0,0.0,4.63,8.2,309,13.59
2024-02-29,1.0,2.4,-8.3,-2.6,0.0,0.0,0.0,2.97,5.9,293,18.25
2024-03-01,0.0,4.7,-10.1,-2.3,0.0,0.0,0.0,3.11,6.2,71,18.64
2024-03-02,2.0,7.3,-6.7,-0.6,0.0,0.0,0.0,3.3,6.0,87,17.36
2024-03-03,3.0,8.4,-2.7,1.8,0.0,0.0,0.0,6.22,9.4,24,14.66
2024-03-04,2.0,5.8,-0.6,2.4,0.0,0.0,0.0,6.98,10.3,251,16.67
2024-03-05,2.0,6.9,-2.4,1.5,0.0,0.0,0.0,4.94,8.8,263,16.82
2024-03-06,0.0,8.0,-7.0,0.6,0.0,0.0,0.0,3.01,5.2,211,19.63
2024-03-07,0.0,13.3,-7.1,2.4,0.0,0.0,0.0,4.09,7.5,78,19.68
2024-03-08,1.0,13.1,-4.0,4.5,0.0,0.0,0.0,5.17,7.6,257,19.75
2024-03-09,2.0,12.6,1.7,6.6,0.0,0.0,0.0,7.95,13.3,244,17.27
2024-03-10,1.0,17.2,-2.5,7.2,0.0,0.0,0.0,4.88,7.4,195,20.5
2024-03-11,1.0,20.3,-1.8,8.7,0.0,0.0,0.0,5.08,9.3,81,20.62
2024-03-12,3.0,16.4,4.2,10.0,0.0,0.0,0.0,5.16,8.0,250,17.58
2024-03-13,1.0,22.3,-0.3,10.5,0.0,0.0,0.0,8.01,13.9,83,21.17
2024-03-14,3.0,18.9,1.4,10.2,0.0,0.0,0.0,12.01,19.5,262,20.4
2024-03-15,3.0,13.2,3.4,8.6,0.0,0.0,0.0,5.62,9.9,289,19.75
2024-03-16,1.0,14.1,0.7,7.7,0.0,0.0,0.0,4.57,8.1,353,21.11
2024-03-17,3.0,10.4,1.1,5.6,0.0,0.0,0.0,7.78,13.3,264,21.27
2024-03-18,0.0,13.6,-4.7,4.9,0.0,0.0,0.0,4.32,6.8,195,22.08
2024-03-19,0.0,16.0,-3.6,6.4,0.0,0.0,0.0,4.32,8.4,240,22.4
2024-03-20,3.0,18.4,-2.3,8.5,0.0,0.0,0.0,6.04,9.3,246,22.35
2024-03-21,3.0,16.4,4.9,11.5,0.0,0.0,0.0,4.72,7.5,259,15.57
2024-03-22,3.0,18.3,3.5,11.3,0.0,0.0,0.0,7.67,11.5,335,14.7
2024-03-23,1.0,16.0,5.0,10.6,0.0,0.0,0.0,2.79,6.2,315,19.61
2024-03-24,2.0,18.6,2.3,12.0,0.0,0.0,0.0,3.89,6.9,353,21.32
2024-03-25,2.0,20.3,4.9,13.2,0.0,0.0,0.0,4.9,9.2,273,21.96
2024-03-26,51.0,14.4,9.0,11.1,1.4,1.4,0.0,8.98,15.3,252,15.74
2024-03-27,1.0,21.0,1.7,11.8,0.0,0.0,0.0,6.26,10.9,236,22.71
2024-03-28,1.0,24.4,2.1,14.1,0.0,0.0,0.0,3.73,6.6,190,23.92
2024-03-29,3.0,23.9,11.7,17.2,0.0,0.0,0.0,7.8,13.0,252,22.77
2024-03-30,1.0,27.4,5.4,17.0,0.0,0.0,0.0,6.15,11.0,83,23.34
2024-03-31,2.0,22.5,9.6,17.1,0.0,0.0,0.0,5.1,12.5,293,22.46
2024-04-01,51.0,18.0,9.5,13.4,0.2,0.2,0.0,5.85,9.8,89,15.22
2024-04-02,2.0,18.4,5.8,12.4,0.0,0.0,0.0,10.11,15.0,273,23.07
2024-04-03,0.0,17.5,4.8,11.3,0.0,0.0,0.0,5.59,9.8,275,24.15
2024-04-04,3.0,18.6,1.9,11.2,0.0,0.0,0.0,4.24,8.4,25,23.86
2024-04-05,2.0,20.2,6.8,13.9,0.0,0.0,0.0,3.53,7.4,38,24.51
2024-04-06,2.0,19.6,7.4,13.2,0.0,0.0,0.0,5.69,10.1,265,24.23
2024-04-07,2.0,20.0,7.6,13.8,0.0,0.0,0.0,9.67,16.3,269,23.89
2024-04-08,2.0,20.0,4.7,13.1,0.0,0.0,0.0,4.0,6.6,27,23.84
2024-04-09,1.0,22.7,6.2,15.2,0.0,0.0,0.0,4.91,8.9,243,25.32
2024-04-10,1.0,26.7,4.7,16.3,0.0,0.0,0.0,9.11,13.4,255,25.35
2024-04-11,3.0,25.4,11.7,18.7,0.0,0.0,0.0,3.86,8.5,297,25.43
2024-04-12,2.0,26.7,8.4,17.8,0.0,0.0,0.0,12.2,17.5,246,23.01
2024-04-13,0.0,21.1,7.4,14.9,0.0,0.0,0.0,10.42,18.6,282,26.29
2024-04-14,1.0,24.9,6.3,15.7,0.0,0.0,0.0,7.03,12.4,69,25.75
2024-04-15,1.0,26.6,10.7,17.9,0.0,0.0,0.0,5.44,9.9,67,26.09
2024-04-16,1.0,30.6,9.9,19.8,0.0,0.0,0.0,10.44,17.3,72,26.44
2024-04-17,3.0,27.2,15.0,21.2,0.0,0.0,0.0,8.5,13.0,70,24.09
2024-04-18,3.0,22.6,15.5,19.0,0.0,0.0,0.0,6.35,10.9,50,22.65
2024-04-19,51.0,19.7,11.0,15.5,0.6,0.6,0.0,3.89,7.2,36,22.66
2024-04-20,0.0,23.8,8.2,16.9,0.0,0.0,0.0,5.0,7.3,238,26.48
2024-04-21,1.0,26.0,12.4,19.2,0.0,0.0,0.0,7.6,11.9,268,26.14
