latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.25,94.75,1140.0,28800,Asia/Shanghai,GMT+8

time,temperature_2m (°C),relativehumidity_2m (%),rain (mm),snowfall (cm),windspeed_10m (m/s),shortwave_radiation (W/m²)
2020-01-01T00:00,-9.3,48,0.00,0.00,2.62,0.0
2020-01-01T01:00,-10.6,53,0.00,0.00,2.16,0.0
2020-01-01T02:00,-10.7,55,0.00,0.00,1.48,0.0
2020-01-01T03:00,-10.6,56,0.00,0.00,0.86,0.0
2020-01-01T04:00,-11.0,60,0.00,0.00,0.50,0.0
2020-01-01T05:00,-10.6,59,0.00,0.00,0.51,0.0
2020-01-01T06:00,-10.5,55,0.00,0.00,0.36,0.0
2020-01-01T07:00,-10.7,55,0.00,0.00,0.41,0.0
2020-01-01T08:00,-10.9,55,0.00,0.00,0.14,0.0
2020-01-01T09:00,-12.6,63,0.00,0.00,2.06,0.0
2020-01-01T10:00,-8.1,53,0.00,0.00,2.62,29.0
2020-01-01T11:00,-8.0,51,0.00,0.00,2.06,129.0
2020-01-01T12:00,-7.2,50,0.00,0.00,2.92,204.0
2020-01-01T13:00,-3.4,37,0.00,0.00,3.49,295.0
2020-01-01T14:00,-3.6,36,0.00,0.00,3.32,306.0
2020-01-01T15:00,-3.7,35,0.00,0.00,3.40,373.0
2020-01-01T16:00,-1.8,32,0.00,0.00,3.45,363.0
2020-01-01T17:00,-1.6,32,0.00,0.00,3.24,241.0
2020-01-01T18:00,-4.5,38,0.00,0.00,2.38,92.0
2020-01-01T19:00,-5.3,42,0.00,0.00,1.57,5.0
2020-01-01T20:00,-6.0,44,0.00,0.00,0.61,0.0
2020-01-01T21:00,-5.3,42,0.00,0.00,0.67,0.0
2020-01-01T22:00,-5.5,43,0.00,0.00,1.17,0.0
2020-01-01T23:00,-6.6,45,0.00,0.00,0.54,0.0
2020-01-02T00:00,-6.6,45,0.00,0.00,0.32,0.0
2020-01-02T01:00,-9.0,50,0.00,0.00,1.20,0.0
2020-01-02T02:00,-8.5,48,0.00,0.00,1.75,0.0
2020-01-02T03:00,-8.7,48,0.00,0.00,1.71,0.0
2020-01-02T04:00,-10.4,54,0.00,0.00,1.50,0.0
2020-01-02T05:00,-10.5,54,0.00,0.00,1.71,0.0
2020-01-02T06:00,-10.8,50,0.00,0.00,1.41,0.0
2020-01-02T07:00,-9.6,45,0.00,0.00,1.00,0.0
2020-01-02T08:00,-9.9,47,0.00,0.00,1.65,0.0
2020-01-02T09:00,-9.7,46,0.00,0.00,1.81,0.0
2020-01-02T10:00,-6.2,45,0.00,0.00,1.87,43.0
2020-01-02T11:00,-7.2,47,0.00,0.00,1.30,190.0
2020-01-02T12:00,-7.7,46,0.00,0.00,1.66,332.0
2020-01-02T13:00,-2.1,32,0.00,0.00,1.84,431.0
2020-01-02T14:00,-1.4,31,0.00,0.00,1.66,476.0
2020-01-02T15:00,-0.9,30,0.00,0.00,1.36,455.0
2020-01-02T16:00,0.7,28,0.00,0.00,1.17,380.0
2020-01-02T17:00,1.0,27,0.00,0.00,0.72,244.0
