time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum
2024-01-01,61.0,10.5,5.5,9.0,12.2,12.2,0.0,3.63,11.2,85,2.34
2024-01-02,61.0,9.8,5.3,7.6,4.4,4.4,0.0,4.34,9.0,356,3.97
2024-01-03,51.0,12.1,5.9,8.7,0.3,0.3,0.0,3.09,7.5,82,12.66
2024-01-04,51.0,13.2,4.3,8.9,0.1,0.1,0.0,5.06,10.7,178,8.59
2024-01-05,51.0,10.9,7.9,9.5,2.2,2.2,0.0,2.6,6.0,36,2.69
2024-01-06,51.0,13.2,7.2,10.0,0.4,0.4,0.0,3.24,6.1,92,4.96
2024-01-07,53.0,9.9,6.9,8.8,12.9,12.9,0.0,3.62,9.8,79,1.98
2024-01-08,55.0,9.7,6.3,7.8,5.4,5.4,0.0,2.84,10.6,57,2.9
2024-01-09,51.0,13.4,7.9,9.6,2.3,2.3,0.0,2.86,6.8,22,3.53
2024-01-10,55.0,11.3,6.8,9.0,3.4,3.4,0.0,3.07,8.1,96,4.23
2024-01-11,51.0,11.4,6.8,8.7,1.8,1.8,0.0,2.24,4.7,108,2.67
2024-01-12,51.0,13.4,8.0,10.7,1.2,1.2,0.0,1.84,4.1,158,4.26
2024-01-13,51.0,16.5,10.8,13.0,0.2,0.2,0.0,3.86,8.7,183,6.11
2024-01-14,51.0,19.0,12.6,14.9,0.7,0.7,0.0,3.76,9.0,171,7.76
2024-01-15,53.0,17.5,13.5,15.1,2.3,2.3,0.0,5.89,12.9,160,4.89
2024-01-16,51.0,16.7,12.8,14.9,0.7,0.7,0.0,8.96,17.4,181,4.72
2024-01-17,53.0,14.5,12.5,13.5,2.2,2.2,0.0,5.9,13.8,183,4.59
2024-01-18,61.0,20.5,12.7,15.8,3.6,3.6,0.0,7.19,16.2,193,10.74
2024-01-19,61.0,12.4,4.9,7.1,12.5,12.5,0.0,3.44,12.7,34,1.76
2024-01-20,51.0,7.0,2.8,5.3,0.2,0.2,0.0,3.31,7.2,59,5.73
2024-01-21,75.0,2.9,-0.2,1.8,11.0,5.9,3.57,4.14,9.2,69,1.79
2024-01-22,75.0,-0.1,-5.0,-2.2,8.2,0.0,5.74,5.35,10.2,54,8.55
2024-01-23,3.0,-3.4,-5.4,-4.5,0.0,0.0,0.0,3.73,8.5,70,11.85
2024-01-24,71.0,-1.6,-5.0,-3.3,0.2,0.0,0.14,2.84,6.4,50,7.29
2024-01-25,71.0,-0.0,-2.6,-1.3,0.1,0.0,0.07,2.21,5.6,37,6.57
2024-01-26,71.0,1.6,-1.3,0.1,0.5,0.0,0.35,2.93,5.7,39,5.37
2024-01-27,71.0,4.2,0.2,2.0,1.2,0.4,0.56,3.12,6.4,25,5.33
2024-01-28,71.0,4.4,1.5,2.9,0.4,0.1,0.21,2.12,4.9,64,5.01
2024-01-29,3.0,8.9,2.5,5.4,0.0,0.0,0.0,3.67,8.7,166,7.14
2024-01-30,51.0,14.7,5.9,8.8,1.6,1.6,0.0,6.13,13.1,178,8.42
2024-01-31,51.0,18.4,8.8,12.9,1.6,1.6,0.0,7.31,15.1,184,12.41
2024-02-01,61.0,13.3,6.2,9.1,7.9,7.9,0.0,3.62,13.9,26,3.2
2024-02-02,61.0,10.4,3.2,6.2,8.6,8.6,0.0,3.01,10.8,86,4.51
2024-02-03,61.0,4.0,0.3,1.8,12.0,12.0,0.0,3.38,13.2,44,2.35
2024-02-04,71.0,10.0,-0.1,3.7,2.0,1.9,0.07,3.9,8.1,57,14.62
2024-02-05,71.0,2.2,-0.4,0.6,4.6,4.5,0.07,3.38,6.6,55,2.99
2024-02-06,51.0,2.4,-0.3,0.9,4.8,4.8,0.0,3.32,7.0,33,4.03
2024-02-07,71.0,1.7,-0.2,0.5,1.6,0.9,0.49,3.75,7.7,40,4.95
2024-02-08,71.0,3.0,-0.4,1.0,0.6,0.0,0.42,3.28,7.1,26,6.54
2024-02-09,71.0,8.4,0.7,4.0,0.1,0.0,0.07,3.63,8.2,348,10.63
2024-02-10,1.0,16.6,-0.5,6.7,0.0,0.0,0.0,2.02,4.7,349,19.03
2024-02-11,0.0,18.4,-0.6,9.0,0.0,0.0,0.0,6.11,12.8,182,19.09
2024-02-12,2.0,18.8,7.1,12.3,0.0,0.0,0.0,6.43,14.3,180,16.8
2024-02-13,3.0,22.5,7.5,14.2,0.0,0.0,0.0,5.98,13.1,183,14.36
2024-02-14,53.0,22.9,12.0,16.3,2.0,2.0,0.0,7.49,15.3,196,11.06
2024-02-15,53.0,13.5,6.7,9.4,3.6,3.6,0.0,5.42,11.8,352,2.54
2024-02-16,3.0,14.3,5.7,9.2,0.0,0.0,0.0,5.55,11.6,178,10.8
2024-02-17,3.0,22.3,9.6,15.1,0.0,0.0,0.0,9.97,20.1,188,16.34
2024-02-18,1.0,27.2,14.2,19.8,0.0,0.0,0.0,8.37,17.0,195,19.3
2024-02-19,0.0,26.8,13.6,20.6,0.0,0.0,0.0,6.94,14.2,187,18.43
2024-02-20,1.0,26.7,16.6,21.7,0.0,0.0,0.0,10.47,20.9,183,17.94
2024-02-21,51.0,20.5,2.0,12.6,2.0,2.0,0.0,7.67,16.6,101,10.48
2024-02-22,53.0,1.9,-2.5,-0.0,5.4,5.4,0.0,4.28,8.9,50,5.14
2024-02-23,51.0,-1.0,-2.9,-2.4,5.4,5.4,0.0,3.5,7.3,43,4.2
2024-02-24,51.0,1.4,-2.5,-0.7,2.9,2.9,0.0,3.14,6.7,29,6.48
2024-02-25,71.0,3.8,-0.7,0.9,2.5,2.4,0.07,3.37,7.0,63,8.41
2024-02-26,51.0,2.9,-1.3,0.6,1.0,1.0,0.0,3.23,7.2,48,6.86
2024-02-27,71.0,7.5,-0.0,3.3,0.8,0.7,0.07,3.69,8.0,95,11.95
2024-02-28,53.0,6.6,2.0,4.0,3.7,3.7,0.0,3.61,7.8,89,5.44
2024-02-29,53.0,7.3,2.9,4.6,1.7,1.7,0.0,3.98,7.7,35,6.21
2024-03-01,71.0,7.6,1.4,3.7,0.2,0.1,0.07,4.1,8.0,76,10.33
2024-03-02,3.0,13.0,1.8,6.7,0.0,0.0,0.0,3.74,8.2,131,17.65
2024-03-03,51.0,10.6,5.6,8.1,0.5,0.5,0.0,5.31,12.1,164,11.17
2024-03-04,53.0,19.3,7.6,12.5,2.4,2.4,0.0,4.94,11.7,154,14.19
2024-03-05,51.0,13.8,8.3,10.4,2.4,2.4,0.0,4.88,8.8,22,7.97
2024-03-06,51.0,13.7,6.6,9.4,1.6,1.6,0.0,4.26,8.7,54,12.08
