time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum
2024-01-01,51.0,23.7,20.6,21.9,0.1,0.1,0.0,6.74,10.5,82,14.06
2024-01-02,51.0,23.8,21.4,22.3,0.8,0.8,0.0,5.29,8.3,89,13.99
2024-01-03,51.0,21.7,19.7,20.7,0.2,0.2,0.0,8.34,12.6,62,13.6
2024-01-04,3.0,21.6,19.1,20.2,0.0,0.0,0.0,6.84,10.2,72,11.43
2024-01-05,51.0,23.2,19.7,21.4,0.3,0.3,0.0,5.65,9.0,88,13.39
2024-01-06,2.0,23.3,20.7,21.5,0.0,0.0,0.0,5.33,8.2,75,12.23
2024-01-07,2.0,23.4,20.0,21.6,0.0,0.0,0.0,6.8,10.3,86,14.03
2024-01-08,51.0,22.9,20.7,21.8,0.4,0.4,0.0,5.41,9.0,85,13.43
2024-01-09,51.0,23.0,20.7,21.7,0.6,0.6,0.0,6.11,9.1,74,13.6
2024-01-10,51.0,22.3,20.8,21.4,0.5,0.5,0.0,8.05,12.2,72,12.16
2024-01-11,3.0,23.3,20.8,21.8,0.0,0.0,0.0,7.28,11.3,90,12.51
2024-01-12,3.0,23.1,20.7,21.6,0.0,0.0,0.0,6.96,10.5,87,13.66
2024-01-13,1.0,23.1,20.2,21.5,0.0,0.0,0.0,6.48,10.3,80,14.68
2024-01-14,51.0,22.7,21.0,21.7,0.6,0.6,0.0,7.33,11.3,68,12.72
2024-01-15,51.0,23.2,20.7,21.8,0.1,0.1,0.0,7.13,11.0,74,16.59
2024-01-16,51.0,23.1,20.6,21.6,0.3,0.3,0.0,7.85,11.9,86,14.82
2024-01-17,51.0,23.3,20.5,21.6,0.4,0.4,0.0,7.5,10.9,82,14.14
2024-01-18,1.0,23.9,20.4,22.0,0.0,0.0,0.0,5.5,8.2,81,14.9
2024-01-19,2.0,23.9,20.3,21.8,0.0,0.0,0.0,5.64,8.4,84,16.29
2024-01-20,2.0,23.4,20.2,21.5,0.0,0.0,0.0,6.14,9.6,81,15.24
2024-01-21,51.0,21.5,19.6,20.5,0.2,0.2,0.0,7.65,12.2,72,13.11
2024-01-22,53.0,21.0,14.1,18.7,3.2,3.2,0.0,9.53,15.0,52,8.16
2024-01-23,51.0,14.3,13.2,13.8,3.4,3.4,0.0,8.8,13.8,33,4.45
2024-01-24,51.0,14.6,13.6,14.0,1.6,1.6,0.0,8.13,13.4,45,5.5
2024-01-25,51.0,15.7,14.3,14.9,0.1,0.1,0.0,7.51,11.6,45,5.56
2024-01-26,51.0,17.5,15.7,16.5,1.0,1.0,0.0,6.84,10.6,53,4.55
2024-01-27,51.0,17.9,16.2,17.1,1.6,1.6,0.0,6.8,10.9,49,2.5
2024-01-28,51.0,18.4,16.8,17.4,1.3,1.3,0.0,8.28,12.8,59,5.31
2024-01-29,51.0,21.2,18.3,19.9,1.0,1.0,0.0,7.23,10.8,76,7.67
2024-01-30,3.0,22.8,20.0,21.1,0.0,0.0,0.0,6.08,9.1,81,13.34
2024-01-31,51.0,23.1,20.4,21.5,0.1,0.1,0.0,5.57,7.8,103,12.13
2024-02-01,3.0,23.8,20.3,21.8,0.0,0.0,0.0,5.79,8.4,109,17.34
2024-02-02,3.0,24.2,20.6,22.0,0.0,0.0,0.0,5.83,8.4,109,17.81
2024-02-03,3.0,24.1,20.7,22.2,0.0,0.0,0.0,6.11,9.4,110,16.61
2024-02-04,51.0,25.2,21.4,23.0,0.1,0.1,0.0,6.14,8.2,130,15.42
2024-02-05,51.0,24.0,21.6,22.8,0.6,0.6,0.0,5.99,10.4,115,13.31
2024-02-06,3.0,24.5,21.9,23.0,0.0,0.0,0.0,5.75,8.1,120,12.53
2024-02-07,51.0,24.2,19.0,21.9,1.0,1.0,0.0,6.92,10.7,64,13.38
