time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum
2024-01-01,3.0,14.4,8.0,10.8,0.0,0.0,0.0,3.29,6.9,353,12.06
2024-01-02,63.0,9.3,6.6,7.2,14.0,14.0,0.0,4.46,8.5,338,1.66
2024-01-03,3.0,11.9,4.0,7.6,0.0,0.0,0.0,2.91,6.4,355,12.67
2024-01-04,2.0,13.2,2.6,7.9,0.0,0.0,0.0,3.21,6.6,149,12.44
2024-01-05,53.0,15.9,8.4,11.4,2.1,2.1,0.0,2.16,4.6,47,9.95
2024-01-06,2.0,16.3,8.4,11.8,0.0,0.0,0.0,2.55,5.9,341,12.71
2024-01-07,55.0,14.3,9.3,11.5,6.0,6.0,0.0,3.09,6.5,18,8.25
2024-01-08,61.0,9.3,7.4,8.4,6.3,6.3,0.0,3.31,5.9,320,3.59
2024-01-09,3.0,15.1,7.4,11.0,0.0,0.0,0.0,3.0,5.2,336,9.38
2024-01-10,2.0,16.3,7.6,11.3,0.0,0.0,0.0,3.03,6.7,23,13.59
2024-01-11,1.0,16.0,5.9,10.5,0.0,0.0,0.0,2.62,5.8,164,13.71
2024-01-12,1.0,18.7,6.5,11.5,0.0,0.0,0.0,2.2,5.5,158,14.23
2024-01-13,51.0,20.5,9.0,14.3,0.1,0.1,0.0,2.22,6.0,146,12.66
2024-01-14,53.0,21.7,13.8,16.8,1.6,1.6,0.0,5.33,10.0,11,10.04
2024-01-15,3.0,13.5,6.5,9.8,0.0,0.0,0.0,5.55,11.1,341,5.1
2024-01-16,3.0,8.8,5.9,7.1,0.0,0.0,0.0,3.57,6.4,345,7.38
2024-01-17,51.0,6.5,4.6,5.8,2.4,2.4,0.0,3.74,6.8,345,3.25
2024-01-18,61.0,5.5,4.2,4.8,12.7,12.7,0.0,4.41,11.2,343,1.3
2024-01-19,61.0,4.2,3.4,3.8,22.2,22.2,0.0,5.0,9.5,342,0.9
2024-01-20,51.0,4.3,2.5,3.3,0.4,0.4,0.0,5.54,10.5,346,2.52
2024-01-21,73.0,5.4,1.0,3.6,3.9,3.5,0.28,6.21,12.7,354,4.77
2024-01-22,73.0,0.8,-2.0,-0.4,11.0,1.2,6.86,6.6,13.8,1,6.29
2024-01-23,1.0,-0.4,-6.7,-2.5,0.0,0.0,0.0,4.6,9.3,357,16.68
2024-01-24,2.0,4.0,-2.7,0.6,0.0,0.0,0.0,2.78,5.9,355,13.9
2024-01-25,2.0,6.3,-0.1,3.3,0.0,0.0,0.0,2.6,5.6,343,15.48
2024-01-26,3.0,9.1,3.8,5.9,0.0,0.0,0.0,2.43,5.0,344,13.12
2024-01-27,1.0,10.7,3.9,6.5,0.0,0.0,0.0,3.04,6.9,347,14.19
2024-01-28,2.0,10.3,2.8,6.5,0.0,0.0,0.0,2.11,4.0,350,7.1
2024-01-29,61.0,7.8,6.2,7.0,6.7,6.7,0.0,2.14,7.8,163,4.99
2024-01-30,53.0,9.4,6.7,8.1,6.6,6.6,0.0,2.02,9.2,103,3.44
2024-01-31,53.0,10.6,8.0,8.8,7.2,7.2,0.0,3.85,9.4,340,4.14
2024-02-01,61.0,8.8,2.0,6.0,21.5,21.5,0.0,6.23,11.9,340,1.27
2024-02-02,71.0,2.0,0.6,1.3,9.3,9.2,0.07,5.72,11.0,342,1.5
2024-02-03,71.0,0.9,-0.4,0.3,5.4,5.3,0.07,5.25,10.1,344,1.28
2024-02-04,71.0,1.1,-0.2,0.3,17.7,16.6,0.77,4.49,8.5,342,1.96
2024-02-05,61.0,1.2,-0.1,0.5,6.3,6.3,0.0,4.7,9.0,354,3.22
2024-02-06,71.0,0.5,-0.4,0.0,14.4,14.3,0.07,4.36,7.5,342,1.24
2024-02-07,71.0,3.3,0.0,1.3,6.7,6.4,0.21,4.37,8.4,346,5.91
2024-02-08,51.0,4.8,0.8,2.6,0.3,0.3,0.0,3.75,6.7,343,8.6
2024-02-09,1.0,9.8,-0.4,4.4,0.0,0.0,0.0,2.32,5.0,292,17.51
2024-02-10,0.0,15.5,-0.8,6.0,0.0,0.0,0.0,3.01,6.1,182,18.08
2024-02-11,0.0,19.1,2.5,9.5,0.0,0.0,0.0,2.8,4.8,141,17.97
2024-02-12,3.0,20.6,5.3,12.8,0.0,0.0,0.0,4.42,8.9,147,15.58
2024-02-13,53.0,19.1,12.1,15.8,2.6,2.6,0.0,5.9,9.7,175,9.94
2024-02-14,51.0,25.3,14.5,19.2,0.1,0.1,0.0,4.79,9.9,173,14.35
2024-02-15,55.0,18.4,8.0,11.5,6.2,6.2,0.0,9.24,16.4,352,3.69
2024-02-16,3.0,12.7,8.3,10.6,0.0,0.0,0.0,3.21,5.5,237,10.89
2024-02-17,3.0,21.0,10.4,15.5,0.0,0.0,0.0,5.73,10.3,168,11.17
2024-02-18,3.0,27.7,19.1,22.9,0.0,0.0,0.0,10.61,18.3,183,15.01
2024-02-19,55.0,21.5,11.6,18.0,2.9,2.9,0.0,5.98,11.6,318,9.17
2024-02-20,53.0,11.7,4.3,7.3,6.5,6.5,0.0,6.04,11.6,341,2.07
2024-02-21,71.0,4.3,-1.3,1.4,36.9,36.7,0.14,7.4,14.6,348,1.36
2024-02-22,71.0,-0.8,-1.5,-1.2,6.3,5.4,0.63,6.42,11.7,354,1.6
2024-02-23,71.0,-0.4,-1.7,-1.2,1.5,1.3,0.14,5.5,10.2,356,2.55
2024-02-24,51.0,0.2,-1.2,-0.5,2.0,2.0,0.0,4.81,8.5,349,2.78
2024-02-25,3.0,3.9,0.2,1.8,0.0,0.0,0.0,3.63,6.3,2,8.19
2024-02-26,51.0,5.5,1.9,3.5,0.1,0.1,0.0,3.63,6.8,351,6.42
2024-02-27,3.0,7.1,2.9,5.0,0.0,0.0,0.0,3.51,6.4,355,11.62
2024-02-28,53.0,6.5,4.5,5.6,2.4,2.4,0.0,2.79,4.7,349,4.04
2024-02-29,61.0,8.9,3.4,6.2,10.9,10.9,0.0,5.63,10.4,355,7.22
2024-03-01,3.0,8.1,4.1,6.1,0.0,0.0,0.0,3.91,8.5,357,10.43
2024-03-02,51.0,10.8,4.7,7.5,0.2,0.2,0.0,2.69,4.5,339,13.55
2024-03-03,51.0,10.3,3.1,7.0,0.1,0.1,0.0,3.42,7.0,136,11.83
2024-03-04,55.0,11.5,7.9,9.4,12.6,12.6,0.0,4.18,13.2,48,3.84
2024-03-05,61.0,9.2,7.9,8.6,11.0,11.0,0.0,6.39,11.8,343,1.66
2024-03-06,3.0,12.1,8.8,10.3,0.0,0.0,0.0,4.9,8.6,357,4.55
2024-03-07,3.0,15.3,8.6,11.4,0.0,0.0,0.0,3.65,7.4,357,13.41
2024-03-08,51.0,18.0,6.8,12.2,0.1,0.1,0.0,3.09,6.6,32,16.99
2024-03-09,53.0,13.9,8.3,12.0,0.8,0.8,0.0,1.88,5.1,88,8.73
2024-03-10,55.0,14.4,6.5,10.8,1.9,1.9,0.0,2.16,4.8,44,8.38
2024-03-11,51.0,21.4,9.1,14.5,1.0,1.0,0.0,2.73,5.6,291,21.57
2024-03-12,3.0,24.9,7.9,16.4,0.0,0.0,0.0,3.06,7.0,144,22.2
2024-03-13,51.0,18.6,13.3,16.0,3.7,3.7,0.0,4.05,7.9,106,5.86
2024-03-14,51.0,16.6,13.0,14.6,1.0,1.0,0.0,2.01,5.3,2,7.39
2024-03-15,55.0,14.1,12.7,13.4,8.0,8.0,0.0,3.44,8.2,91,5.35
2024-03-16,61.0,16.9,13.8,15.0,4.2,4.2,0.0,1.79,6.0,9,6.01
2024-03-17,55.0,16.6,14.5,15.2,4.1,4.1,0.0,4.22,8.3,341,3.01
2024-03-18,63.0,14.9,8.0,10.9,13.5,13.5,0.0,6.45,13.2,343,1.62
2024-03-19,2.0,19.6,5.8,11.9,0.0,0.0,0.0,2.92,7.2,346,20.88
2024-03-20,1.0,22.0,7.7,14.9,0.0,0.0,0.0,2.33,5.7,38,22.1
2024-03-21,51.0,17.6,12.7,15.2,0.3,0.3,0.0,4.37,7.8,155,4.73
2024-03-22,3.0,25.0,16.0,20.7,0.0,0.0,0.0,8.3,14.4,180,13.88
2024-03-23,61.0,30.0,21.5,25.1,2.9,2.9,0.0,7.86,16.5,173,16.89
2024-03-24,63.0,28.5,19.8,24.1,7.2,7.2,0.0,5.64,12.9,195,11.5
2024-03-25,63.0,20.4,11.3,14.6,12.4,12.4,0.0,7.09,13.4,341,4.22
2024-03-26,1.0,21.0,9.4,15.1,0.0,0.0,0.0,3.42,5.9,4,23.23
2024-03-27,63.0,23.4,15.4,18.5,11.6,11.6,0.0,5.78,15.7,100,13.65
2024-03-28,63.0,25.4,13.7,18.8,16.9,16.9,0.0,6.17,11.1,313,22.96
2024-03-29,1.0,29.6,14.8,21.8,0.0,0.0,0.0,4.3,9.0,180,24.27
2024-03-30,63.0,30.9,20.7,25.0,22.6,22.6,0.0,4.65,8.7,180,19.74
2024-03-31,63.0,28.5,21.1,24.2,9.9,9.9,0.0,3.51,9.4,272,18.39
2024-04-01,63.0,25.9,21.1,22.8,9.8,9.8,0.0,5.99,11.5,125,12.13
