time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum
2024-01-01,2.0,12.7,5.3,8.4,0.0,0.0,0.0,3.88,8.8,18,13.68
2024-01-02,61.0,9.1,5.5,6.7,4.9,4.9,0.0,3.21,7.2,0,3.37
2024-01-03,2.0,11.4,3.3,6.7,0.0,0.0,0.0,2.28,5.7,22,11.31
2024-01-04,3.0,11.4,1.0,6.1,0.0,0.0,0.0,2.11,5.6,177,10.83
2024-01-05,51.0,15.7,6.2,9.7,0.3,0.3,0.0,2.12,3.6,47,9.43
2024-01-06,1.0,17.6,6.0,10.9,0.0,0.0,0.0,2.62,5.6,16,13.61
2024-01-07,3.0,14.1,7.9,10.4,0.0,0.0,0.0,4.16,9.9,22,12.51
2024-01-08,55.0,9.3,7.0,7.9,5.4,5.4,0.0,3.1,6.8,18,2.98
2024-01-09,3.0,13.3,6.2,9.1,0.0,0.0,0.0,2.21,5.3,19,7.89
2024-01-10,1.0,13.6,4.4,8.7,0.0,0.0,0.0,3.58,8.6,25,14.38
2024-01-11,1.0,15.3,2.4,7.8,0.0,0.0,0.0,2.47,5.9,184,14.4
2024-01-12,0.0,18.7,4.2,10.5,0.0,0.0,0.0,2.13,4.1,188,14.36
2024-01-13,3.0,20.0,5.2,11.8,0.0,0.0,0.0,1.7,4.6,64,14.02
2024-01-14,53.0,19.0,8.7,13.6,3.5,3.5,0.0,4.96,10.7,4,10.61
2024-01-15,1.0,12.2,7.8,9.8,0.0,0.0,0.0,5.06,11.2,17,12.3
2024-01-16,0.0,13.5,6.7,9.4,0.0,0.0,0.0,2.84,6.7,25,13.42
2024-01-17,2.0,16.6,6.9,11.1,0.0,0.0,0.0,3.35,7.2,17,10.31
2024-01-18,55.0,9.3,7.1,8.5,7.1,7.1,0.0,3.83,10.2,13,3.23
2024-01-19,61.0,8.2,6.8,7.4,8.4,8.4,0.0,4.64,9.5,3,1.9
2024-01-20,61.0,6.8,4.9,6.1,3.7,3.7,0.0,4.63,9.4,5,3.25
2024-01-21,51.0,6.7,3.1,5.3,0.9,0.9,0.0,6.24,13.5,15,8.23
2024-01-22,73.0,3.0,-1.8,0.5,10.6,0.9,6.79,6.87,14.4,21,4.91
2024-01-23,1.0,-0.9,-5.3,-3.0,0.0,0.0,0.0,4.25,8.4,17,16.83
2024-01-24,1.0,1.8,-6.1,-1.9,0.0,0.0,0.0,2.84,6.6,15,15.94
2024-01-25,2.0,7.3,-0.4,3.0,0.0,0.0,0.0,2.31,5.2,28,15.53
2024-01-26,2.0,7.2,1.0,4.2,0.0,0.0,0.0,2.19,5.6,19,9.5
2024-01-27,1.0,10.3,1.2,5.2,0.0,0.0,0.0,2.97,6.6,15,15.08
2024-01-28,3.0,12.2,0.8,6.6,0.0,0.0,0.0,2.77,6.9,18,14.71
2024-01-29,53.0,9.2,5.9,7.2,6.1,6.1,0.0,1.71,4.3,195,3.41
2024-01-30,55.0,10.2,6.7,8.5,5.7,5.7,0.0,1.36,5.5,154,4.47
2024-01-31,51.0,16.9,9.3,12.2,0.9,0.9,0.0,2.57,5.8,39,6.97
2024-02-01,63.0,12.1,4.2,8.8,12.8,12.8,0.0,6.31,13.0,7,1.81
2024-02-02,61.0,5.8,3.2,4.2,9.3,9.3,0.0,5.61,12.3,7,2.36
2024-02-03,53.0,4.8,2.9,3.6,5.0,5.0,0.0,4.42,9.4,6,2.6
2024-02-04,61.0,3.9,2.0,2.9,17.5,17.5,0.0,4.2,9.2,3,1.25
2024-02-05,61.0,3.1,1.2,2.0,2.3,2.3,0.0,4.02,8.7,11,6.97
2024-02-06,61.0,2.2,1.4,1.7,15.4,15.4,0.0,4.01,8.4,2,1.58
2024-02-07,75.0,3.6,1.2,2.4,5.9,2.7,2.24,4.79,9.8,8,4.99
2024-02-08,71.0,7.3,2.5,4.4,0.2,0.1,0.07,3.8,8.6,13,15.04
2024-02-09,2.0,11.4,0.8,5.9,0.0,0.0,0.0,2.18,4.3,333,17.39
2024-02-10,1.0,15.2,1.3,7.1,0.0,0.0,0.0,3.1,5.9,209,17.83
2024-02-11,3.0,17.8,1.0,8.8,0.0,0.0,0.0,1.77,4.8,119,17.19
2024-02-12,1.0,20.0,5.0,12.2,0.0,0.0,0.0,3.52,8.0,189,18.08
2024-02-13,53.0,19.3,9.6,14.2,2.3,2.3,0.0,5.03,12.6,174,12.41
2024-02-14,3.0,25.0,11.9,17.9,0.0,0.0,0.0,2.55,6.5,186,14.4
2024-02-15,63.0,15.8,7.1,11.9,14.3,14.3,0.0,7.33,16.6,8,2.89
2024-02-16,51.0,12.2,6.2,9.3,0.2,0.2,0.0,4.12,9.0,59,14.54
2024-02-17,3.0,18.7,8.5,12.9,0.0,0.0,0.0,3.45,8.3,187,10.95
2024-02-18,3.0,26.7,15.5,20.8,0.0,0.0,0.0,8.23,17.1,197,13.68
2024-02-19,63.0,28.2,17.3,21.7,9.2,9.2,0.0,3.92,14.8,196,14.45
2024-02-20,63.0,16.7,8.7,12.1,19.2,19.2,0.0,4.61,17.1,16,6.56
2024-02-21,63.0,8.8,2.9,6.0,45.4,45.4,0.0,6.62,16.7,9,1.74
2024-02-22,63.0,2.8,1.0,2.0,18.4,18.4,0.0,5.89,12.5,11,1.91
2024-02-23,53.0,2.0,0.8,1.3,1.7,1.7,0.0,5.07,10.7,14,3.36
2024-02-24,51.0,2.4,1.2,1.7,0.9,0.9,0.0,4.33,8.4,8,2.24
