time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,weathercode,shortwave_radiation_sum
2024-01-01,-6.5,-19.6,-12.2,0.0,0.0,0.0,7.21,12.5,210,3.0,6.28
2024-01-02,-2.7,-13.0,-8.6,0.0,0.0,0.0,3.11,5.5,219,3.0,7.4
2024-01-03,-6.5,-11.9,-10.3,0.0,0.0,0.0,4.97,8.5,219,3.0,7.6
2024-01-04,0.8,-12.2,-4.9,0.2,0.0,0.14,9.9,17.7,215,71.0,6.95
2024-01-05,-7.3,-16.9,-12.4,0.0,0.0,0.0,5.92,8.6,280,2.0,7.8
2024-01-06,-7.4,-18.0,-13.5,0.0,0.0,0.0,4.97,9.4,263,1.0,7.75
2024-01-07,-13.7,-19.7,-17.0,0.0,0.0,0.0,4.19,9.0,285,2.0,7.83
2024-01-08,-6.7,-19.4,-12.9,0.0,0.0,0.0,7.77,14.9,210,3.0,6.97
2024-01-09,-9.2,-19.6,-14.6,0.0,0.0,0.0,4.19,7.8,315,0.0,8.13
2024-01-10,-5.8,-17.9,-11.4,0.0,0.0,0.0,8.92,15.5,212,2.0,7.97
2024-01-11,-6.0,-15.1,-8.6,0.4,0.0,0.28,7.16,12.2,258,71.0,6.35
2024-01-12,-6.8,-18.7,-13.3,0.0,0.0,0.0,4.34,8.2,283,3.0,8.27
2024-01-13,-7.9,-20.6,-13.4,0.0,0.0,0.0,5.86,10.4,188,3.0,6.56
2024-01-14,-7.8,-15.9,-11.2,0.0,0.0,0.0,6.93,12.1,294,3.0,8.65
2024-01-15,-7.8,-18.7,-14.8,0.0,0.0,0.0,3.42,6.9,263,1.0,8.77
2024-01-16,-2.3,-17.7,-9.7,0.0,0.0,0.0,7.94,13.1,205,0.0,8.74
2024-01-17,-0.4,-10.7,-4.9,0.0,0.0,0.0,7.68,13.2,249,3.0,6.66
2024-01-18,-7.0,-15.0,-11.7,0.0,0.0,0.0,3.54,7.0,19,3.0,8.86
2024-01-19,-8.0,-18.8,-14.0,0.0,0.0,0.0,5.24,9.3,29,3.0,8.88
2024-01-20,-13.2,-18.9,-16.4,0.6,0.0,0.42,6.71,12.4,31,71.0,5.76
2024-01-21,-17.6,-22.0,-19.3,0.1,0.0,0.07,5.5,10.1,357,71.0,6.92
2024-01-22,-17.2,-23.0,-20.6,0.0,0.0,0.0,5.55,10.9,346,3.0,8.8
2024-01-23,-13.7,-24.1,-18.7,0.0,0.0,0.0,3.61,7.3,280,3.0,7.44
2024-01-24,-10.0,-19.1,-15.8,0.0,0.0,0.0,5.06,9.8,322,2.0,9.45
2024-01-25,-5.5,-19.5,-13.2,0.0,0.0,0.0,3.97,7.9,225,0.0,9.45
