time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,weathercode,shortwave_radiation_sum
2024-01-01,-3.0,-18.5,-10.4,0.0,0.0,0.0,5.84,10.5,211,3.0,8.32
2024-01-02,-0.7,-8.7,-5.1,0.0,0.0,0.0,3.04,5.4,221,3.0,6.0
2024-01-03,-3.7,-11.2,-8.3,0.0,0.0,0.0,3.9,6.3,226,2.0,8.51
2024-01-04,5.4,-10.6,-1.4,0.0,0.0,0.0,9.52,17.1,202,1.0,8.12
2024-01-05,-2.1,-10.4,-6.6,0.0,0.0,0.0,5.1,9.2,324,1.0,8.69
2024-01-06,-4.3,-11.7,-8.6,0.0,0.0,0.0,4.4,8.7,317,2.0,8.73
2024-01-07,-9.6,-17.3,-13.3,0.0,0.0,0.0,3.83,8.2,334,0.0,9.12
2024-01-08,-2.3,-17.9,-9.0,0.3,0.0,0.21,8.32,14.9,188,71.0,6.51
2024-01-09,-3.9,-14.2,-9.2,0.0,0.0,0.0,4.53,8.6,350,2.0,9.07
2024-01-10,-2.3,-17.7,-9.1,0.0,0.0,0.0,7.8,13.2,196,1.0,9.15
2024-01-11,2.3,-7.4,-2.0,0.0,0.0,0.0,7.62,13.0,256,2.0,9.03
2024-01-12,-0.3,-14.2,-7.7,0.0,0.0,0.0,5.49,9.8,338,1.0,8.68
2024-01-13,-1.7,-14.6,-8.0,0.1,0.0,0.07,4.65,7.6,176,71.0,8.9
2024-01-14,-3.8,-14.2,-7.6,1.4,0.0,0.98,7.0,12.8,335,73.0,9.69
2024-01-15,-4.1,-17.5,-11.5,0.0,0.0,0.0,2.72,4.8,324,1.0,9.61
2024-01-16,2.4,-16.1,-6.9,0.0,0.0,0.0,6.8,11.0,186,0.0,9.71
2024-01-17,3.1,-3.8,-0.7,0.0,0.0,0.0,6.74,11.1,215,3.0,5.43
2024-01-18,-2.5,-10.7,-6.3,0.0,0.0,0.0,6.36,11.7,10,1.0,9.78
2024-01-19,-4.2,-13.4,-8.8,0.0,0.0,0.0,6.85,12.5,23,1.0,8.83
2024-01-20,-7.4,-12.3,-9.5,1.8,0.0,1.26,6.08,10.5,14,71.0,3.61
2024-01-21,-12.6,-18.1,-15.7,0.4,0.0,0.28,6.5,11.8,353,71.0,9.91
2024-01-22,-14.2,-20.5,-17.7,0.0,0.0,0.0,6.76,13.1,350,3.0,10.16
2024-01-23,-11.2,-23.3,-17.1,0.0,0.0,0.0,3.06,6.6,289,3.0,9.94
2024-01-24,-5.9,-18.8,-13.1,0.0,0.0,0.0,3.59,7.7,344,2.0,10.43
2024-01-25,-2.3,-17.3,-10.5,0.0,0.0,0.0,2.92,6.3,195,0.0,10.41
2024-01-26,-3.1,-14.9,-10.3,0.0,0.0,0.0,3.11,6.8,315,0.0,10.7
2024-01-27,-3.3,-17.2,-11.4,0.0,0.0,0.0,2.64,6.0,21,0.0,10.8
2024-01-28,-0.6,-17.1,-9.2,0.0,0.0,0.0,2.86,7.0,192,0.0,10.95
2024-01-29,-4.5,-14.1,-10.6,0.0,0.0,0.0,3.44,7.4,14,0.0,11.04
2024-01-30,1.5,-15.4,-6.8,5.0,0.0,3.5,4.82,11.3,189,73.0,5.71
2024-01-31,-8.1,-17.9,-12.8,2.4,0.0,1.68,5.7,10.7,358,73.0,11.65
2024-02-01,-11.3,-19.3,-15.5,0.0,0.0,0.0,5.12,9.9,6,2.0,11.43
2024-02-02,-6.8,-20.5,-14.0,0.0,0.0,0.0,3.77,7.5,14,2.0,11.91
2024-02-03,-5.1,-16.5,-11.8,0.0,0.0,0.0,4.64,9.2,13,1.0,11.56
2024-02-04,-4.8,-18.2,-11.2,0.0,0.0,0.0,5.06,9.2,23,2.0,12.1
2024-02-05,-4.1,-9.7,-7.6,0.0,0.0,0.0,6.13,11.3,19,3.0,6.88
