time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,weathercode,shortwave_radiation_sum
2024-01-01,-4.1,-14.4,-9.9,0.0,0.0,0.0,3.75,8.2,195,2.0,8.27
2024-01-02,-0.7,-11.6,-7.5,0.0,0.0,0.0,4.72,9.2,235,3.0,8.48
2024-01-03,-0.8,-15.2,-8.5,0.0,0.0,0.0,5.6,9.9,202,1.0,9.29
2024-01-04,-0.2,-10.9,-6.5,0.0,0.0,0.0,5.08,9.8,230,0.0,9.42
2024-01-05,-1.0,-13.1,-7.9,0.0,0.0,0.0,5.54,10.0,238,1.0,9.36
2024-01-06,-7.8,-15.3,-12.1,0.0,0.0,0.0,3.26,6.6,229,0.0,9.76
2024-01-07,-5.1,-19.4,-12.6,0.0,0.0,0.0,3.12,6.4,163,0.0,9.58
2024-01-08,-3.0,-15.5,-9.1,0.0,0.0,0.0,3.41,6.6,185,3.0,8.07
2024-01-09,-2.8,-12.3,-7.7,0.3,0.0,0.21,2.77,5.3,225,71.0,9.62
2024-01-10,-1.0,-13.8,-8.5,0.0,0.0,0.0,5.9,10.8,201,1.0,9.67
2024-01-11,0.5,-13.4,-6.6,0.0,0.0,0.0,2.98,6.0,163,0.0,9.68
2024-01-12,3.3,-12.9,-6.0,0.0,0.0,0.0,1.92,4.8,138,1.0,9.9
2024-01-13,0.4,-11.6,-5.7,0.0,0.0,0.0,5.3,8.2,298,3.0,6.67
2024-01-14,-4.4,-14.6,-9.9,0.0,0.0,0.0,2.83,4.9,85,0.0,10.4
2024-01-15,-2.4,-17.8,-10.7,0.0,0.0,0.0,2.3,5.0,124,1.0,10.54
2024-01-16,-0.4,-14.2,-7.4,0.0,0.0,0.0,2.16,4.9,140,3.0,9.72
2024-01-17,-0.6,-8.0,-4.4,0.6,0.0,0.42,2.05,4.5,130,71.0,6.14
2024-01-18,1.4,-8.0,-4.4,0.0,0.0,0.0,2.43,4.7,96,3.0,8.62
