time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,weathercode,shortwave_radiation_sum
2024-01-01,5.2,-8.2,-3.3,0.0,0.0,0.0,2.14,5.8,233,3.0,9.64
2024-01-02,5.3,-7.1,-1.8,0.0,0.0,0.0,3.11,7.5,263,2.0,10.33
2024-01-03,7.4,-9.4,-2.9,0.0,0.0,0.0,3.2,7.0,227,0.0,10.45
2024-01-04,5.1,-7.9,-2.5,0.0,0.0,0.0,1.75,5.0,257,0.0,10.35
2024-01-05,5.4,-7.9,-3.0,0.0,0.0,0.0,1.97,5.3,260,0.0,10.63
2024-01-06,-0.8,-10.4,-5.8,0.0,0.0,0.0,2.12,5.0,60,0.0,10.69
2024-01-07,4.1,-11.8,-5.4,0.0,0.0,0.0,2.3,5.9,218,1.0,10.68
2024-01-08,6.9,-9.8,-3.0,0.0,0.0,0.0,2.34,6.2,260,2.0,9.68
2024-01-09,4.2,-6.9,-2.7,0.0,0.0,0.0,1.97,4.6,235,0.0,10.93
2024-01-10,8.2,-10.5,-3.1,0.0,0.0,0.0,3.11,6.5,225,0.0,11.05
2024-01-11,10.2,-8.4,-1.1,0.0,0.0,0.0,2.38,4.8,239,0.0,11.08
2024-01-12,10.7,-7.1,-0.2,0.0,0.0,0.0,1.28,4.0,266,3.0,11.19
2024-01-13,8.4,-7.2,-0.5,0.0,0.0,0.0,2.55,5.4,293,1.0,10.25
2024-01-14,1.6,-8.4,-3.8,0.0,0.0,0.0,2.55,5.2,40,1.0,11.31
2024-01-15,2.9,-9.0,-3.5,0.0,0.0,0.0,1.81,5.0,10,3.0,9.3
2024-01-16,4.5,-5.4,-1.3,0.0,0.0,0.0,1.64,4.4,202,3.0,10.42
2024-01-17,5.9,-9.5,-2.7,0.0,0.0,0.0,2.39,4.2,14,0.0,11.51
2024-01-18,3.1,-6.0,-1.7,1.8,0.4,0.98,2.1,4.4,17,73.0,7.74
2024-01-19,2.2,-5.2,-1.2,0.1,0.0,0.07,2.8,6.6,267,71.0,8.01
