time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum
2024-01-01,2.0,4.0,-6.4,-2.7,0.0,0.0,0.0,2.98,7.7,256,8.74
2024-01-02,2.0,6.1,-8.7,-2.4,0.0,0.0,0.0,3.86,8.9,274,9.81
2024-01-03,0.0,5.5,-10.0,-2.6,0.0,0.0,0.0,3.88,8.6,239,10.76
2024-01-04,0.0,7.9,-7.6,-1.0,0.0,0.0,0.0,3.47,8.3,267,10.54
2024-01-05,0.0,6.9,-10.0,-2.3,0.0,0.0,0.0,3.55,6.9,254,10.8
2024-01-06,0.0,2.7,-7.1,-2.9,0.0,0.0,0.0,2.16,5.5,331,11.18
2024-01-07,0.0,3.2,-11.4,-4.4,0.0,0.0,0.0,1.77,5.4,7,10.89
2024-01-08,2.0,6.6,-8.5,-2.2,0.0,0.0,0.0,3.41,7.6,240,10.67
2024-01-09,2.0,5.7,-7.3,-1.4,0.0,0.0,0.0,3.18,6.5,304,10.22
2024-01-10,0.0,6.1,-9.8,-2.5,0.0,0.0,0.0,4.0,8.9,232,11.13
2024-01-11,0.0,10.2,-6.3,0.4,0.0,0.0,0.0,3.32,7.8,254,11.15
2024-01-12,0.0,10.1,-9.1,-0.8,0.0,0.0,0.0,2.16,4.7,19,11.09
2024-01-13,3.0,10.4,-6.2,0.8,0.0,0.0,0.0,4.14,8.9,264,11.17
2024-01-14,2.0,4.6,-5.7,-0.6,0.0,0.0,0.0,2.59,5.9,49,11.73
2024-01-15,3.0,3.8,-8.1,-1.9,0.0,0.0,0.0,2.24,4.4,17,10.52
2024-01-16,71.0,2.6,-2.9,0.5,0.4,0.2,0.14,1.57,3.7,47,7.47
2024-01-17,73.0,4.4,-2.7,0.6,1.6,0.0,1.12,2.83,5.7,106,9.63
2024-01-18,2.0,4.6,-2.9,-0.2,0.0,0.0,0.0,3.54,9.1,33,11.01
2024-01-19,73.0,-0.7,-2.8,-1.7,2.0,0.0,1.4,3.11,6.4,46,4.26
2024-01-20,3.0,4.3,-4.6,-0.6,0.0,0.0,0.0,3.07,5.8,319,11.81
2024-01-21,2.0,-4.6,-11.7,-7.0,0.0,0.0,0.0,4.99,10.4,322,12.52
2024-01-22,0.0,-5.6,-14.2,-10.2,0.0,0.0,0.0,2.06,4.3,312,12.77
2024-01-23,0.0,-2.1,-14.2,-8.7,0.0,0.0,0.0,2.45,4.7,273,12.94
2024-01-24,2.0,-0.1,-11.6,-6.1,0.0,0.0,0.0,2.39,5.5,225,11.99
2024-01-25,1.0,1.9,-10.1,-4.7,0.0,0.0,0.0,2.53,4.4,259,12.76
2024-01-26,2.0,2.2,-9.2,-3.9,0.0,0.0,0.0,2.44,5.0,245,11.4
2024-01-27,0.0,3.5,-9.5,-4.2,0.0,0.0,0.0,2.53,5.1,256,13.16
2024-01-28,0.0,6.3,-9.8,-2.5,0.0,0.0,0.0,2.35,6.7,235,13.35
2024-01-29,2.0,6.1,-8.5,-1.6,0.0,0.0,0.0,2.48,4.7,24,13.19
2024-01-30,3.0,6.7,-3.9,0.3,0.0,0.0,0.0,3.48,8.8,271,9.89
2024-01-31,71.0,5.5,-6.8,-1.7,0.2,0.0,0.14,6.16,13.1,33,12.47
2024-02-01,73.0,-0.8,-5.8,-3.5,2.6,0.0,1.82,4.22,8.4,42,9.91
2024-02-02,71.0,1.6,-6.9,-3.0,0.7,0.0,0.49,2.84,6.7,34,10.04
2024-02-03,71.0,1.9,-5.0,-1.8,0.2,0.0,0.14,2.92,6.8,39,10.54
2024-02-04,73.0,-1.3,-5.2,-3.0,2.4,0.0,1.68,3.58,7.4,45,5.56
2024-02-05,2.0,1.9,-6.2,-3.0,0.0,0.0,0.0,3.1,7.5,188,13.81
2024-02-06,1.0,2.3,-7.8,-2.9,0.0,0.0,0.0,1.94,5.0,34,13.66
2024-02-07,3.0,2.1,-9.5,-4.0,0.0,0.0,0.0,1.8,4.9,37,14.48
2024-02-08,2.0,5.2,-7.6,-2.0,0.0,0.0,0.0,2.94,5.4,233,14.57
2024-02-09,0.0,7.7,-6.9,-0.0,0.0,0.0,0.0,4.64,10.0,251,14.77
2024-02-10,2.0,7.4,-3.6,0.5,0.0,0.0,0.0,4.8,9.4,279,12.52
2024-02-11,0.0,12.4,-4.2,2.6,0.0,0.0,0.0,3.31,8.1,225,15.27
2024-02-12,0.0,15.5,-4.4,4.6,0.0,0.0,0.0,3.78,9.2,229,15.25
2024-02-13,0.0,16.4,-4.1,5.5,0.0,0.0,0.0,2.2,5.5,276,15.22
