time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum
2024-01-01,3.0,18.1,16.5,17.0,0.0,0.0,0.0,7.6,14.1,60,6.66
2024-01-02,1.0,22.8,16.6,19.4,0.0,0.0,0.0,5.94,10.9,83,14.46
2024-01-03,51.0,18.5,13.7,16.3,1.9,1.9,0.0,7.96,15.2,8,3.71
2024-01-04,3.0,18.5,13.1,16.2,0.0,0.0,0.0,6.87,13.8,79,12.73
2024-01-05,2.0,20.8,15.7,18.1,0.0,0.0,0.0,3.76,7.4,43,14.23
2024-01-06,2.0,20.8,16.9,18.3,0.0,0.0,0.0,4.72,8.8,26,13.38
2024-01-07,2.0,18.1,16.6,17.4,0.0,0.0,0.0,7.15,13.8,52,9.89
2024-01-08,3.0,21.1,17.0,18.6,0.0,0.0,0.0,7.03,13.7,85,8.49
2024-01-09,51.0,19.6,17.0,18.1,0.6,0.6,0.0,3.85,7.2,20,6.99
2024-01-10,51.0,18.0,13.1,16.1,1.1,1.1,0.0,8.53,15.7,24,7.58
2024-01-11,1.0,16.0,12.3,14.0,0.0,0.0,0.0,5.94,10.8,60,16.21
2024-01-12,0.0,20.2,12.9,16.3,0.0,0.0,0.0,4.84,9.4,83,15.89
2024-01-13,0.0,21.4,15.3,18.4,0.0,0.0,0.0,7.21,14.1,92,16.29
2024-01-14,0.0,24.3,17.6,20.1,0.0,0.0,0.0,6.82,12.4,109,14.25
2024-01-15,51.0,18.3,16.8,17.5,1.4,1.4,0.0,9.71,17.7,44,10.59
2024-01-16,51.0,19.0,16.1,17.6,0.5,0.5,0.0,7.74,15.0,66,4.95
2024-01-17,1.0,23.4,18.3,20.5,0.0,0.0,0.0,5.55,13.3,113,15.68
2024-01-18,1.0,23.1,17.1,19.8,0.0,0.0,0.0,2.77,5.7,317,15.85
2024-01-19,51.0,22.4,18.6,20.6,1.2,1.2,0.0,6.18,12.0,57,11.66
2024-01-20,55.0,22.0,17.1,19.7,4.4,4.4,0.0,6.89,11.5,16,8.32
2024-01-21,51.0,16.8,14.9,15.4,2.0,2.0,0.0,7.96,14.5,30,4.72
2024-01-22,53.0,15.2,9.9,13.5,7.0,7.0,0.0,9.49,17.2,29,3.36
2024-01-23,61.0,9.9,8.1,9.0,15.4,15.4,0.0,8.52,15.9,19,3.83
2024-01-24,51.0,11.5,8.7,10.2,0.2,0.2,0.0,7.27,13.5,43,4.79
2024-01-25,51.0,13.0,11.7,12.5,1.0,1.0,0.0,6.13,10.9,41,2.61
2024-01-26,3.0,14.9,12.5,13.6,0.0,0.0,0.0,5.8,10.7,41,6.73
2024-01-27,51.0,14.4,13.7,14.1,1.7,1.7,0.0,5.69,10.9,37,3.33
2024-01-28,51.0,15.4,12.7,14.2,0.8,0.8,0.0,6.44,12.5,50,6.94
2024-01-29,61.0,21.7,14.9,18.3,3.0,3.0,0.0,6.24,11.8,90,8.14
2024-01-30,3.0,19.9,16.8,18.3,0.0,0.0,0.0,4.74,7.2,354,11.33
2024-01-31,2.0,24.0,18.0,20.7,0.0,0.0,0.0,2.6,5.1,38,15.75
