time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum
2024-01-01,1.0,0.9,-7.3,-3.9,0.0,0.0,0.0,3.22,7.0,222,8.6
2024-01-02,3.0,1.9,-7.6,-3.2,0.0,0.0,0.0,3.81,6.3,271,7.63
2024-01-03,0.0,5.1,-3.4,-0.0,0.0,0.0,0.0,4.08,7.4,283,9.75
2024-01-04,0.0,4.4,-5.0,-1.0,0.0,0.0,0.0,3.72,6.3,252,9.49
2024-01-05,0.0,6.0,-4.0,0.2,0.0,0.0,0.0,4.03,6.7,306,9.69
2024-01-06,0.0,2.2,-4.1,-1.3,0.0,0.0,0.0,6.45,12.1,327,10.03
2024-01-07,0.0,0.1,-7.6,-4.0,0.0,0.0,0.0,3.86,7.5,25,10.15
2024-01-08,3.0,2.5,-7.4,-3.1,0.0,0.0,0.0,3.2,6.8,218,9.74
2024-01-09,3.0,2.0,-5.0,-1.4,0.0,0.0,0.0,4.33,9.1,51,7.9
2024-01-10,0.0,3.6,-7.7,-2.1,0.0,0.0,0.0,5.45,10.5,232,10.18
2024-01-11,1.0,7.6,-4.2,0.1,0.0,0.0,0.0,3.48,6.2,242,9.96
2024-01-12,1.0,6.5,-4.5,-0.1,0.0,0.0,0.0,2.77,5.8,126,10.06
2024-01-13,1.0,3.8,-3.5,-0.4,0.0,0.0,0.0,5.25,10.3,88,9.74
2024-01-14,1.0,1.9,-5.6,-1.3,0.0,0.0,0.0,8.15,14.0,348,11.04
2024-01-15,1.0,3.6,-7.4,-3.1,0.0,0.0,0.0,4.4,9.2,245,10.84
2024-01-16,3.0,2.7,-6.6,-1.7,0.0,0.0,0.0,2.98,6.6,210,7.76
2024-01-17,73.0,1.2,-1.4,0.1,1.8,0.0,1.26,1.68,3.8,285,4.0
2024-01-18,1.0,1.8,-4.2,-1.2,0.0,0.0,0.0,4.95,9.7,80,10.74
2024-01-19,3.0,0.2,-4.2,-2.2,0.0,0.0,0.0,4.96,9.4,65,9.31
2024-01-20,2.0,-0.8,-6.4,-2.9,0.0,0.0,0.0,3.8,6.9,77,10.93
2024-01-21,0.0,-5.6,-9.0,-6.8,0.0,0.0,0.0,6.99,13.1,341,11.48
