time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,weathercode
2024-01-01,-1.6,-11.3,-7.4,0.3,0.0,0.21,5.48,8.2,147,7.55,71.0
2024-01-02,-4.6,-11.4,-9.3,0.0,0.0,0.0,5.2,8.5,149,7.29,1.0
2024-01-03,-5.1,-11.5,-8.0,0.0,0.0,0.0,3.58,3.8,153,6.66,3.0
2024-01-04,-6.8,-11.5,-9.2,0.0,0.0,0.0,3.42,3.5,139,7.93,0.0
2024-01-05,-8.6,-12.9,-10.8,0.0,0.0,0.0,3.2,3.5,152,7.7,0.0
2024-01-06,-7.8,-14.1,-11.2,0.0,0.0,0.0,4.25,3.9,142,8.06,3.0
2024-01-07,-3.5,-14.6,-10.2,0.0,0.0,0.0,4.1,5.1,149,8.14,3.0
2024-01-08,-6.9,-12.3,-10.2,0.0,0.0,0.0,5.16,5.6,145,8.46,2.0
2024-01-09,-3.2,-14.0,-9.3,0.0,0.0,0.0,5.45,6.0,134,7.53,3.0
2024-01-10,-4.0,-11.7,-8.8,0.0,0.0,0.0,5.81,6.9,139,8.2,1.0
2024-01-11,-1.4,-10.4,-6.8,0.0,0.0,0.0,5.73,9.8,143,8.53,2.0
2024-01-12,-2.2,-9.7,-6.2,0.1,0.0,0.07,4.53,6.7,164,6.35,71.0
2024-01-13,-6.1,-12.4,-9.5,0.0,0.0,0.0,4.07,4.5,158,8.16,2.0
2024-01-14,-5.9,-11.4,-7.8,0.0,0.0,0.0,2.69,3.9,153,6.96,3.0
2024-01-15,-4.2,-12.7,-9.2,0.0,0.0,0.0,4.33,6.8,155,8.17,3.0
2024-01-16,-8.0,-12.5,-9.6,0.0,0.0,0.0,3.18,2.7,187,7.52,3.0
2024-01-17,-8.3,-11.9,-10.2,2.9,0.0,2.03,2.15,3.5,231,5.88,73.0
2024-01-18,-10.2,-14.9,-11.6,2.4,0.1,1.61,2.56,3.5,128,7.98,73.0
2024-01-19,-10.0,-16.6,-14.3,0.0,0.0,0.0,4.24,5.0,148,9.39,1.0
2024-01-20,-14.3,-20.5,-16.8,0.0,0.0,0.0,3.11,3.6,205,8.79,3.0
2024-01-21,-13.3,-17.7,-15.7,0.0,0.0,0.0,3.16,3.4,209,9.45,2.0
2024-01-22,-14.8,-19.4,-16.5,0.0,0.0,0.0,3.08,4.1,242,8.5,3.0
2024-01-23,-13.4,-18.0,-15.4,0.0,0.0,0.0,2.02,2.7,170,9.33,3.0
2024-01-24,-14.1,-20.7,-17.0,0.0,0.0,0.0,2.84,3.8,133,10.11,0.0
2024-01-25,-12.1,-18.9,-16.0,0.0,0.0,0.0,3.2,4.5,149,10.66,0.0
2024-01-26,-11.4,-19.4,-16.0,0.0,0.0,0.0,4.84,4.6,153,10.68,0.0
2024-01-27,-12.5,-18.1,-15.1,0.0,0.0,0.0,2.33,3.5,160,10.66,0.0
2024-01-28,-12.9,-17.9,-14.5,0.0,0.0,0.0,2.33,3.8,152,10.31,3.0
2024-01-29,-11.6,-16.7,-13.8,0.0,0.0,0.0,3.97,4.0,158,10.89,1.0
