time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum
2024-01-01,51.0,18.0,6.4,11.5,0.5,0.5,0.0,5.6,13.5,223,11.58
2024-01-02,51.0,19.1,5.8,11.8,0.1,0.1,0.0,4.62,12.1,228,15.28
2024-01-03,51.0,10.9,6.9,8.5,1.6,1.6,0.0,3.42,8.5,118,4.73
2024-01-04,51.0,18.2,8.0,12.3,0.2,0.2,0.0,6.59,15.9,226,14.57
2024-01-05,3.0,18.1,6.5,11.4,0.0,0.0,0.0,5.59,13.7,230,14.77
2024-01-06,51.0,19.1,4.8,10.9,0.1,0.1,0.0,4.89,12.3,218,15.29
2024-01-07,1.0,18.7,6.8,11.8,0.0,0.0,0.0,5.82,14.2,221,14.85
2024-01-08,3.0,18.4,4.7,10.8,0.0,0.0,0.0,4.52,11.5,231,15.4
2024-01-09,0.0,19.0,4.9,11.1,0.0,0.0,0.0,3.18,7.9,231,16.92
2024-01-10,51.0,18.3,5.5,11.2,0.3,0.3,0.0,4.88,11.5,188,10.4
2024-01-11,51.0,20.2,7.8,12.8,0.3,0.3,0.0,4.55,11.3,209,13.24
2024-01-12,51.0,20.1,8.2,12.5,0.5,0.5,0.0,4.2,10.6,208,12.82
2024-01-13,2.0,20.1,6.1,11.7,0.0,0.0,0.0,4.08,10.1,221,15.34
2024-01-14,2.0,19.9,5.0,11.8,0.0,0.0,0.0,4.25,10.4,220,15.18
2024-01-15,51.0,19.3,8.1,12.7,0.5,0.5,0.0,5.14,12.8,209,11.58
2024-01-16,61.0,15.6,10.4,12.9,2.5,2.5,0.0,4.22,13.9,199,9.71
2024-01-17,53.0,14.3,9.2,11.5,5.2,5.2,0.0,4.5,13.3,203,10.16
2024-01-18,51.0,16.9,8.0,12.0,0.2,0.2,0.0,6.31,15.4,229,14.23
2024-01-19,51.0,16.9,8.2,12.2,0.2,0.2,0.0,6.52,15.7,236,14.8
2024-01-20,2.0,18.1,7.2,12.0,0.0,0.0,0.0,4.97,11.4,226,14.61
2024-01-21,51.0,16.7,8.5,12.4,1.7,1.7,0.0,5.36,15.9,200,10.63
2024-01-22,73.0,10.7,2.1,4.6,10.9,8.4,1.75,5.11,12.0,84,6.92
2024-01-23,3.0,7.9,2.2,4.9,0.0,0.0,0.0,3.8,8.2,156,8.45
2024-01-24,51.0,7.3,5.0,6.2,0.5,0.5,0.0,3.7,8.1,159,3.27
2024-01-25,53.0,7.0,5.1,6.3,10.4,10.4,0.0,2.73,7.6,170,1.76
2024-01-26,61.0,9.8,6.6,7.8,14.2,14.2,0.0,3.67,11.0,202,5.75
2024-01-27,55.0,11.4,7.1,8.9,4.2,4.2,0.0,3.49,12.3,183,6.64
2024-01-28,53.0,9.1,5.6,7.4,2.6,2.6,0.0,3.07,9.9,143,3.82
2024-01-29,51.0,15.2,6.6,10.1,0.1,0.1,0.0,5.86,13.1,224,12.05
2024-01-30,51.0,17.9,7.2,11.8,0.2,0.2,0.0,6.81,16.4,226,15.07
2024-01-31,51.0,17.3,7.4,12.4,0.2,0.2,0.0,6.85,16.9,229,15.98
2024-02-01,1.0,18.1,7.2,12.3,0.0,0.0,0.0,6.63,15.4,240,18.24
2024-02-02,51.0,17.4,7.8,12.3,0.2,0.2,0.0,7.77,17.9,230,16.71
2024-02-03,51.0,16.3,9.1,12.2,1.6,1.6,0.0,7.13,18.2,229,15.48
2024-02-04,51.0,17.4,6.9,12.1,0.1,0.1,0.0,5.95,13.9,240,18.83
2024-02-05,1.0,19.0,7.1,12.9,0.0,0.0,0.0,8.1,19.0,233,17.92
2024-02-06,2.0,18.4,9.2,13.3,0.0,0.0,0.0,8.28,18.9,234,16.05
2024-02-07,3.0,17.3,9.8,13.3,0.0,0.0,0.0,8.02,18.4,232,15.45
2024-02-08,1.0,17.9,8.3,12.2,0.0,0.0,0.0,7.38,17.3,232,16.89
2024-02-09,3.0,9.9,3.9,6.8,0.0,0.0,0.0,3.57,7.2,90,9.39
2024-02-10,51.0,10.2,4.8,7.3,1.9,1.9,0.0,2.01,6.1,104,5.89
2024-02-11,53.0,13.4,3.2,8.6,1.0,1.0,0.0,3.75,8.9,168,9.53
2024-02-12,51.0,17.5,8.2,12.7,0.1,0.1,0.0,6.31,14.5,232,13.1
2024-02-13,2.0,19.9,8.9,13.6,0.0,0.0,0.0,5.57,13.9,237,18.64
2024-02-14,1.0,20.8,8.2,14.3,0.0,0.0,0.0,6.23,15.1,238,20.26
2024-02-15,51.0,19.5,9.2,14.1,0.7,0.7,0.0,4.43,11.2,192,17.35
2024-02-16,51.0,21.2,9.0,14.6,0.3,0.3,0.0,7.16,17.2,226,18.5
2024-02-17,0.0,21.2,9.2,15.5,0.0,0.0,0.0,8.05,19.6,242,20.69
2024-02-18,0.0,22.8,12.2,16.9,0.0,0.0,0.0,6.71,16.1,241,21.64
2024-02-19,0.0,22.9,9.4,16.0,0.0,0.0,0.0,7.02,17.1,240,21.64
2024-02-20,0.0,22.0,12.1,16.9,0.0,0.0,0.0,8.04,19.3,232,21.81
2024-02-21,1.0,22.5,11.7,17.0,0.0,0.0,0.0,7.71,17.8,231,21.06
2024-02-22,1.0,22.7,10.1,16.5,0.0,0.0,0.0,6.74,16.6,229,21.31
