latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
39.0,117.25,7.0,28800,Asia/Shanghai,GMT+8

time,temperature_2m (°C),precipitation (mm),rain (mm),snowfall (cm),windspeed_10m (m/s),winddirection_10m (°),windgusts_10m (m/s),shortwave_radiation (W/m²)
2025-01-01T00:00,-1.6,0.00,0.00,0.00,0.34,297,1.70,0.0
2025-01-01T01:00,-3.7,0.00,0.00,0.00,1.46,38,2.60,0.0
2025-01-01T02:00,-4.2,0.00,0.00,0.00,2.38,51,3.20,0.0
2025-01-01T03:00,-4.3,0.00,0.00,0.00,2.13,60,3.10,0.0
2025-01-01T04:00,-4.4,0.00,0.00,0.00,2.19,66,3.40,0.0
2025-01-01T05:00,-3.8,0.00,0.00,0.00,2.57,66,4.10,0.0
2025-01-01T06:00,-3.2,0.00,0.00,0.00,3.09,63,4.90,0.0
2025-01-01T07:00,-3.0,0.00,0.00,0.00,3.24,63,5.10,0.0
2025-01-01T08:00,-2.8,0.00,0.00,0.00,3.20,61,5.20,8.0
2025-01-01T09:00,-2.3,0.00,0.00,0.00,3.51,64,6.20,109.0
2025-01-01T10:00,4.2,0.00,0.00,0.00,3.59,69,7.00,248.0
2025-01-01T11:00,4.4,0.00,0.00,0.00,3.92,76,7.90,369.0
2025-01-01T12:00,4.4,0.00,0.00,0.00,4.24,83,8.20,421.0
2025-01-01T13:00,6.5,0.00,0.00,0.00,4.46,86,8.30,431.0
2025-01-01T14:00,6.3,0.00,0.00,0.00,4.55,89,8.20,373.0
2025-01-01T15:00,5.8,0.00,0.00,0.00,4.30,87,8.20,263.0
2025-01-01T16:00,3.9,0.00,0.00,0.00,3.46,85,6.40,141.0
2025-01-01T17:00,3.3,0.00,0.00,0.00,2.89,81,4.80,36.0
2025-01-01T18:00,-0.0,0.00,0.00,0.00,2.76,86,4.40,0.0
2025-01-01T19:00,-0.3,0.00,0.00,0.00,2.60,88,4.20,0.0
2025-01-01T20:00,-0.0,0.00,0.00,0.00,2.33,81,3.80,0.0
2025-01-01T21:00,-0.4,0.00,0.00,0.00,2.30,66,3.50,0.0
2025-01-01T22:00,-0.7,0.00,0.00,0.00,2.20,51,3.10,0.0
2025-01-01T23:00,-2.6,0.00,0.00,0.00,1.99,39,2.70,0.0
2025-01-02T00:00,-3.3,0.00,0.00,0.00,1.79,23,2.80,0.0
2025-01-02T01:00,-3.7,0.00,0.00,0.00,1.93,10,3.20,0.0
2025-01-02T02:00,-3.2,0.00,0.00,0.00,2.25,3,4.00,0.0
2025-01-02T03:00,-2.8,0.00,0.00,0.00,2.76,356,4.50,0.0
2025-01-02T04:00,-3.4,0.00,0.00,0.00,3.52,354,5.80,0.0
2025-01-02T05:00,-3.5,0.00,0.00,0.00,4.00,359,6.70,0.0
2025-01-02T06:00,-4.4,0.00,0.00,0.00,3.95,2,7.10,0.0
2025-01-02T07:00,-4.3,0.00,0.00,0.00,3.98,7,7.00,0.0
2025-01-02T08:00,-4.4,0.00,0.00,0.00,3.77,11,6.70,8.0
2025-01-02T09:00,-3.9,0.00,0.00,0.00,3.65,13,6.60,114.0
2025-01-02T10:00,2.2,0.00,0.00,0.00,3.34,22,6.50,265.0
2025-01-02T11:00,2.6,0.00,0.00,0.00,2.98,29,6.50,389.0
2025-01-02T12:00,2.7,0.00,0.00,0.00,2.31,30,6.10,463.0
