latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
36.0,114.25,83.0,28800,Asia/Shanghai,GMT+8

time,temperature_2m (°C),precipitation (mm),rain (mm),snowfall (cm),windspeed_10m (m/s),winddirection_10m (°),windgusts_10m (m/s),shortwave_radiation (W/m²)
2025-01-01T00:00,0.1,0.00,0.00,0.00,2.30,224,4.30,0.0
2025-01-01T01:00,-0.6,0.00,0.00,0.00,1.90,235,3.70,0.0
2025-01-01T02:00,-0.6,0.00,0.00,0.00,1.52,243,3.00,0.0
2025-01-01T03:00,-1.4,0.00,0.00,0.00,1.30,247,2.40,0.0
2025-01-01T04:00,-2.8,0.00,0.00,0.00,1.25,275,2.50,0.0
2025-01-01T05:00,-2.3,0.00,0.00,0.00,1.18,324,2.40,0.0
2025-01-01T06:00,-2.2,0.00,0.00,0.00,1.90,337,3.30,0.0
2025-01-01T07:00,-2.3,0.00,0.00,0.00,2.57,353,4.60,0.0
2025-01-01T08:00,-2.4,0.00,0.00,0.00,2.62,352,5.00,6.0
2025-01-01T09:00,-1.0,0.00,0.00,0.00,2.83,352,5.80,107.0
2025-01-01T10:00,5.0,0.00,0.00,0.00,3.11,5,6.90,263.0
2025-01-01T11:00,5.2,0.00,0.00,0.00,3.38,13,7.60,397.0
2025-01-01T12:00,5.2,0.00,0.00,0.00,3.42,18,7.80,483.0
2025-01-01T13:00,8.6,0.00,0.00,0.00,3.48,21,7.90,511.0
2025-01-01T14:00,8.8,0.00,0.00,0.00,3.51,24,7.70,476.0
2025-01-01T15:00,8.8,0.00,0.00,0.00,3.49,27,7.60,384.0
2025-01-01T16:00,7.2,0.00,0.00,0.00,3.58,28,7.10,245.0
2025-01-01T17:00,7.5,0.00,0.00,0.00,2.78,23,5.20,89.0
2025-01-01T18:00,3.7,0.00,0.00,0.00,2.76,4,5.00,2.0
2025-01-01T19:00,3.8,0.00,0.00,0.00,2.87,354,4.90,0.0
2025-01-01T20:00,3.8,0.00,0.00,0.00,2.84,346,5.00,0.0
2025-01-01T21:00,4.0,0.00,0.00,0.00,2.90,339,5.30,0.0
2025-01-01T22:00,3.6,0.00,0.00,0.00,2.80,336,5.40,0.0
2025-01-01T23:00,1.3,0.00,0.00,0.00,2.75,341,5.60,0.0
2025-01-02T00:00,1.5,0.00,0.00,0.00,2.80,344,5.90,0.0
2025-01-02T01:00,1.2,0.00,0.00,0.00,3.01,345,6.30,0.0
2025-01-02T02:00,1.3,0.00,0.00,0.00,3.11,341,6.40,0.0
