time,temperature_2m,relativehumidity_2m,rain,snowfall,windspeed_10m,shortwave_radiation
2024-01-01T00:00,-5.6,88,0.0,0.0,2.05,0.0
2024-01-01T01:00,-6.1,91,0.0,0.0,2.14,0.0
2024-01-01T02:00,-6.1,90,0.0,0.0,2.08,0.0
2024-01-01T03:00,-6.4,90,0.0,0.0,1.98,0.0
2024-01-01T04:00,-7.2,92,0.0,0.0,2.12,0.0
2024-01-01T05:00,-7.0,91,0.0,0.0,2.19,0.0
2024-01-01T06:00,-6.5,90,0.0,0.0,2.33,0.0
2024-01-01T07:00,-6.4,89,0.0,0.0,2.41,0.0
2024-01-01T08:00,-6.6,89,0.0,0.0,2.55,8.0
2024-01-01T09:00,-6.5,87,0.0,0.0,2.83,110.0
2024-01-01T10:00,-1.8,72,0.0,0.0,3.18,254.0
2024-01-01T11:00,-1.8,71,0.0,0.0,3.41,371.0
2024-01-01T12:00,-1.2,69,0.0,0.0,3.47,438.0
2024-01-01T13:00,0.7,61,0.0,0.0,3.11,431.0
2024-01-01T14:00,0.6,60,0.0,0.0,2.98,336.0
2024-01-01T15:00,0.9,58,0.0,0.0,3.08,274.0
2024-01-01T16:00,0.1,63,0.0,0.0,1.79,142.0
2024-01-01T17:00,-0.6,70,0.0,0.0,2.82,30.0
2024-01-01T18:00,-3.1,84,0.0,0.0,2.64,0.0
2024-01-01T19:00,-2.7,83,0.0,0.0,2.52,0.0
2024-01-01T20:00,-3.0,82,0.0,0.0,2.79,0.0
2024-01-01T21:00,-3.2,83,0.0,0.0,2.62,0.0
2024-01-01T22:00,-3.8,84,0.0,0.0,2.42,0.0
2024-01-01T23:00,-5.2,87,0.0,0.0,2.33,0.0
2024-01-02T00:00,-5.4,87,0.0,0.0,2.38,0.0
2024-01-02T01:00,-5.9,88,0.0,0.0,2.51,0.0
2024-01-02T02:00,-6.3,89,0.0,0.0,2.52,0.0
2024-01-02T03:00,-6.5,89,0.0,0.0,2.32,0.0
2024-01-02T04:00,-7.2,90,0.0,0.0,2.2,0.0
2024-01-02T05:00,-7.4,91,0.0,0.0,2.01,0.0
2024-01-02T06:00,-6.9,91,0.0,0.0,2.02,0.0
2024-01-02T07:00,-6.7,91,0.0,0.0,2.28,0.0
2024-01-02T08:00,-6.4,91,0.0,0.0,2.25,8.0
2024-01-02T09:00,-6.1,91,0.0,0.0,2.34,102.0
2024-01-02T10:00,-1.5,79,0.0,0.0,2.15,241.0
2024-01-02T11:00,-1.4,73,0.0,0.0,2.18,347.0
2024-01-02T12:00,-1.1,70,0.0,0.0,2.16,370.0
2024-01-02T13:00,1.7,62,0.0,0.0,2.42,331.0
2024-01-02T14:00,1.8,61,0.0,0.0,2.71,305.0
2024-01-02T15:00,1.9,61,0.0,0.0,2.7,232.0
2024-01-02T16:00,1.2,66,0.0,0.0,1.73,134.0
2024-01-02T17:00,-0.1,74,0.0,0.0,2.44,34.0
2024-01-02T18:00,-1.5,82,0.0,0.0,2.52,0.0
2024-01-02T19:00,-1.8,84,0.0,0.0,3.1,0.0
2024-01-02T20:00,-1.4,83,0.0,0.0,3.2,0.0
2024-01-02T21:00,-1.3,84,0.0,0.0,3.71,0.0
2024-01-02T22:00,-1.4,83,0.0,0.0,4.08,0.0
2024-01-02T23:00,-2.2,80,0.0,0.0,4.44,0.0
2024-01-03T00:00,-1.5,70,0.0,0.0,4.63,0.0
2024-01-03T01:00,-1.2,59,0.0,0.0,4.74,0.0
2024-01-03T02:00,-1.1,51,0.0,0.0,4.62,0.0
2024-01-03T03:00,-1.0,47,0.0,0.0,4.64,0.0
2024-01-03T04:00,-1.4,45,0.0,0.0,4.5,0.0
2024-01-03T05:00,-1.9,46,0.0,0.0,4.14,0.0
2024-01-03T06:00,-2.7,45,0.0,0.0,4.06,0.0
2024-01-03T07:00,-2.6,45,0.0,0.0,3.66,0.0
2024-01-03T08:00,-3.2,47,0.0,0.0,3.36,9.0
2024-01-03T09:00,-2.0,49,0.0,0.0,3.58,116.0
2024-01-03T10:00,1.9,34,0.0,0.0,3.24,267.0
2024-01-03T11:00,1.8,35,0.0,0.0,3.28,390.0
2024-01-03T12:00,1.9,35,0.0,0.0,3.25,463.0
2024-01-03T13:00,4.6,28,0.0,0.0,2.97,477.0
2024-01-03T14:00,4.6,29,0.0,0.0,2.5,430.0
2024-01-03T15:00,4.9,28,0.0,0.0,2.55,328.0
2024-01-03T16:00,2.8,39,0.0,0.0,2.24,186.0
2024-01-03T17:00,2.5,46,0.0,0.0,3.1,44.0
2024-01-03T18:00,-0.3,57,0.0,0.0,3.75,0.0
2024-01-03T19:00,-0.3,59,0.0,0.0,4.03,0.0
2024-01-03T20:00,-0.5,61,0.0,0.0,4.03,0.0
2024-01-03T21:00,-0.8,63,0.0,0.0,3.85,0.0
2024-01-03T22:00,-1.6,65,0.0,0.0,3.76,0.0
2024-01-03T23:00,-3.2,69,0.0,0.0,3.49,0.0
2024-01-04T00:00,-3.2,68,0.0,0.0,3.31,0.0
2024-01-04T01:00,-3.5,70,0.0,0.0,3.13,0.0
2024-01-04T02:00,-3.6,70,0.0,0.0,3.0,0.0
2024-01-04T03:00,-3.9,72,0.0,0.0,2.73,0.0
2024-01-04T04:00,-4.3,76,0.0,0.0,2.56,0.0
2024-01-04T05:00,-4.3,77,0.0,0.0,2.59,0.0
2024-01-04T06:00,-4.1,81,0.0,0.0,2.31,0.0
2024-01-04T07:00,-4.3,83,0.0,0.0,2.28,0.0
2024-01-04T08:00,-4.3,84,0.0,0.0,2.33,8.0
2024-01-04T09:00,-3.2,81,0.0,0.0,3.06,111.0
2024-01-04T10:00,1.6,66,0.0,0.0,3.09,257.0
2024-01-04T11:00,1.7,66,0.0,0.0,3.14,377.0
2024-01-04T12:00,1.9,63,0.0,0.0,3.1,449.0
2024-01-04T13:00,3.8,53,0.0,0.0,2.96,464.0
2024-01-04T14:00,4.2,50,0.0,0.0,3.1,418.0
2024-01-04T15:00,4.6,47,0.0,0.0,2.85,322.0
2024-01-04T16:00,3.3,54,0.0,0.0,1.9,184.0
